variant,context_id,preference_name,preference_kind,w_motion,w_stability,w_energy,selected_beta_name,shadow_score,best_second_margin,frozen_beta_name,changed_from_frozen,frozen_oracle_score,shadow_beta_frozen_score,frozen_score_sacrifice
baseline,rough_seed_7,wm040_ws040_we020,grid,0.4,0.4,0.2,lm020_ls080_le000,0.18407690973964297,0.008032588869695989,lm020_ls080_le000,0,0.18407690973964297,0.18407690973964297,0.0
baseline,rough_seed_7,wm040_ws020_we040,grid,0.4,0.2,0.4,lm040_ls020_le040,0.18335006280574745,0.002847790911197773,lm040_ls020_le040,0,0.18335006280574745,0.18335006280574745,0.0
baseline,rough_seed_7,wm040_ws000_we060,grid,0.4,0.0,0.6,lm040_ls020_le040,0.18218737676117047,0.019439039141243564,lm040_ls020_le040,0,0.18218737676117047,0.18218737676117047,0.0
baseline,rough_seed_7,wm020_ws080_we000,grid,0.2,0.8,0.0,lm000_ls060_le040,0.193752997998557,0.008247002001443016,lm000_ls060_le040,0,0.193752997998557,0.193752997998557,0.0
baseline,rough_seed_7,wm020_ws060_we020,grid,0.2,0.6,0.2,lm000_ls060_le040,0.14662411497341107,0.05537588502658894,lm000_ls060_le040,0,0.14662411497341107,0.14662411497341107,0.0
baseline,rough_seed_7,wm020_ws040_we040,grid,0.2,0.4,0.4,lm000_ls040_le060,0.193157007511989,0.007172831756957071,lm000_ls040_le060,0,0.193157007511989,0.193157007511989,0.0
baseline,rough_seed_7,wm020_ws020_we060,grid,0.2,0.2,0.6,lm040_ls020_le040,0.17038578739111646,0.03161421260888356,lm040_ls020_le040,0,0.17038578739111646,0.17038578739111646,0.0
baseline,rough_seed_7,wm020_ws000_we080,grid,0.2,0.0,0.8,lm020_ls020_le060,0.202,0.0011276127391291746,lm020_ls020_le060,0,0.202,0.202,0.0
baseline,rough_seed_7,wm000_ws100_we000,grid,0.0,1.0,0.0,lm020_ls020_le060,0.0,0.24054693311183398,lm020_ls020_le060,0,0.0,0.0,0.0
baseline,rough_seed_7,wm000_ws080_we020,grid,0.0,0.8,0.2,lm020_ls020_le060,0.0,0.1934180500866881,lm020_ls020_le060,0,0.0,0.0,0.0
