descriptor,variant,test_context,nearest_context,preference_name,transferred_beta,shadow_oracle_beta,exact,shadow_oracle_score,transferred_score,score_excess
v1,baseline,rough_seed_15,rough_seed_28,wm000_ws020_we080,lm000_ls080_le020,lm000_ls080_le020,1,0.11815165598285604,0.11815165598285604,0.0
v1,baseline,rough_seed_15,rough_seed_28,wm000_ws000_we100,lm000_ls080_le020,lm000_ls080_le020,1,0.0,0.0,0.0
v1,baseline,rough_seed_15,rough_seed_28,balanced,lm000_ls100_le000,lm060_ls040_le000,0,0.16401860528735004,0.3302724378528881,0.16625383256553808
v1,baseline,rough_seed_15,rough_seed_28,motion,lm060_ls040_le000,lm040_ls060_le000,0,0.08084593725688764,0.10425991846924325,0.023413981212355606
v1,baseline,rough_seed_15,rough_seed_28,stability,lm000_ls100_le000,lm000_ls040_le060,0,0.15212206927972094,0.6886828713056864,0.5365608020259655
v1,baseline,rough_seed_15,rough_seed_28,energy,lm000_ls100_le000,lm000_ls080_le020,0,0.08887056472365981,0.5996704458243681,0.5107998811007083
v1,baseline,rough_seed_0,rough_seed_20,wm100_ws000_we000,lm100_ls000_le000,lm080_ls020_le000,0,0.0,0.10619701109911484,0.10619701109911484
v1,baseline,rough_seed_0,rough_seed_20,wm080_ws020_we000,lm080_ls000_le020,lm100_ls000_le000,0,0.1321155908798785,0.24271117982921991,0.1105955889493414
v1,baseline,rough_seed_0,rough_seed_20,wm080_ws000_we020,lm060_ls020_le020,lm060_ls040_le000,0,0.07240453062202368,0.18352336060504706,0.11111882998302339
v1,baseline,rough_seed_0,rough_seed_20,wm060_ws040_we000,lm000_ls060_le040,lm100_ls000_le000,0,0.26317972620432023,0.4386916723807043,0.17551194617638405
v1,baseline,rough_seed_0,rough_seed_20,wm060_ws020_we020,lm080_ls000_le020,lm100_ls000_le000,0,0.13190529976879115,0.24384552246622015,0.11194022269742901
v1,baseline,rough_seed_0,rough_seed_20,wm060_ws000_we040,lm060_ls020_le020,lm060_ls040_le000,0,0.0545652943321587,0.13846995083375396,0.08390465650159526
v1,baseline,rough_seed_0,rough_seed_20,wm040_ws060_we000,lm060_ls000_le040,lm060_ls000_le040,1,0.2718203446830262,0.2718203446830262,0.0
v1,baseline,rough_seed_0,rough_seed_20,wm040_ws040_we020,lm040_ls020_le040,lm100_ls000_le000,0,0.26296943509323284,0.28126674966425325,0.018297314571020407
v1,baseline,rough_seed_0,rough_seed_20,wm040_ws020_we040,lm060_ls020_le020,lm100_ls000_le000,0,0.13169500865770378,0.16470981306037352,0.03301480440266974
