context_index,context_id,group,terrain,seed,beta_name,beta_motion,beta_stability,beta_energy,feasible,strict_feasible,pareto_nondominated,good_candidate,cost_motion,cost_stability,cost_energy,motion_rank,stability_rank,energy_rank,episode_energy_abs_j,decision_time_s,roll_rms_rad,pitch_rms_rad,mean_applied_vx_mps
6,flat_train:flat:27106,flat_train,flat,27106,motion,0.7,0.15,0.15,True,True,True,True,0.19875620361317525,0.011138279518062427,0.5451315016620261,1,1,4,161.96947096683232,6.96,0.003788711861987205,0.027629796277547438,0.22244730271837293
6,flat_train:flat:27106,flat_train,flat,27106,stability,0.15,0.7,0.15,True,True,True,True,0.2084715728729221,0.011479545038460439,0.5298248023916671,4,3,1,162.05158992882036,7.166000000000002,0.003499277105623765,0.028049877125238806,0.21397570243903571
6,flat_train:flat:27106,flat_train,flat,27106,energy,0.15,0.15,0.7,True,True,True,True,0.2065526405151475,0.011515405315277586,0.5304825792212364,3,4,2,162.25277677505497,7.16,0.0036474834625421925,0.028093654788969313,0.21543013968638014
7,flat_train:flat:27107,flat_train,flat,27107,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20329890418813903,0.011340106413105296,0.5389735975465749,2,2,3,160.13983450516537,6.954000000000002,0.0037737442759403347,0.02787899975916583,0.2183073605684673
7,flat_train:flat:27107,flat_train,flat,27107,motion,0.7,0.15,0.15,True,True,True,True,0.19777294964570663,0.011230212279242965,0.540720139411678,1,1,4,160.65876702153935,6.944000000000002,0.0037722331022366717,0.02774358692772563,0.2224539240493494
7,flat_train:flat:27107,flat_train,flat,27107,stability,0.15,0.7,0.15,True,True,True,True,0.20870090258363894,0.011427415672212084,0.5272380555986839,4,3,1,161.260410601892,7.158000000000001,0.0034809582417740124,0.0279861164702695,0.21397635992084232
7,flat_train:flat:27107,flat_train,flat,27107,energy,0.15,0.15,0.7,True,True,True,True,0.2064790728766723,0.011509633801204908,0.5335465267423437,3,4,2,163.1899121545476,7.159999999999999,0.0036758698960585898,0.0280866135202572,0.21543666305286543
8,flat_train:flat:27108,flat_train,flat,27108,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2038492129557286,0.011300652711629682,0.5338688987372093,2,2,3,158.62312640248345,6.966000000000001,0.003761030229520911,0.027830460422721782,0.2182865269920405
8,flat_train:flat:27108,flat_train,flat,27108,motion,0.7,0.15,0.15,True,True,True,True,0.19828124426190244,0.011224813519734088,0.5441151248518414,1,1,4,161.6674850904949,6.962000000000002,0.003808793761954024,0.027736917484525923,0.22244149845312622
8,flat_train:flat:27108,flat_train,flat,27108,stability,0.15,0.7,0.15,True,True,True,True,0.20820294475241616,0.011509363574299564,0.5282784140482832,4,4,1,161.5786134117499,7.179999999999999,0.0035107038547548407,0.02808628411521548,0.21396820017269683
8,flat_train:flat:27108,flat_train,flat,27108,energy,0.15,0.15,0.7,True,True,True,True,0.20670673249803673,0.011497837023962001,0.5322661109926886,3,3,2,162.79828570168075,7.164000000000001,0.0036806458636328187,0.028072216539126203,0.21543806278279848
9,flat_train:flat:27109,flat_train,flat,27109,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20336247688943415,0.011319688092373712,0.5398507269940538,2,2,3,160.40044720530184,6.958000000000002,0.0037465691013226863,0.02785389014374855,0.21829731556422569
9,flat_train:flat:27109,flat_train,flat,27109,motion,0.7,0.15,0.15,True,True,True,True,0.1977714305228086,0.01126968922152145,0.545974628276557,1,1,4,162.2199807452936,6.952000000000003,0.0038200940973451363,0.02779230700287282,0.2224450400646995
