context_a,context_b,height_patch_rms_distance_m,response_distance
rough_seed_10,rough_seed_28,0.03647251042424252,0.7013000726513415
rough_seed_10,rough_seed_17,0.05128778827800301,0.2274751218010518
rough_seed_8,rough_seed_22,0.048644655393891484,0.2892876684898802
rough_seed_8,rough_seed_20,0.055428250138704394,1.3235664443304425
rough_seed_8,rough_seed_28,0.07368525129482544,1.4990915578118564
rough_seed_8,rough_seed_17,0.06932205262656907,1.1564026234401226
rough_seed_22,rough_seed_20,0.02866326905535025,1.1223336157992458
rough_seed_22,rough_seed_28,0.043102637692613806,1.3491827220622654
rough_seed_22,rough_seed_17,0.05153838569556129,0.9265329925915232
rough_seed_20,rough_seed_28,0.03010622923142306,0.4141170393857245
rough_seed_20,rough_seed_17,0.04221736625042363,0.6679192359753267
rough_seed_28,rough_seed_17,0.04905983389754676,0.8368727163538562
