terrain,mission,held_context_id,held_signature_count,shared_log_predictive,uniform_log_predictive,delta_log_predictive
low_friction,fast,low_friction_train:low_friction:27207,3,-1.011619626915535,-0.8538514554191661,-0.15776817149636901
low_friction,fast,low_friction_train:low_friction:27208,5,-0.27903438437711187,-0.9523744143293491,0.6733400299522372
low_friction,fast,low_friction_train:low_friction:27209,5,-0.34509954229749074,-1.1070916349215199,0.7619920926240291
low_friction,fast,low_friction_train:low_friction:27210,6,-0.5044792055525681,-0.8922556262337578,0.38777642068118967
low_friction,fast,low_friction_train:low_friction:27211,4,-0.6993915064784078,-1.0686959043844944,0.3693043979060866
low_friction,fast,low_friction_train:low_friction:27212,3,-0.21593244324692465,-0.793029693441737,0.5770972501948124
low_friction,fast,low_friction_train:low_friction:27213,6,-0.7151132161536468,-0.7842272454292868,0.06911402927564003
low_friction,fast,low_friction_train:low_friction:27214,6,-0.99938866452243,-1.0411509487369812,0.04176228421455119
low_friction,fast,low_friction_train:low_friction:27215,6,-0.4185815727534348,-0.9527919823704685,0.5342104096170337
low_friction,fast,low_friction_train:low_friction:27216,6,-0.38092914553537227,-0.8369970979534002,0.4560679524180279
low_friction,fast,low_friction_train:low_friction:27217,6,-0.3034759909060267,-0.8838532876155797,0.580377296709553
low_friction,stable,low_friction_train:low_friction:27200,6,-0.4300774605738365,-0.9821900515849435,0.5521125910111071
low_friction,stable,low_friction_train:low_friction:27201,6,-0.6564945951729549,-0.6968545754770475,0.0403599803040926
low_friction,stable,low_friction_train:low_friction:27202,6,-0.7233560480052804,-1.2977574798047373,0.5744014317994569
low_friction,stable,low_friction_train:low_friction:27203,6,-0.6156866075512636,-0.9593105545873781,0.34362394703611454
low_friction,stable,low_friction_train:low_friction:27204,6,-0.7446848926705555,-1.1117995692063323,0.3671146765357768
low_friction,stable,low_friction_train:low_friction:27205,3,-0.32857075031066074,-1.1480415179075631,0.8194707675969024
low_friction,stable,low_friction_train:low_friction:27206,6,-0.4111047505110794,-1.0952767464927526,0.6841719959816732
low_friction,stable,low_friction_train:low_friction:27207,3,-0.30350248283276776,-1.1148104315532181,0.8113079487204504
low_friction,stable,low_friction_train:low_friction:27208,6,-0.6539627328908555,-1.0942621687741456,0.4402994358832901
low_friction,stable,low_friction_train:low_friction:27209,6,-0.6655079014946431,-1.047402408628278,0.38189450713363493
low_friction,stable,low_friction_train:low_friction:27210,5,-0.8845640052330319,-1.0478152808670447,0.16325127563401276
low_friction,stable,low_friction_train:low_friction:27211,6,-0.912837470825961,-1.488400233915101,0.57556276308914
low_friction,stable,low_friction_train:low_friction:27212,3,-1.8956980122885703,-1.2743633930847793,-0.621334619203791
low_friction,stable,low_friction_train:low_friction:27213,6,-0.46731098730346243,-1.0319184848187684,0.5646074975153059
low_friction,stable,low_friction_train:low_friction:27214,6,-0.4082791709516244,-1.4175965981646754,1.009317427213051
low_friction,stable,low_friction_train:low_friction:27215,6,-0.3610398291185463,-1.0798971903884318,0.7188573612698854
low_friction,stable,low_friction_train:low_friction:27216,6,-1.012791715549506,-0.9414600199840274,-0.07133169556547869
low_friction,stable,low_friction_train:low_friction:27217,6,-0.33693450937518604,-0.8838532876155797,0.5469187782403937
rough_perlin,efficient,rough_train:rough_perlin:0,6,-0.2387503395127668,-0.641667930825318,0.4029175913125512
rough_perlin,efficient,rough_train:rough_perlin:10,5,-0.059864471298674185,-0.7383194876493304,0.6784550163506562
rough_perlin,efficient,rough_train:rough_perlin:11,6,-0.10306647600313863,-0.48973535961279646,0.38666888360965784
rough_perlin,efficient,rough_train:rough_perlin:12,3,-0.3332847984115972,-1.668921495876189,1.335636697464592
rough_perlin,efficient,rough_train:rough_perlin:13,5,-0.1138699783740984,-0.4349896181576371,0.3211196397835387
rough_perlin,efficient,rough_train:rough_perlin:15,3,-0.1846950730249747,-0.35437608622437367,0.16968101319939896
rough_perlin,efficient,rough_train:rough_perlin:17,4,-0.1061693413245306,-0.8837740499945772,0.7776047086700466
rough_perlin,efficient,rough_train:rough_perlin:18,4,-0.16349058077548917,-1.06205251244726,0.8985619316717708
rough_perlin,efficient,rough_train:rough_perlin:20,5,-0.34849444529992385,-0.7853716734129751,0.43687722811305124
rough_perlin,efficient,rough_train:rough_perlin:22,6,-0.01229330784174317,-0.48785276674328787,0.4755594589015447
rough_perlin,efficient,rough_train:rough_perlin:25,4,-0.07293875394601468,-0.3635899885138012,0.2906512345677865
rough_perlin,efficient,rough_train:rough_perlin:28,6,-0.0357394341798738,-0.6453466650311891,0.6096072308513153
rough_perlin,efficient,rough_train:rough_perlin:29,3,-0.0088545464374065,-0.6076277801561997,0.5987732337187932
