variant,context_id,preference_name,preference_kind,frozen_beta_name,shadow_beta_name,frozen_score_sacrifice,frozen_motion,shadow_motion,delta_motion,abs_delta_motion,abs_delta_motion_over_train_iqr,frozen_stability,shadow_stability,delta_stability,abs_delta_stability,abs_delta_stability_over_train_iqr,frozen_energy,shadow_energy,delta_energy,abs_delta_energy,abs_delta_energy_over_train_iqr,normalized_physical_l1_mean,normalized_physical_linf
q25,low_friction,wm080_ws000_we020,grid,lm080_ls020_le000,lm100_ls000_le000,0.02257498813971917,4.542541160232466,4.539224297512309,-0.0033168627201574097,0.0033168627201574097,0.020568031721569277,0.2509052680762073,0.25137314479378425,0.000467876717576976,0.000467876717576976,0.004223370351102166,110.51206006721317,110.58335893441934,0.07129886720616696,0.07129886720616696,0.005725568726232523,0.010172323599634655,0.020568031721569277
q25,low_friction,wm040_ws020_we040,grid,lm080_ls020_le000,lm060_ls040_le000,0.12713559303580255,4.542541160232466,4.544679391626769,0.002138231394302359,0.002138231394302359,0.013259279884812082,0.2509052680762073,0.2505255781359973,-0.0003796899402099818,0.0003796899402099818,0.003427337107943972,110.51206006721317,110.59918496615518,0.08712489894200814,0.08712489894200814,0.006996458936943447,0.007894358643233167,0.013259279884812082
q25,low_friction,wm020_ws060_we020,grid,lm040_ls060_le000,lm020_ls080_le000,0.02426942566557766,4.547219700831385,4.550188003922176,0.0029683030907907693,0.0029683030907907693,0.018406596016044732,0.25017519271203076,0.24997079780404255,-0.00020439490798820903,0.00020439490798820903,0.001845006092169218,110.62720484327328,110.6622779661086,0.03507312283532826,0.03507312283532826,0.002816504428557008,0.0076893688455903185,0.018406596016044732
q25,low_friction,wm020_ws040_we040,grid,lm000_ls080_le020,lm040_ls060_le000,0.13088838953445808,4.566854367627028,4.547219700831385,-0.01963466679564263,0.01963466679564263,0.12175555142543106,0.2496795992077843,0.25017519271203076,0.0004955935042464665,0.0004955935042464665,0.004473560733846508,110.4678040997217,110.62720484327328,0.15940074355157208,0.15940074355157208,0.012800482644107866,0.04634319826779515,0.12175555142543106
q25,low_friction,balanced,canonical,lm060_ls040_le000,lm040_ls060_le000,0.04812389415862778,4.544679391626769,4.547219700831385,0.0025403092046163422,0.0025403092046163422,0.015752584508732317,0.2505255781359973,0.25017519271203076,-0.00035038542396653716,0.00035038542396653716,0.0031628148087859804,110.59918496615518,110.62720484327328,0.028019877118097725,0.028019877118097725,0.002250102118401992,0.007055167145306763,0.015752584508732317
q25,low_friction,stability,canonical,lm000_ls080_le020,lm020_ls080_le000,0.001798827990379781,4.566854367627028,4.550188003922176,-0.01666636370485186,0.01666636370485186,0.10334895540938632,0.2496795992077843,0.24997079780404255,0.0002911985962582575,0.0002911985962582575,0.0026285546416772903,110.4678040997217,110.6622779661086,0.19447386638690034,0.19447386638690034,0.015616987072664873,0.04053149904124283,0.10334895540938632
q25,low_friction,energy,canonical,lm000_ls080_le020,lm080_ls020_le000,0.010656015338120495,4.566854367627028,4.542541160232466,-0.02431320739456133,0.02431320739456133,0.15076741581897546,0.2496795992077843,0.2509052680762073,0.0012256688684229855,0.0012256688684229855,0.01106371265057646,110.4678040997217,110.51206006721317,0.04425596749146621,0.04425596749146621,0.003553921588762426,0.05512835001943811,0.15076741581897546
q25,rough_seed_11,wm060_ws020_we020,grid,lm100_ls000_le000,lm080_ls020_le000,0.0006190215799702359,4.474104281542436,4.475787840294142,0.0016835587517061157,0.0016835587517061157,0.010439832073777727,0.3232691364021935,0.32319988892135254,-6.924748084097265e-05,6.924748084097265e-05,0.0006250743977748016,125.58108606689088,125.58508642795526,0.004000361064385061,0.004000361064385061,0.0003212441249262969,0.0037953835321596087,0.010439832073777727
q25,rough_seed_11,wm020_ws020_we060,grid,lm020_ls080_le000,lm000_ls100_le000,0.013921221606292972,4.488631065649316,4.490218916860584,0.0015878512112683651,0.0015878512112683651,0.009846344825796717,0.31924057719573234,0.3192968942550605,5.631705932818143e-05,5.631705932818143e-05,0.000508355705023454,125.37643516309728,125.28381453523822,-0.09262062785906267,0.09262062785906267,0.007437786756701815,0.005930829095840663,0.009846344825796717
q25,rough_seed_11,motion,canonical,lm100_ls000_le000,lm080_ls020_le000,0.0007254509276770627,4.474104281542436,4.475787840294142,0.0016835587517061157,0.0016835587517061157,0.010439832073777727,0.3232691364021935,0.32319988892135254,-6.924748084097265e-05,6.924748084097265e-05,0.0006250743977748016,125.58108606689088,125.58508642795526,0.004000361064385061,0.004000361064385061,0.0003212441249262969,0.0037953835321596087,0.010439832073777727
q25,rough_seed_4,wm080_ws020_we000,grid,lm020_ls080_le000,lm000_ls100_le000,0.7043996511078876,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q25,rough_seed_4,wm080_ws000_we020,grid,lm020_ls080_le000,lm060_ls040_le000,0.10436175735223276,4.6256119816452355,4.625746297597826,0.00013431595259039142,0.00013431595259039142,0.0008328999439147301,0.22224542110427503,0.22282333007507935,0.0005779089708043139,0.0005779089708043139,0.0052165955715232915,121.31433315768827,121.30480247817712,-0.009530679511144058,0.009530679511144058,0.000765349614755613,0.002271615043397878,0.0052165955715232915
q25,rough_seed_4,wm060_ws040_we000,grid,lm020_ls080_le000,lm000_ls100_le000,0.3993985281156007,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
