context_id,preference_name,preference_kind,best_beta,best_score,second_beta,second_score,best_second_margin,motion_span,stability_span,energy_span
rough_seed_5,wm040_ws060_we000,grid,lm060_ls020_le020,0.3645046502644354,lm020_ls040_le040,0.36965944185671845,0.005154791592283048,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm040_ws040_we020,grid,lm060_ls020_le020,0.2436028312879478,lm040_ls040_le020,0.2520782453829255,0.008475414094977707,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm040_ws020_we040,grid,lm060_ls020_le020,0.12270101231146018,lm040_ls040_le020,0.12662220108788072,0.003921188776420545,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm040_ws000_we060,grid,lm000_ls080_le020,0.04853432683236005,lm020_ls060_le020,0.06331086060134479,0.014776533768984738,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm020_ws080_we000,grid,lm020_ls040_le040,0.18563973238387022,lm000_ls060_le040,0.1867835697648762,0.0011438373810059854,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm020_ws060_we020,grid,lm020_ls040_le040,0.1868755992148271,lm040_ls020_le040,0.1959445489966511,0.009068949781823987,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm020_ws040_we040,grid,lm000_ls040_le060,0.20388455696645139,lm060_ls020_le020,0.24328076318289465,0.03939620621644327,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm020_ws020_we060,grid,lm060_ls020_le020,0.12237894420640703,lm040_ls040_le020,0.12622393340010468,0.0038449891936976482,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm020_ws000_we080,grid,lm020_ls060_le020,0.031655430300672395,lm040_ls040_le020,0.04798708622834259,0.016331655927670198,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm000_ws100_we000,grid,lm000_ls040_le060,0.0,lm000_ls060_le040,0.1062970168761575,0.1062970168761575,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm000_ws080_we020,grid,lm000_ls040_le060,0.0951701268057946,lm020_ls040_le040,0.15884303105810613,0.06367290425231152,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm000_ws060_we040,grid,lm000_ls040_le060,0.1903402536115892,lm020_ls040_le040,0.3160660392051903,0.12572578559360106,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm000_ws040_we060,grid,lm060_ls020_le020,0.2429586950778415,lm040_ls040_le020,0.25128171000737337,0.008323014929531858,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm000_ws020_we080,grid,lm060_ls020_le020,0.12205687610135389,lm040_ls040_le020,0.12582566571232862,0.0037687896109747238,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,wm000_ws000_we100,grid,lm020_ls060_le020,0.0,lm040_ls040_le020,0.037331763145669467,0.037331763145669467,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,balanced,canonical,lm060_ls020_le020,0.2031948689274342,lm040_ls040_le020,0.21012680805531853,0.006931939127884312,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,motion,canonical,lm100_ls000_le000,0.10753027817181889,lm000_ls080_le020,0.11137225805087904,0.0038419798790601534,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,stability,canonical,lm020_ls040_le040,0.14056170513887578,lm040_ls020_le040,0.14728095133199093,0.006719246193115147,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_5,energy,canonical,lm060_ls020_le020,0.09207297243602183,lm040_ls040_le020,0.09476035540439946,0.00268738296837763,0.12011998019848402,0.010439644809597304,2.1267736347850246
rough_seed_6,wm100_ws000_we000,grid,lm080_ls020_le000,0.0,lm100_ls000_le000,0.019444788457276867,0.019444788457276867,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm080_ws020_we000,grid,lm020_ls080_le000,0.11766906181740024,lm040_ls060_le000,0.16281213758631913,0.04514307576891889,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm080_ws000_we020,grid,lm100_ls000_le000,0.015555830765821493,lm020_ls080_le000,0.04003496551947227,0.024479134753650777,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm060_ws040_we000,grid,lm000_ls080_le020,0.19513767175767274,lm020_ls080_le000,0.23488560081382143,0.039747929056148684,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm060_ws020_we020,grid,lm020_ls080_le000,0.11797135871125086,lm040_ls060_le000,0.1629514824575495,0.044980123746298645,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm060_ws000_we040,grid,lm100_ls000_le000,0.011666873074366119,lm040_ls060_le000,0.049027093528413154,0.037360220454047036,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm040_ws060_we000,grid,lm040_ls020_le040,0.2293649881458,lm020_ls040_le040,0.2409107229454781,0.011545734799678103,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm040_ws040_we020,grid,lm000_ls080_le020,0.17012522035353672,lm040_ls020_le040,0.23041348048603877,0.06028826013250205,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm040_ws020_we040,grid,lm020_ls080_le000,0.11827365560510147,lm000_ls080_le020,0.13074099566470646,0.012467340059604981,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm040_ws000_we060,grid,lm100_ls000_le000,0.007777915382910746,lm040_ls060_le000,0.07328601310310899,0.06550809772019825,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm020_ws080_we000,grid,lm020_ls040_le040,0.1209861865983622,lm000_ls060_le040,0.12327078989314007,0.002284603294777865,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm020_ws060_we020,grid,lm000_ls060_le040,0.12434206404501243,lm040_ls020_le040,0.1597054367789433,0.03536337273393088,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm020_ws040_we040,grid,lm000_ls080_le020,0.16995024233665781,lm040_ls000_le060,0.20396278182159236,0.034012539484934545,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm020_ws020_we060,grid,lm020_ls080_le000,0.12027080222910068,lm000_ls080_le020,0.14192426176439943,0.02165345953529875,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm020_ws000_we080,grid,lm100_ls000_le000,0.003888957691455373,lm040_ls060_le000,0.09754493267780484,0.09365597498634946,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm000_ws100_we000,grid,lm040_ls000_le060,0.0,lm000_ls060_le040,0.0522120146137286,0.0522120146137286,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm000_ws080_we020,grid,lm040_ls000_le060,0.09912048199041387,lm000_ls060_le040,0.1190546527736462,0.019934170783232327,0.05506784761532568,0.0033730120459717905,0.4783433735288156
rough_seed_6,wm000_ws060_we040,grid,lm040_ls000_le060,0.19824096398082774,lm000_ls060_le040,0.2375923549075525,0.039351390926724766,0.05506784761532568,0.0033730120459717905,0.4783433735288156
