representation,held_context,nearest_context,nearest_distance,rho_J_motion,rho_J_stability,rho_J_energy,rho_Q,oracle_beta,selected_beta,true_rank,exact,top3,top5,Q_excess,baseline_Q_excess,beats_baseline
derivative_field,rough_seed_11,rough_seed_25,26.719730861715686,0.9818181818181818,0.44285714285714284,0.15714285714285717,0.5012987012987012,lm020_ls080_le000,lm040_ls040_le020,7,0,0,0,0.6410250701151684,0.03577286759580989,0
derivative_field,rough_seed_4,rough_seed_39,30.152150046989583,0.14285714285714285,0.5051948051948052,0.7454545454545455,0.8129870129870129,lm020_ls080_le000,lm060_ls040_le000,2,0,1,1,0.1603255211117226,0.167424333212578,1
derivative_field,rough_seed_25,rough_seed_12,25.733554121063612,0.9935064935064933,0.8025974025974025,0.18961038961038962,0.6558441558441558,lm040_ls040_le020,lm100_ls000_le000,4,0,0,1,0.17697867292882175,0.2333729512036904,1
derivative_field,rough_seed_12,rough_seed_20,24.84482657191658,0.9779220779220777,-0.1909090909090909,0.34545454545454546,0.2532467532467532,lm100_ls000_le000,lm000_ls060_le040,13,0,0,0,0.38840714958114364,0.27336439191352324,0
derivative_field,rough_seed_6,rough_seed_32,29.00204155426452,0.9623376623376624,0.6467532467532467,0.7792207792207791,0.34025974025974026,lm000_ls080_le020,lm040_ls000_le060,13,0,0,0,0.19614501916094343,0.19646303752110775,1
derivative_field,rough_seed_29,rough_seed_41,34.919174274023355,0.8999999999999999,-0.4974025974025974,0.32727272727272727,0.32727272727272727,lm060_ls040_le000,lm000_ls100_le000,5,0,0,1,0.08903025213256054,0.01807345113361848,0
derivative_field,rough_seed_18,rough_seed_6,31.32217940440709,0.9389610389610389,-0.5012987012987012,0.6350649350649351,0.6792207792207793,lm000_ls100_le000,lm000_ls080_le020,4,0,0,1,0.11112329085320133,1.6530904404215563,1
derivative_field,rough_seed_10,rough_seed_28,30.825930938198336,0.9805194805194805,-0.9207792207792208,0.28051948051948056,0.18311688311688312,lm060_ls020_le020,lm000_ls100_le000,18,0,0,0,0.2560874033297659,0.04660870274838702,0
derivative_field,rough_seed_8,rough_seed_6,32.79541358704,0.9571428571428571,0.20129870129870128,0.7155844155844155,0.5389610389610389,lm080_ls020_le000,lm000_ls080_le020,11,0,0,0,0.7668658057023279,0.0,0
derivative_field,rough_seed_22,rough_seed_20,30.46214764839607,0.9727272727272727,0.7922077922077921,0.5792207792207792,0.34025974025974026,lm040_ls040_le020,lm000_ls060_le040,10,0,0,0,0.1894274549107057,0.14102356059836776,0
derivative_field,rough_seed_20,rough_seed_12,24.99566623080303,0.9779220779220777,-0.1909090909090909,0.34545454545454546,0.2532467532467532,lm000_ls060_le040,lm100_ls000_le000,13,0,0,0,0.14668871104683318,0.14667944598463062,0
derivative_field,rough_seed_28,rough_seed_25,27.641688675138525,0.9675324675324675,0.20779220779220778,-0.24545454545454545,0.2987012987012987,lm000_ls100_le000,lm040_ls040_le020,9,0,0,0,0.6179655636381415,0.2066409730589126,0
derivative_field,rough_seed_17,rough_seed_39,27.008850985030836,0.16623376623376623,0.39610389610389607,0.8584415584415584,0.6558441558441558,lm100_ls000_le000,lm060_ls040_le000,8,0,0,0,0.247041423263548,0.19233300719603325,0
semantic_regions,rough_seed_13,rough_seed_18,8.645520142723798,0.8805194805194804,-0.2506493506493506,-0.8402597402597403,-0.2545454545454545,lm080_ls020_le000,lm000_ls100_le000,8,0,0,0,0.03270896035207965,0.0,0
semantic_regions,rough_seed_7,rough_seed_20,9.083771838546944,0.9714285714285713,-0.27792207792207796,-0.06753246753246753,0.15454545454545454,lm000_ls060_le040,lm000_ls060_le040,1,1,1,1,0.0,0.11426225020779207,1
semantic_regions,rough_seed_15,rough_seed_42,9.80209362275835,-0.09220779220779221,0.348051948051948,-0.212987012987013,-0.0012987012987012987,lm060_ls040_le000,lm020_ls040_le040,7,0,0,0,0.06226849336941298,0.0068616204234064615,0
