source_manifest,source_d5_dir,source_csv,source_trial,source_row_index,context,target_beta_motion,target_beta_stability,target_beta_energy,runtime_pred_beta_motion,runtime_pred_beta_stability,runtime_pred_beta_energy,runtime_raw_beta_motion,runtime_raw_beta_stability,runtime_raw_beta_energy,reset_y,y_mean,mean_abs_y_context,max_abs_y_context,ram_slip_proxy_mean,ram_roughness_proxy_mean,ram_sigma_mean,motion_score,stability_score,energy_score,effort_proxy,hold_drift,rollout_max_abs_y,rollout_mean_abs_y
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,66,flat,0.533813809,0.196068822,0.270117369,0.391393551,0.088095238,0.520511211,0.395579035,0.000000001,0.604420964,0.003351087,0.000000000,0.036532850,0.037675669,0.000000000,0.050000000,0.050000000,0.172495185,0.984929732,0.504922617,0.495077383,0.000000000,0.037675669,0.036532850
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,69,flat,0.534051339,0.195594670,0.270353992,0.391456135,0.088095238,0.520448626,0.395661178,0.000000001,0.604338822,0.003351087,0.000000000,0.035765629,0.036118788,0.000000000,0.050000000,0.050000000,0.173413446,0.985552485,0.504932294,0.495067706,0.000000000,0.036118788,0.035765629
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,72,flat,0.533759690,0.195917379,0.270322931,0.391507638,0.088095238,0.520397124,0.395728775,0.000000001,0.604271225,0.003351087,0.000000000,0.036567966,0.036948472,0.000000000,0.050000000,0.050000000,0.174330895,0.985220611,0.504939957,0.495060043,0.000000000,0.036948472,0.036567966
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,75,flat,0.533688922,0.195876850,0.270434228,0.391592207,0.088095238,0.520312555,0.395839772,0.000000001,0.604160228,0.003351087,0.000000000,0.034060891,0.036654784,0.000000000,0.050000000,0.050000000,0.175488610,0.985338086,0.504950542,0.495049458,0.000000000,0.036654784,0.034060891
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,78,flat,0.534624336,0.194335701,0.271039963,0.391690032,0.088095238,0.520214730,0.395968167,0.000000001,0.604031833,0.003351087,0.000000000,0.028700879,0.031897130,0.000000000,0.050000000,0.050000000,0.176528287,0.987241148,0.504967132,0.495032868,0.000000000,0.031897130,0.028700879
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,81,flat,0.535946550,0.192192159,0.271861292,0.391805839,0.088095238,0.520098923,0.396120163,0.000000001,0.603879836,0.003351087,0.000000000,0.022148463,0.025350974,0.000000000,0.050000000,0.050000000,0.177719435,0.989859611,0.504990364,0.495009636,0.000000000,0.025350974,0.022148463
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,84,flat,0.536936402,0.190547048,0.272516550,0.391900592,0.088095238,0.520004169,0.396244527,0.000000001,0.603755472,0.003351087,0.000000000,0.019603108,0.020311017,0.000000000,0.050000000,0.050000000,0.178924638,0.991875593,0.505014678,0.494985322,0.000000000,0.020311017,0.019603108
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,87,flat,0.536975918,0.190340591,0.272683492,0.391975202,0.088095238,0.519929560,0.396342453,0.000000001,0.603657547,0.003351087,0.000000000,0.019361066,0.019535461,0.000000000,0.050000000,0.050000000,0.180078718,0.992185815,0.505037452,0.494962548,0.000000000,0.019535461,0.019361066
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,90,flat,0.536814471,0.190427420,0.272758109,0.392053651,0.088095238,0.519851111,0.396445416,0.000000001,0.603554583,0.003351087,0.000000000,0.019045363,0.019614441,0.000000000,0.050000000,0.050000000,0.181305849,0.992154224,0.505059029,0.494940971,0.000000000,0.019614441,0.019045363
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,93,flat,0.537008629,0.190001853,0.272989518,0.392132590,0.088095238,0.519772171,0.396549025,0.000000001,0.603450975,0.003351087,0.000000000,0.016759868,0.018210529,0.000000000,0.050000000,0.050000000,0.182348287,0.992715789,0.505081621,0.494918379,0.000000000,0.018210529,0.016759868
