source_summary,source_manifest,world,trial,reset_y,context,n_rows,goal_x,lateral_bound,hold_vx,x_start,x_end,y_mean,mean_abs_y_context,max_abs_y_context,ref_vx_mean,ref_yaw_rate_mean,ref_body_h_mean,ref_clearance_mean,ref_enable_mean,input_beta_motion_mean,input_beta_stability_mean,input_beta_energy_mean,ram_slip_proxy_mean,ram_roughness_proxy_mean,ram_sigma_mean,success,goal,startup_failed,out_lane,final_x,final_y,rollout_max_abs_y,rollout_mean_abs_y,hold_drift,motion_score,stability_score,energy_score,effort_proxy,motion_need,stability_need,energy_need,target_beta_motion,target_beta_stability,target_beta_energy
reports/phase_d6/phase_d4_context_meta_repeat_20260719_165843_d6_mlp_gated_robustness_n5_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_165843_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,3,0.0,flat,437,8.0,2.0,0.025,-0.0013084595775353749,1.9980555842310173,0.05637963711480134,0.05637963711480134,0.08771184394041973,0.20978514098330003,-0.0013971893148560512,0.31999999999999645,0.04499370546069516,1.0,0.44999999999999735,0.25,0.2999999999999983,0.0,0.0500000000000004,0.0500000000000004,1,1,0,0,8.28,-0.302,0.326,0.1837622950819673,0.0,0.9998465292737857,0.9232148351134055,0.5049693194057908,0.4950306805942092,0.0001534707262142998,0.07678516488659448,0.4950306805942092,0.3553523740061311,0.25144835724900677,0.3931992687448621
reports/phase_d6/phase_d4_context_meta_repeat_20260719_165843_d6_mlp_gated_robustness_n5_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_165843_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,3,0.0,goal_flat,658,8.0,2.0,0.025,8.00335105594245,8.279628884430958,-0.26423541105152853,0.26423541105152853,0.30177862979706,0.02823708206686933,0.00012400215391212364,0.31999999999999534,0.04500000000000075,1.0,0.20000000000000162,0.5,0.3000000000000027,0.0,0.050000000000000405,0.050000000000000405,1,1,0,0,8.28,-0.302,0.326,0.1837622950819673,0.0,0.870169344333478,0.8750498082956615,0.8469004684322223,0.1530995315677776,0.12983065566652197,0.12495019170433852,0.15309953156777767,0.21039307363340307,0.5027139212732535,0.2868930050933435
reports/phase_d6/phase_d4_context_meta_repeat_20260719_165843_d6_mlp_gated_robustness_n5_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_165843_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,3,0.0,rough,421,8.0,2.0,0.025,4.0040356067756955,5.9951703885692655,-0.1990556052736048,0.1990556052736048,0.30047770364882276,0.20490520859840647,0.004914678733866671,0.31999999999999656,0.055044096361429845,1.0,0.25,0.550000000000004,0.20000000000000157,0.10000000000000078,0.40000000000000313,0.3499999999999972,1,1,0,0,8.28,-0.302,0.326,0.1837622950819673,0.0,0.9963608632845761,0.875342516679015,0.40921842184635615,0.5907815781536438,0.0036391367154239296,0.12465748332098503,0.5907815781536438,0.18478913296269486,0.49503784252895155,0.3201730245083536
reports/phase_d6/phase_d4_context_meta_repeat_20260719_165843_d6_mlp_gated_robustness_n5_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_165843_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,3,0.0,upslope,416,8.0,2.0,0.025,2.0033328407816158,3.999328663522697,-0.0217395796420116,0.050981012419326094,0.16435407989781942,0.20923501758191448,0.0005936240648644833,0.3199999999999966,0.045019883734102435,1.0,0.34999999999999726,0.4000000000000031,0.25,0.10000000000000077,0.20000000000000154,0.20000000000000154,1,1,0,0,8.28,-0.302,0.326,0.1837622950819673,0.0,0.9994535839870817,0.9059703320229906,0.5067434746118055,0.49325652538819453,0.0005464160129182716,0.0940296679770094,0.49325652538819453,0.2738280379534718,0.3764906466887523,0.3496813153577758
reports/phase_d6/phase_d4_context_meta_repeat_20260719_165843_d6_mlp_gated_robustness_n5_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_165843_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,4,0.0,downslope,489,8.0,2.0,0.025,6.00119081347483,7.9979995003343065,-0.11881086798505715,0.11881086798505715,0.15851122433392953,0.20265917342864662,0.002951509615402585,0.31999999999999607,0.04503380329727152,1.0,0.25,0.5998977505112469,0.15010224948875242,0.24969325153374233,0.15051124744376265,0.30010224948875225,1,1,0,0,8.139,-0.068,0.155,0.07146311475409832,0.018000000000000682,0.9947565524490333,0.9228099745248654,0.5159866298293192,0.4840133701706808,0.005243447550966729,0.07719002547513465,0.4840133701706808,0.19847240740680516,0.5315738466929715,0.26995374590022336
reports/phase_d6/phase_d4_context_meta_repeat_20260719_165843_d6_mlp_gated_robustness_n5_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_165843_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,4,0.0,flat,453,8.0,2.0,0.025,-0.00828789880828763,1.996931422175076,-0.026431019901181373,0.034341707710402056,0.07286484901610121,0.20935624068014932,0.0006595105425127574,0.3192935982339919,0.04489943845382589,0.9977924944812362,0.4490066225165534,0.24944812362030905,0.2993377483443696,0.0,0.04988962472406222,0.04988962472406222,1,1,0,0,8.139,-0.068,0.155,0.07146311475409832,0.018000000000000682,0.9995401719143924,0.9420804089713767,0.5076382760083201,0.4923617239916799,0.00045982808560762756,0.05791959102862332,0.4923617239916799,0.36081810804880454,0.24092616279472562,0.3982557291564699
reports/phase_d6/phase_d4_context_meta_repeat_20260719_165843_d6_mlp_gated_robustness_n5_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_165843_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,4,0.0,goal_flat,658,8.0,2.0,0.025,8.001677029206746,8.156604326713902,-0.08128073927388772,0.08128073927388772,0.14623169980638454,0.028506168535596347,3.827454338983716e-05,0.31999999999999534,0.0450000271554421,1.0,0.20007598784194688,0.5001519756838906,0.29977203647416684,0.00037993920972644377,0.05015197568389098,0.05037993920972683,1,1,0,0,8.139,-0.068,0.155,0.07146311475409832,0.018000000000000682,0.8703615489539974,0.9255728675435629,0.8465028192620986,0.15349718073790145,0.12963845104600258,0.07442713245643706,0.15349718073790142,0.22143558809089706,0.47637120194098814,0.3021932099681148
reports/phase_d6/phase_d4_context_meta_repeat_20260719_165843_d6_mlp_gated_robustness_n5_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_165843_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,4,0.0,rough,409,8.0,2.0,0.025,4.00093541715488,5.997407496000218,-0.028960102306705135,0.03550685993901068,0.10962290985709407,0.20445678738335235,0.0011851682090302951,0.3199999999999967,0.05475442799167995,1.0,0.2502444987775061,0.5496332518337446,0.20012224938875456,0.10000000000000075,0.3995110024449908,0.34963325183373817,1,1,0,0,8.139,-0.068,0.155,0.07146311475409832,0.018000000000000682,0.9960405624166803,0.9338098452821533,0.41761778347812695,0.582382216521873,0.003959437583319736,0.06619015471784673,0.582382216521873,0.19498198352358043,0.46999894030612005,0.33501907617029947
reports/phase_d6/phase_d4_context_meta_repeat_20260719_165843_d6_mlp_gated_robustness_n5_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_165843_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,4,0.0,upslope,411,8.0,2.0,0.025,2.0018481314841194,3.9948417725144933,-0.07929805196382819,0.07929805196382819,0.11684625676764716,0.2100634253097567,0.0019590887764844096,0.3199999999999966,0.044992735772744874,1.0,0.3502433090024304,0.3996350364963534,0.25012165450121654,0.09975669099756768,0.1996350364963519,0.1996350364963519,1,1,0,0,8.139,-0.068,0.155,0.07146311475409832,0.018000000000000682,1.0,0.9321845922272788,0.5037548588461519,0.4962451411538481,0.0,0.06781540777272121,0.4962451411538481,0.27719201403522115,0.36760775864633194,0.3552002273184469
reports/phase_d6/phase_d4_context_meta_repeat_20260719_165843_d6_mlp_gated_robustness_n5_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_165843_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,5,0.0,downslope,486,8.0,2.0,0.025,6.00360763328959,7.998061930647298,0.07592252845968041,0.07592252845968041,0.1719696693565443,0.20125758482350242,-0.0009565821948457402,0.3199999999999961,0.04516084286779043,1.0,0.25,0.5998971193415631,0.15010288065843605,0.24969135802469133,0.1505144032921809,0.3001028806584359,1,1,0,0,8.182,0.334,0.336,0.11386614173228343,0.0,0.9937554177310731,0.9025068243947776,0.5198378720344714,0.48016212796552854,0.006244582268926879,0.09749317560522242,0.4801621279655286,0.1973398432015156,0.5359786891359709,0.2666814676625135
