representation,held_context,eta_name,oracle_beta,learned_beta,baseline_beta,learned_rank,baseline_rank,learned_Q_excess,baseline_Q_excess,learned_beats_baseline,learned_ties_baseline,learned_worse_baseline,learned_exact,learned_top3,learned_top5
semantic_plus_probe,rough_seed_13,motion_biased,lm080_ls020_le000,lm000_ls100_le000,lm080_ls020_le000,8,1,0.07115253433137764,0.0,0,0,1,0,0,0
semantic_plus_probe,rough_seed_13,stability_biased,lm040_ls060_le000,lm000_ls080_le020,lm080_ls020_le000,20,6,0.7513727005538565,0.2576064893087705,0,0,1,0,0,0
semantic_plus_probe,rough_seed_13,energy_biased,lm040_ls000_le060,lm000_ls080_le020,lm100_ls000_le000,21,19,0.6159491028628588,0.5973903235713229,0,0,1,0,0,0
semantic_plus_probe,rough_seed_7,balanced,lm000_ls060_le040,lm080_ls000_le020,lm080_ls020_le000,19,13,0.13445549865618578,0.11426225020779207,0,0,1,0,0,0
semantic_plus_probe,rough_seed_7,motion_biased,lm000_ls100_le000,lm100_ls000_le000,lm080_ls020_le000,2,4,0.007110061757766156,0.04173637857875327,1,0,0,0,1,1
semantic_plus_probe,rough_seed_7,stability_biased,lm020_ls020_le060,lm080_ls000_le020,lm080_ls020_le000,21,3,0.5958512614137038,0.12887637281230643,0,0,1,0,0,0
semantic_plus_probe,rough_seed_7,energy_biased,lm020_ls020_le060,lm080_ls000_le020,lm100_ls000_le000,16,15,0.44418665969286597,0.3949767223636602,0,0,1,0,0,0
semantic_plus_probe,rough_seed_15,balanced,lm060_ls040_le000,lm060_ls040_le000,lm080_ls020_le000,1,2,0.0,0.0068616204234064615,1,0,0,1,1,1
semantic_plus_probe,rough_seed_15,motion_biased,lm040_ls060_le000,lm080_ls020_le000,lm080_ls020_le000,2,2,0.00406380128866983,0.00406380128866983,0,1,0,0,1,1
semantic_plus_probe,rough_seed_15,stability_biased,lm000_ls040_le060,lm060_ls040_le000,lm020_ls080_le000,7,15,0.08104917830102726,0.46798225740402966,1,0,0,0,0,0
semantic_plus_probe,rough_seed_15,energy_biased,lm000_ls080_le020,lm000_ls040_le060,lm100_ls000_le000,5,10,0.2058314224514788,0.27508491358795106,1,0,0,0,0,1
semantic_plus_probe,rough_seed_0,balanced,lm100_ls000_le000,lm000_ls060_le040,lm080_ls020_le000,3,10,0.026947920889475147,0.1191408580715218,1,0,0,0,1,1
