tag,base_tag,n_timestep_rows,base_condition_count,rho_slip_target,rho_rough_target,sigma_target,is_sparse_anchor,context_frac_flat,context_frac_start_flat,context_frac_rough,context_frac_upslope,context_frac_downslope,context_frac_goal_flat,context_frac_unknown,context_unique_count,ref_vx_mean_mean_g1,ref_vx_mean_std_g1,ref_yaw_rate_mean_mean_g1,ref_yaw_rate_mean_std_g1,ref_clearance_mean_mean_g1,ref_clearance_mean_std_g1,x_progress_g1,y_change_g1,abs_y_change_g1,y_late_minus_early_g1,abs_y_late_minus_early_g1,vx_tracking_error_g1,vx_tracking_abs_error_g1,vx_tracking_ratio_g1,lateral_per_forward_g1
m060_r1,m060,2225,3,0.80050243,0.69246301,0.55519383,0,0.19685393258426967,0.0,0.20719101123595507,0.1797752808988764,0.23325842696629215,0.18292134831460674,0.0,5,0.1867629213483146,0.05046002962320858,0.0037586407725842697,0.0054314145574296605,0.047076404494382024,0.0034580713174592,8.108477258999999,-0.6174943399999999,0.61658674,-0.6188052626896087,0.53024739051417,0.013236174485986879,0.013236174485986879,0.9291284673080195,0.2290395857486422
m060_r2,m060,2226,3,0.37126771,0.85344422,0.57837179,0,0.1976639712488769,0.0,0.19946091644204852,0.18823000898472597,0.2407906558849955,0.1738544474393531,0.0,5,0.18849842767295596,0.047956727533931945,0.002909491082659479,0.0021313483818251357,0.046994609164420484,0.003387523115733165,8.205083474,-0.23843615199999998,0.233536538,-0.13311864666442047,0.12395982204177898,0.017003720204410655,0.017003720204410655,0.9097938353421597,0.20757409975237961
p015,p015,2124,3,0.37793510,0.48209157,0.55516108,0,0.20433145009416195,0.0,0.2024482109227872,0.19868173258003766,0.24105461393596986,0.1534839924670433,0.0,5,0.19280955743879472,0.040394208547390995,0.004466028314971751,0.0037187145381144043,0.04702448210922787,0.003382047851162043,8.046409278,-0.07019549600000001,0.062384656000000004,-0.027727645364406778,0.012451234378531073,0.018963948533778946,0.018963948533778946,0.9016441467648778,0.21587074738812456
p015_r1,p015,2124,3,0.24528255,0.21064602,0.44433923,0,0.2062146892655367,0.0,0.1817325800376648,0.2066854990583804,0.2387005649717514,0.16666666666666666,0.0,5,0.19049552730696798,0.044690929504675535,0.0022107934872881356,0.0016281393755118844,0.04681732580037665,0.0031878737937544926,8.117844543,-0.212674676,0.211743438,-0.14623373481497176,0.13573683021045196,0.01514670547831698,0.01514670547831698,0.9204878681801841,0.19512615130240746
p015_r2,p015,2226,3,0.22075194,0.06182420,0.32447722,0,0.1958670260557053,0.0,0.19901168014375561,0.20215633423180593,0.21608265947888589,0.18688230008984727,0.0,5,0.18611298292902065,0.05164085495113211,0.001541865747079964,0.002379409139901394,0.046990116801437554,0.0033835321877031667,8.133947669000001,0.268697017,0.268697017,0.30412832807681944,0.08070314848382748,0.011860675013620092,0.011860675013620092,0.9362716408766416,0.20978557207808324
p030,p030,2226,3,0.23183684,0.58025455,0.48677475,0,0.19811320754716982,0.0,0.1976639712488769,0.1931716082659479,0.22686433063791556,0.18418688230008984,0.0,5,0.18661725067385446,0.050828995447897096,-6.62791298292902e-05,0.0008343162776473627,0.04697663971248877,0.00337149514401428,8.140252175999999,-0.195570819,0.189696233,-0.08125251650943396,0.062143395328840965,0.012360711417009312,0.012360711417009312,0.933764368661653,0.21422579689306323
p030_r1,p030,2223,3,0.25474746,0.47012335,0.41951603,0,0.21187584345479082,0.0,0.19298245614035087,0.18848403058929375,0.2276203328834908,0.17903733693207377,0.0,5,0.18760908681961314,0.0494806748866896,-0.0008952803972109762,0.0009538492500473925,0.04692982456140351,0.0033280094966341607,8.049827630000001,0.17325937,0.17325937,0.14523752160188935,0.13383677808502026,0.01389615498514063,0.01389615498514063,0.9259302669145134,0.20814771700969453
p030_r2,p030,2121,3,0.31846929,0.41396017,0.50910309,0,0.20273455917020272,0.0,0.20273455917020272,0.20132013201320131,0.23668081093823667,0.15652993870815654,0.0,5,0.19221475719000472,0.04154830637700411,0.0037612093191890616,0.0029298775294106898,0.047032060348892034,0.0033877174359239104,8.096297041,0.11163850700000001,0.11163850700000001,0.08896194318811881,-0.020225295131541726,0.01832528805782116,0.01832528805782116,0.9046624290157568,0.20935992261224254
p045,p045,2225,1,0.27149018,0.83893262,0.80316487,1,0.2,0.0,0.19550561797752808,0.2004494382022472,0.22741573033707865,0.17662921348314606,0.0,5,0.18811011235955055,0.048741011471042886,0.001969402589213483,0.0017704897104796075,0.04695056179775281,0.003347625213159183,8.032351494,0.139989776,0.139989776,0.07965182275573549,0.005426579055330644,0.015483481170977531,0.015483481170977531,0.917689267329857,0.21291038591828312
p060,p060,2225,3,0.66770915,0.51076080,0.48369456,0,0.1959550561797753,0.0,0.20269662921348314,0.20449438202247192,0.22696629213483147,0.16988764044943822,0.0,5,0.18932359550561798,0.046869617297681666,-0.003732162177977528,0.003059328017222861,0.047031460674157304,0.003419567544007434,8.060276145000001,0.482219355,0.482219355,0.3715227606234818,0.3715227606234818,0.019135637666238825,0.019135637666238825,0.8989262927574656,0.20763583383492196
p060_r1,p060,2123,3,0.16588579,0.24062494,0.43289106,0,0.21290626471973623,0.0,0.20725388601036268,0.1987753179463024,0.22279792746113988,0.15826660386245878,0.0,5,0.1922126707489402,0.04171106850661281,0.00023465045690061235,0.0007158475611329621,0.04707724917569477,0.0034274282438603878,8.118338818,0.001055309,0.001055309,0.0023948996591230554,0.004294287783592646,0.016836654184934352,0.016836654184934352,0.9124061170404023,0.20042804638416212
p060_r2,p060,2123,3,0.95742612,1.00000000,0.80980762,0,0.21290626471973623,0.0,0.19218087611869994,0.20160150730098916,0.2444653791804051,0.14884597268016958,0.0,5,0.1939543099387659,0.03822371880954766,0.00848113233207725,0.00659612248812778,0.046921808761187,0.0032885369763899085,8.01831904,-0.53508315,0.53508315,-0.5342365310042433,0.5164619292050919,0.1370681310415473,0.1370681310415473,0.29329680229935784,0.42225903305685225
