t_wall,context,x,y,observed_features,imputed_features,learned_slip,learned_rough,learned_sigma,damped_slip,damped_rough,damped_sigma,safe_slip,safe_rough,safe_sigma,legacy_slip,legacy_rough,legacy_sigma,learned_l1_legacy,damped_l1_legacy,safe_l1_legacy
1784664164.703671,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664164.803602,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664164.903907,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664165.003788,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664165.103517,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664165.203548,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664165.303608,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664165.403574,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664165.503531,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664165.603799,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664165.703610,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664165.803507,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664165.903554,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664166.003766,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664166.103541,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664166.203496,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
