context_id,group,terrain,seed,beta_name,feasible,pareto_nondominated,linearly_supported,support_grid_count,support_fraction,max_margin,max_margin_beta_motion,max_margin_beta_stability,max_margin_beta_energy
low_friction:low_friction:27032,low_friction,low_friction,27032,energy,True,True,True,5475,0.2696911482192995,0.00017571913439611779,0.33,0.005,0.665
low_friction:low_friction:27033,low_friction,low_friction,27033,balanced,True,True,True,141,0.006945470666469632,4.538850560301629e-05,0.61,0.005,0.385
low_friction:low_friction:27033,low_friction,low_friction,27033,motion,True,True,True,8317,0.4096842520072903,0.004346376537930158,1.0,0.0,0.0
low_friction:low_friction:27033,low_friction,low_friction,27033,stability,True,True,True,11843,0.5833702773262401,0.004938473208017102,0.0,0.0,1.0
low_friction:low_friction:27033,low_friction,low_friction,27033,energy,True,True,False,0,0.0,-0.00010859219842636646,0.005,0.95,0.045
low_friction:low_friction:27034,low_friction,low_friction,27034,balanced,True,True,False,0,0.0,-4.110798262614898e-05,0.04,0.875,0.085
low_friction:low_friction:27034,low_friction,low_friction,27034,motion,True,True,True,10084,0.4967242992956012,0.0042493397544220435,1.0,0.0,0.0
low_friction:low_friction:27034,low_friction,low_friction,27034,stability,True,True,True,503,0.024777104576129253,5.85415799426585e-05,0.0,0.945,0.055
low_friction:low_friction:27034,low_friction,low_friction,27034,energy,True,True,True,9714,0.47849859612826956,0.0008104584284276337,0.45,0.0,0.55
low_friction:low_friction:27035,low_friction,low_friction,27035,balanced,True,True,True,15996,0.7879414807152357,0.0028748792289687523,0.59,0.005,0.405
low_friction:low_friction:27035,low_friction,low_friction,27035,motion,True,True,True,4305,0.2120585192847643,0.003897624537977956,1.0,0.0,0.0
low_friction:low_friction:27035,low_friction,low_friction,27035,stability,True,False,False,0,0.0,-7.528583398630495e-05,0.0,0.0,1.0
low_friction:low_friction:27035,low_friction,low_friction,27035,energy,True,False,False,0,0.0,-0.00036969084640372206,0.0,1.0,0.0
low_friction:low_friction:27036,low_friction,low_friction,27036,balanced,True,False,False,0,0.0,-0.0005048787928972377,0.0,1.0,0.0
low_friction:low_friction:27036,low_friction,low_friction,27036,motion,True,True,True,10592,0.5217476971577755,0.004466854726831032,1.0,0.0,0.0
low_friction:low_friction:27036,low_friction,low_friction,27036,stability,True,True,True,9704,0.4780060095561795,0.0019506597771101752,0.0,0.0,1.0
low_friction:low_friction:27036,low_friction,low_friction,27036,energy,True,True,True,5,0.00024629328604502243,1.2788336546374717e-05,0.0,0.925,0.075
rough_test:rough_perlin:19,rough_test,rough_perlin,19,balanced,True,True,True,173,0.008521747697157776,0.00047252228810117607,0.285,0.715,0.0
rough_test:rough_perlin:19,rough_test,rough_perlin,19,motion,True,True,True,10491,0.516772572779666,0.005322195764424329,0.74,0.0,0.26
rough_test:rough_perlin:19,rough_test,rough_perlin,19,stability,True,True,True,9637,0.4747056795231762,0.003250615389151771,0.0,0.74,0.26
rough_test:rough_perlin:19,rough_test,rough_perlin,19,energy,True,False,False,0,0.0,-0.0015783719131402358,0.19,0.81,0.0
rough_test:rough_perlin:2,rough_test,rough_perlin,2,balanced,True,True,True,848,0.0417713413132358,0.0016011776851533636,0.91,0.0,0.09
rough_test:rough_perlin:2,rough_test,rough_perlin,2,motion,True,True,True,369,0.018176444510122652,0.004908753555733392,1.0,0.0,0.0
rough_test:rough_perlin:2,rough_test,rough_perlin,2,stability,True,True,False,0,0.0,-0.00014203143029871317,0.645,0.355,0.0
rough_test:rough_perlin:2,rough_test,rough_perlin,2,energy,True,True,True,19084,0.9400522141766415,0.010353713158932298,0.0,0.0,1.0
rough_test:rough_perlin:26,rough_test,rough_perlin,26,balanced,True,True,False,0,0.0,-0.00019608799768714826,0.72,0.005,0.275
rough_test:rough_perlin:26,rough_test,rough_perlin,26,motion,True,True,True,4392,0.2163440224619477,0.004967325859739358,1.0,0.0,0.0
rough_test:rough_perlin:26,rough_test,rough_perlin,26,stability,True,True,True,15909,0.7836559775380523,0.0026096253090740484,0.0,0.0,1.0
rough_test:rough_perlin:26,rough_test,rough_perlin,26,energy,True,False,False,0,0.0,-0.0005114974561090391,0.0,1.0,0.0
rough_test:rough_perlin:27,rough_test,rough_perlin,27,balanced,True,True,True,790,0.03891433919511354,0.00045273087130258974,0.76,0.0,0.24
rough_test:rough_perlin:27,rough_test,rough_perlin,27,motion,True,True,True,3291,0.16211024087483375,0.005192295652681783,1.0,0.0,0.0
rough_test:rough_perlin:27,rough_test,rough_perlin,27,stability,True,True,True,16220,0.7989754199300527,0.011732065123476243,0.0,0.0,1.0
rough_test:rough_perlin:27,rough_test,rough_perlin,27,energy,True,False,False,0,0.0,-0.003410722923562146,0.275,0.725,0.0
rough_test:rough_perlin:3,rough_test,rough_perlin,3,balanced,True,True,False,0,0.0,-8.237462781879053e-05,0.47,0.53,0.0
rough_test:rough_perlin:3,rough_test,rough_perlin,3,motion,True,True,True,2737,0.13482094478104528,0.006181492253375054,1.0,0.0,0.0
rough_test:rough_perlin:3,rough_test,rough_perlin,3,stability,True,True,False,0,0.0,-0.0014288296851743118,0.47,0.53,0.0
rough_test:rough_perlin:3,rough_test,rough_perlin,3,energy,True,True,True,17564,0.8651790552189548,0.01595913165154217,0.0,0.0,1.0
rough_validation:rough_perlin:1,rough_validation,rough_perlin,1,balanced,True,True,True,12,0.0005911038865080538,5.586894746051465e-05,0.76,0.0,0.24
rough_validation:rough_perlin:1,rough_validation,rough_perlin,1,motion,True,True,True,6595,0.3248608442933846,0.006032734390178374,1.0,0.0,0.0
rough_validation:rough_perlin:1,rough_validation,rough_perlin,1,stability,True,True,True,867,0.042707255800206886,0.0006432908088923862,0.675,0.0,0.325
rough_validation:rough_perlin:1,rough_validation,rough_perlin,1,energy,True,True,True,12827,0.6318407960199005,0.00851440762220701,0.0,0.0,1.0
rough_validation:rough_perlin:14,rough_validation,rough_perlin,14,balanced,True,True,False,0,0.0,-0.00034144990203131354,0.745,0.005,0.25
rough_validation:rough_perlin:14,rough_validation,rough_perlin,14,motion,True,True,True,2501,0.12319590167972021,0.006921342770646904,1.0,0.0,0.0
rough_validation:rough_perlin:14,rough_validation,rough_perlin,14,stability,True,True,True,14667,0.7224767252844687,0.0018892775209971174,0.425,0.575,0.0
rough_validation:rough_perlin:14,rough_validation,rough_perlin,14,energy,True,True,True,3133,0.15432737303581104,0.0012222414806105641,0.0,0.0,1.0
rough_validation:rough_perlin:16,rough_validation,rough_perlin,16,balanced,True,True,True,8660,0.42657997142997883,0.0006403049717894942,0.58,0.005,0.415
rough_validation:rough_perlin:16,rough_validation,rough_perlin,16,motion,True,True,True,7988,0.3934781537855278,0.007564855113523561,1.0,0.0,0.0
rough_validation:rough_perlin:16,rough_validation,rough_perlin,16,stability,True,True,True,3653,0.1799418747844934,0.0005596417769110351,0.0,0.0,1.0
rough_validation:rough_perlin:16,rough_validation,rough_perlin,16,energy,True,False,False,0,0.0,-0.0005133245341083818,0.0,0.985,0.015
rough_validation:rough_perlin:21,rough_validation,rough_perlin,21,balanced,True,True,False,0,0.0,-0.00019523206068201764,0.065,0.935,0.0
rough_validation:rough_perlin:21,rough_validation,rough_perlin,21,motion,True,True,True,6079,0.29944337717353825,0.008176847787770947,1.0,0.0,0.0
rough_validation:rough_perlin:21,rough_validation,rough_perlin,21,stability,True,True,True,13707,0.6751884143638245,0.00973779663106844,0.0,0.0,1.0
rough_validation:rough_perlin:21,rough_validation,rough_perlin,21,energy,True,True,True,515,0.02536820846263731,0.0011159536349422822,0.0,0.955,0.045
