context_id,group,terrain,seed,source_beta_name,cost_motion,cost_stability,cost_energy,ideal_cost_motion,ideal_cost_stability,ideal_cost_energy,regret_motion,regret_stability,regret_energy,utopia_l2_score,chebyshev_score,selected_utopia_l2,selected_chebyshev
flat_train:flat:27109,flat_train,flat,27109,balanced,0.20336247688943415,0.011319688092373712,0.5398507269940538,0.1977714305228086,0.01126968922152145,0.5287614692834479,0.12454341387585748,0.00021304574626012835,0.039102180549233166,0.07536596900469061,0.12454341387585748,0,0
flat_train:flat:27109,flat_train,flat,27109,motion,0.1977714305228086,0.01126968922152145,0.545974628276557,0.1977714305228086,0.01126968922152145,0.5287614692834479,0.0,0.0,0.060695861556853706,0.03504277200854575,0.060695861556853706,1,1
flat_train:flat:27109,flat_train,flat,27109,energy,0.20704809962052603,0.011466874408318894,0.5287614692834479,0.1977714305228086,0.01126968922152145,0.5287614692834479,0.20664254292773895,0.0008402082798396507,0.0,0.11930611397800192,0.20664254292773895,0,0
flat_train:flat:27110,flat_train,flat,27110,balanced,0.2030668865745276,0.011339593400014291,0.5398930780819409,0.19811627629340228,0.011186075202893503,0.5270839658942281,0.11027737291908564,0.000654142749878277,0.04516661353809963,0.06880297924550541,0.11027737291908564,0,0
flat_train:flat:27110,flat_train,flat,27110,motion,0.19811627629340228,0.011186075202893503,0.5445132367293413,0.19811627629340228,0.011186075202893503,0.5270839658942281,0.0,0.0,0.06145790032314457,0.03548273529539671,0.06145790032314457,1,1
flat_train:flat:27110,flat_train,flat,27110,stability,0.2089993411799948,0.011561008307855001,0.5270839658942281,0.19811627629340228,0.011186075202893503,0.5270839658942281,0.24242582971579923,0.0015975941412791894,0.0,0.13996765724079968,0.24242582971579923,0,0
flat_train:flat:27110,flat_train,flat,27110,energy,0.2066398466211281,0.011429106355070662,0.5331762958885133,0.19811627629340228,0.011186075202893503,0.5270839658942281,0.18986688312274394,0.0010355584495704401,0.021482356494809396,0.1103207404625535,0.18986688312274394,0,0
flat_train:flat:27111,flat_train,flat,27111,balanced,0.20316768653073153,0.011344575724625135,0.5386773192398534,0.19825580853955435,0.011154688255706846,0.5251980346888899,0.10941459137497879,0.0008091126225766195,0.04752972939587913,0.06887496556668249,0.10941459137497879,0,0
flat_train:flat:27111,flat_train,flat,27111,motion,0.19825580853955435,0.011154688255706846,0.5441999584682418,0.19825580853955435,0.011154688255706846,0.5251980346888899,0.0,0.0,0.06700328135510408,0.038684362526957575,0.06700328135510408,1,1
flat_train:flat:27111,flat_train,flat,27111,stability,0.20847993643569698,0.01152422144470383,0.5251980346888899,0.19825580853955435,0.011154688255706846,0.5251980346888899,0.22774767165050616,0.0015745850391376396,0.0,0.13149332208680442,0.22774767165050616,0,0
flat_train:flat:27111,flat_train,flat,27111,energy,0.20670640424647038,0.011458855911324839,0.5348920715715624,0.19825580853955435,0.011154688255706846,0.5251980346888899,0.1882413361667752,0.001296061772490941,0.03418244848567718,0.11046103415902968,0.1882413361667752,0,0
flat_train:flat:27112,flat_train,flat,27112,balanced,0.20315048976337174,0.01134025865273791,0.5398882432083011,0.198720912340578,0.011222948523588556,0.5318011347611012,0.0986710998419272,0.0004998597684804525,0.02851620756556119,0.05929983107824699,0.0986710998419272,0,0
flat_train:flat:27112,flat_train,flat,27112,motion,0.198720912340578,0.011222948523588556,0.5412167918833207,0.198720912340578,0.011222948523588556,0.5318011347611012,0.0,0.0,0.03320084485281421,0.019168516713095284,0.03320084485281421,1,1
flat_train:flat:27112,flat_train,flat,27112,stability,0.20872493375494489,0.01146278625955931,0.5318011347611012,0.198720912340578,0.011222948523588556,0.5318011347611012,0.22284468733254537,0.0010219512675038096,0.0,0.1286607931173195,0.22284468733254537,0,0
flat_train:flat:27112,flat_train,flat,27112,energy,0.20712747447685798,0.011446548861887082,0.5319637589689474,0.198720912340578,0.011222948523588556,0.5318011347611012,0.18726046588730566,0.0009527635349523262,0.0005734343364385668,0.10811678665471351,0.18726046588730566,0,0
flat_train:flat:27113,flat_train,flat,27113,balanced,0.20367704622730012,0.011178079513702087,0.5336556537223809,0.19822918114377214,0.011178079513702087,0.52668784843944,0.12135397765394701,0.0,0.024569397457944654,0.07148529728524863,0.12135397765394701,0,0
flat_train:flat:27113,flat_train,flat,27113,motion,0.19822918114377214,0.011230144000408367,0.5447735352303588,0.19822918114377214,0.011178079513702087,0.52668784843944,0.0,0.00022184735844865778,0.06377250927977098,0.03681929818310377,0.06377250927977098,1,1
flat_train:flat:27113,flat_train,flat,27113,stability,0.20802844257175818,0.01149577633119367,0.52668784843944,0.19822918114377214,0.011178079513702087,0.52668784843944,0.2182835540389156,0.00135370968210374,0.0,0.12602849214068437,0.2182835540389156,0,0
flat_train:flat:27113,flat_train,flat,27113,energy,0.20666031099829776,0.011447181931646472,0.53356006919859,0.19822918114377214,0.011178079513702087,0.52668784843944,0.18780772436108958,0.001146648403736347,0.024232353860931945,0.10933170187689421,0.18780772436108958,0,0
flat_train:flat:27114,flat_train,flat,27114,balanced,0.20328787835881776,0.011348344572162406,0.5383290486249108,0.19845979969033284,0.01115823837550375,0.5237216763830551,0.1075479186550247,0.0008100446239174448,0.051507514899271994,0.06884822696922865,0.1075479186550247,0,0
flat_train:flat:27114,flat_train,flat,27114,motion,0.19845979969033284,0.01115823837550375,0.5453652245057256,0.19845979969033284,0.01115823837550375,0.5237216763830551,0.0,0.0,0.07631799607373696,0.044062215577184836,0.07631799607373696,1,1
flat_train:flat:27114,flat_train,flat,27114,stability,0.20851839042406653,0.01137361983371018,0.5237216763830551,0.19845979969033284,0.01115823837550375,0.5237216763830551,0.22406024679694075,0.0009177427952276858,0.0,0.12936232894026015,0.22406024679694075,0,0
flat_train:flat:27114,flat_train,flat,27114,energy,0.2058177996438252,0.01154011984588695,0.5333034075361279,0.19845979969033284,0.01115823837550375,0.5237216763830551,0.16390320763149446,0.0016272012038252314,0.03378644371871082,0.09662372557988046,0.16390320763149446,0,0
flat_train:flat:27115,flat_train,flat,27115,balanced,0.20313691726796257,0.011231403341328987,0.5368798356117361,0.19856969047869244,0.011209201391908272,0.5279277547289308,0.10173730979524691,9.46027540650317e-05,0.03156621408807231,0.06150044722305992,0.10173730979524691,0,0
flat_train:flat:27115,flat_train,flat,27115,motion,0.19856969047869244,0.011209201391908272,0.543621534955964,0.19856969047869244,0.011209201391908272,0.5279277547289308,0.0,0.0,0.05533833228084553,0.031949601038851125,0.05533833228084553,1,1
flat_train:flat:27115,flat_train,flat,27115,stability,0.20830776305207352,0.011567663899946663,0.5279277547289308,0.19856969047869244,0.011209201391908272,0.5279277547289308,0.21692054104565106,0.001527412744119209,0.0,0.12524223744039506,0.21692054104565106,0,0
flat_train:flat:27115,flat_train,flat,27115,energy,0.20643330498022344,0.011462355140740569,0.5321067565457254,0.19856969047869244,0.011209201391908272,0.5279277547289308,0.17516602997078326,0.0010786909467993566,0.014735709803153762,0.10149128496786773,0.17516602997078326,0,0
flat_train:flat:27116,flat_train,flat,27116,balanced,0.2029698577960702,0.011415495762404134,0.5358428073680077,0.19864074612357752,0.011147598932430539,0.5258374985649394,0.09643317393332086,0.0011415113799487842,0.035280034198703125,0.059288393738140495,0.09643317393332086,0,0
flat_train:flat:27116,flat_train,flat,27116,motion,0.19864074612357752,0.011147598932430539,0.5377098745329717,0.19864074612357752,0.011147598932430539,0.5258374985649394,0.0,0.0,0.04186355847843401,0.024169936756759516,0.04186355847843401,1,1
flat_train:flat:27116,flat_train,flat,27116,stability,0.20843107103799563,0.011515581602858404,0.5258374985649394,0.19864074612357752,0.011147598932430539,0.5258374985649394,0.21808448863417473,0.0015679782622241311,0.0,0.1259143925300841,0.21808448863417473,0,0
flat_train:flat:27116,flat_train,flat,27116,energy,0.20693989969954468,0.011519674417583605,0.5297673866003122,0.19864074612357752,0.011147598932430539,0.5258374985649394,0.18486788533911022,0.001585417791408928,0.01385730185983935,0.10703686809407063,0.18486788533911022,0,0
flat_train:flat:27117,flat_train,flat,27117,balanced,0.2031170081012406,0.011333191228952252,0.5368471043173095,0.19856032766351084,0.011188735855540864,0.5287186003481877,0.10150238442732036,0.0006155259569891287,0.02866217361796646,0.06089508221288401,0.10150238442732036,0,0
flat_train:flat:27117,flat_train,flat,27117,motion,0.19856032766351084,0.011188735855540864,0.5435178539779204,0.19856032766351084,0.011188735855540864,0.5287186003481877,0.0,0.0,0.052184113898826885,0.030128512206909795,0.052184113898826885,1,1
flat_train:flat:27117,flat_train,flat,27117,stability,0.2084080524227939,0.011376305027443523,0.5287186003481877,0.19856032766351084,0.011188735855540864,0.5287186003481877,0.21936309949995064,0.0007992343331407046,0.0,0.1266501851528381,0.21936309949995064,0,0
flat_train:flat:27117,flat_train,flat,27117,energy,0.20650600012789497,0.011492265555327915,0.5335824301082002,0.19856032766351084,0.011188735855540864,0.5287186003481877,0.17699391301078654,0.0012933434355811822,0.017150503162609645,0.10266881665309892,0.17699391301078654,0,0
low_friction_train:low_friction:27200,low_friction_train,low_friction,27200,balanced,0.20462128945075123,0.009825322868277425,0.5793831967885642,0.20083969493220918,0.009534826143187463,0.5742064052531155,0.08423694964234552,0.0012378097850606472,0.018254047526666907,0.04976814948410567,0.08423694964234552,0,0
low_friction_train:low_friction:27200,low_friction_train,low_friction,27200,motion,0.20083969493220918,0.009534826143187463,0.588925455449709,0.20083969493220918,0.009534826143187463,0.5742064052531155,0.0,0.0,0.05190130604954427,0.02996523301899754,0.05190130604954427,1,1
low_friction_train:low_friction:27200,low_friction_train,low_friction,27200,stability,0.20966806850134403,0.009991276654595453,0.5742064052531155,0.20083969493220918,0.009534826143187463,0.5742064052531155,0.19665653102695516,0.0019449407191828966,0.0,0.11354525381238519,0.19665653102695516,0,0
