context_index,context_id,group,terrain,seed,beta_name,beta_motion,beta_stability,beta_energy,feasible,strict_feasible,pareto_nondominated,good_candidate,cost_motion,cost_stability,cost_energy,motion_rank,stability_rank,energy_rank,episode_energy_abs_j,decision_time_s,roll_rms_rad,pitch_rms_rad,mean_applied_vx_mps
13,low_friction:low_friction:27030,low_friction,low_friction,27030,energy,0.15,0.15,0.7,True,True,True,True,0.2080273325320219,0.009993902648384493,0.5782372994177729,3,4,2,176.85897923957063,7.142000000000003,0.005149132618818964,0.026171956150134408,0.21590029486588072
14,low_friction:low_friction:27031,low_friction,low_friction,27031,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2055347178192255,0.010292064683519833,0.568297484325498,2,4,1,168.8525477015092,6.967999999999998,0.00529452616161003,0.02655949912755848,0.21889232318190968
14,low_friction:low_friction:27031,low_friction,low_friction,27031,motion,0.7,0.15,0.15,True,True,True,True,0.20015987006703234,0.00925378016895944,0.5800876405984401,1,1,4,172.35563891587216,6.9239999999999995,0.005524704129529122,0.025184203212785226,0.22307769191615726
14,low_friction:low_friction:27031,low_friction,low_friction,27031,stability,0.15,0.7,0.15,True,True,True,True,0.20957687708344389,0.010145226935374119,0.5692312872093561,4,3,2,174.10441095453697,7.1560000000000015,0.005129054738979683,0.02636935502833899,0.21467565289565496
14,low_friction:low_friction:27031,low_friction,low_friction,27031,energy,0.15,0.15,0.7,True,True,True,True,0.20833725388386398,0.00995801815861967,0.5770956854141067,3,2,3,176.50980652522426,7.134000000000001,0.0049588824973886055,0.026124926786510703,0.21589692132813587
15,low_friction:low_friction:27032,low_friction,low_friction,27032,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20453323149440447,0.009719938136177655,0.5793501857223018,2,2,3,172.13652632416566,6.934,0.005223226387931105,0.025810735273274512,0.21890956549083485
15,low_friction:low_friction:27032,low_friction,low_friction,27032,motion,0.7,0.15,0.15,True,True,True,True,0.20068497710262398,0.009411439533623561,0.5872469758325559,1,1,4,174.48282059003424,6.942000000000002,0.005406431580761236,0.025397832497317696,0.22306445315480233
15,low_friction:low_friction:27032,low_friction,low_friction,27032,stability,0.15,0.7,0.15,True,True,True,True,0.20897521676719713,0.01016015145029307,0.5771289053689308,4,4,1,176.51996714147387,7.153999999999999,0.005202891479243844,0.026388743899712692,0.21468491088066782
15,low_friction:low_friction:27032,low_friction,low_friction,27032,energy,0.15,0.15,0.7,True,True,True,True,0.2082569148493299,0.010028132844793647,0.5772221092659647,3,3,2,176.54847437562702,7.164000000000001,0.005129123379738458,0.02621673866366182,0.21588445633649828
16,low_friction:low_friction:27033,low_friction,low_friction,27033,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20463461071243727,0.009780384694420708,0.581893596309498,2,2,3,172.89222447406823,6.9440000000000035,0.0052299359809283436,0.025890867170980634,0.21890651197994454
16,low_friction:low_friction:27033,low_friction,low_friction,27033,motion,0.7,0.15,0.15,True,True,True,True,0.2002882341745071,0.009464903132588388,0.5889204415648022,1,1,4,174.98004072592195,6.940000000000002,0.005385852421187855,0.02546986909533358,0.22305829998324903
16,low_friction:low_friction:27033,low_friction,low_friction,27033,stability,0.15,0.7,0.15,True,True,True,True,0.2095885561924531,0.010114600108590608,0.574158039649037,4,4,1,175.61130165205057,7.152000000000001,0.005176790051363474,0.026329522716766883,0.21468364558049613
16,low_friction:low_friction:27033,low_friction,low_friction,27033,energy,0.15,0.15,0.7,True,True,True,True,0.20815886882446,0.010002504677964884,0.5790965128570541,3,3,2,177.12177724996047,7.148000000000001,0.005160764395973081,0.026183217072793783,0.21589987326945578
17,low_friction:low_friction:27034,low_friction,low_friction,27034,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2047064474410161,0.009814829716669936,0.579804652104803,2,2,3,172.2715573750616,6.954,0.0052241420064061475,0.02593641891926998,0.21889703422784804
17,low_friction:low_friction:27034,low_friction,low_friction,27034,motion,0.7,0.15,0.15,True,True,True,True,0.20045710768659405,0.009535381246601733,0.5841973935031608,1,1,4,173.57672869283886,6.952,0.005438567451306551,0.025564520833153935,0.22304508019896116
17,low_friction:low_friction:27034,low_friction,low_friction,27034,stability,0.15,0.7,0.15,True,True,True,True,0.20982223619925708,0.009966080548336717,0.5755878237461794,4,3,2,176.04861373172477,7.154000000000001,0.005232767100881484,0.02613550068529401,0.2146835591324738
17,low_friction:low_friction:27034,low_friction,low_friction,27034,energy,0.15,0.15,0.7,True,True,True,True,0.2080472198778769,0.010029267520107419,0.5755665490483494,3,4,1,176.04210667770792,7.155999999999998,0.005124097063127962,0.026218221926778588,0.21589100661022323
18,low_friction:low_friction:27035,low_friction,low_friction,27035,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20493656840762867,0.00959039138814898,0.5738482404568078,2,1,1,170.50178835502692,6.9380000000000015,0.005165328347876221,0.02563815633885188,0.21892927709747767
18,low_friction:low_friction:27035,low_friction,low_friction,27035,motion,0.7,0.15,0.15,True,True,True,True,0.2010389438696507,0.010034906981896413,0.5866424981844685,1,3,4,174.30321819212938,6.938000000000002,0.00532905773790045,0.026225592232305313,0.22306806992958572
18,low_friction:low_friction:27035,low_friction,low_friction,27035,stability,0.15,0.7,0.15,True,True,False,False,0.2097528846999821,0.01014276213130356,0.5739235262907941,4,4,2,175.5395736725539,7.165999999999999,0.00517463007490869,0.0263661520239288,0.21467904401676993
18,low_friction:low_friction:27035,low_friction,low_friction,27035,energy,0.15,0.15,0.7,True,True,False,False,0.20788674995377257,0.009960082234552702,0.5774155999126185,3,2,3,176.60765519688155,7.142,0.005143532245525847,0.02612763421246175,0.21590394903506552
19,low_friction:low_friction:27036,low_friction,low_friction,27036,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,False,False,0.2047542595353797,0.00980140916018347,0.5864584776543846,2,2,4,174.24854201250326,6.9639999999999995,0.005366952438024827,0.02591868058596755,0.2188959096722743
19,low_friction:low_friction:27036,low_friction,low_friction,27036,motion,0.7,0.15,0.15,True,True,True,True,0.20028740480854867,0.009296530367286232,0.5839077219528794,1,1,3,173.49066148224807,6.9399999999999995,0.005368784393115144,0.02524230856107788,0.2230673266684308
19,low_friction:low_friction:27036,low_friction,low_friction,27036,stability,0.15,0.7,0.15,True,True,True,True,0.20958940307754007,0.010076308761310031,0.574001159994393,4,4,1,175.5633186256846,7.151999999999999,0.005152921677327794,0.026279636989052994,0.2146844528615475
19,low_friction:low_friction:27036,low_friction,low_friction,27036,energy,0.15,0.15,0.7,True,True,True,True,0.2085847461344433,0.009904321929061774,0.5759518197715032,3,3,2,176.159945127245,7.1659999999999995,0.00513891253223997,0.026054395428278483,0.21589199862309866
20,rough_test:rough_perlin:2,rough_test,rough_perlin,2,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.23582894590470005,0.12865139586402446,0.637651402753908,2,3,3,217.3205991132149,7.964000000000004,0.012696503547836012,0.09383520528505906,0.21100651894051295
