decision_index,context_id,group,terrain,seed,mission,primary_metric,selected_beta_name,feasible_choice_count,preference_pair_count,support_class,max_margin_rho,beta_hat_motion,beta_hat_stability,beta_hat_energy,min_pair_margin_at_beta_hat,max_pair_margin_at_beta_hat,source_beta_consistent,source_beta_min_margin
83,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,balanced,2,1,strict,0.006751833998245083,0.0,0.0,1.0,0.006751833998245083,0.006751833998245083,1,0.000598765532345071
84,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,balanced,2,1,strict,0.006751833998245083,0.0,0.0,1.0,0.006751833998245083,0.006751833998245083,1,0.000598765532345071
85,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,balanced,2,1,strict,0.006751833998245083,0.0,0.0,1.0,0.006751833998245083,0.006751833998245083,1,0.000598765532345071
87,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,balanced,2,1,strict,0.006751833998245083,0.0,0.0,1.0,0.006751833998245083,0.006751833998245083,1,0.000598765532345071
88,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,balanced,2,1,strict,0.006751833998245083,0.0,0.0,1.0,0.006751833998245083,0.006751833998245083,1,0.000598765532345071
89,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,energy,3,2,strict,0.004609616660744442,0.0,0.0,1.0,0.004609616660744442,0.011361450658989525,1,0.0027316647836632393
91,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,balanced,2,1,strict,0.006751833998245083,0.0,0.0,1.0,0.006751833998245083,0.006751833998245083,1,0.000598765532345071
92,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,stability,3,2,strict,0.008195005507465658,0.0,0.0,1.0,0.008195005507465658,0.01494683950571074,1,0.00036923306474957105
93,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,stability,4,3,strict,0.003585388846721216,0.0,-0.0,1.0,0.003585388846721216,0.01494683950571074,1,0.00022339418104255144
96,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,motion,2,1,strict,0.005248853766773615,1.0,-0.0,0.0,0.005248853766773615,0.005248853766773615,1,0.0029067481227663646
98,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,balanced,2,1,strict,0.0031021481926480077,1.0,-0.0,0.0,0.0031021481926480077,0.0031021481926480077,0,-0.00041467046238307975
99,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,motion,3,2,strict,0.005248853766773615,1.0,-0.0,0.0,0.005248853766773615,0.008351001959421622,1,0.0029067481227663646
101,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,energy,2,1,strict,0.0019501894379919116,1.0,-0.0,0.0,0.0019501894379919116,0.0019501894379919116,0,-0.006273401384293314
102,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,balanced,3,2,strict,0.0031021481926480077,1.0,-0.0,0.0,0.0031021481926480077,0.005052337630639919,0,-0.0028808222722020963
103,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,motion,4,3,strict,0.005248853766773615,1.0,-0.0,0.0,0.005248853766773615,0.010301191397413534,1,0.0029067481227663646
106,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,motion,2,1,strict,0.005248853766773615,1.0,-0.0,0.0,0.005248853766773615,0.005248853766773615,1,0.0029067481227663646
108,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,balanced,2,1,strict,0.0031021481926480077,1.0,-0.0,0.0,0.0031021481926480077,0.0031021481926480077,0,-0.00041467046238307975
109,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,motion,3,2,strict,0.005248853766773615,1.0,-0.0,0.0,0.005248853766773615,0.008351001959421622,1,0.0029067481227663646
111,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,energy,2,1,strict,0.0019501894379919116,1.0,-0.0,0.0,0.0019501894379919116,0.0019501894379919116,0,-0.006273401384293314
112,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,balanced,3,2,strict,0.0031021481926480077,1.0,-0.0,0.0,0.0031021481926480077,0.005052337630639919,0,-0.0028808222722020963
113,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,motion,4,3,strict,0.005248853766773615,1.0,-0.0,0.0,0.005248853766773615,0.010301191397413534,1,0.0029067481227663646
119,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,balanced,2,1,strict,0.005248425678362145,0.0,0.0,1.0,0.005248425678362145,0.005248425678362145,0,-4.417455786861514e-05
120,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,balanced,2,1,strict,0.005248425678362145,0.0,0.0,1.0,0.005248425678362145,0.005248425678362145,0,-4.417455786861514e-05
121,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,balanced,2,1,strict,0.005248425678362145,0.0,0.0,1.0,0.005248425678362145,0.005248425678362145,0,-4.417455786861514e-05
123,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,balanced,2,1,strict,0.005248425678362145,0.0,0.0,1.0,0.005248425678362145,0.005248425678362145,0,-4.417455786861514e-05
