context_id,context_name,terrain,seed,friction_mu,start_x_m,start_y_m,start_yaw_rad,start_height_m,patch_min_m,patch_max_m,patch_std_m,geometry_sha256,h_l00_r00_m,h_l00_r01_m,h_l00_r02_m,h_l00_r03_m,h_l00_r04_m,h_l00_r05_m,h_l01_r00_m,h_l01_r01_m,h_l01_r02_m,h_l01_r03_m,h_l01_r04_m,h_l01_r05_m,h_l02_r00_m,h_l02_r01_m,h_l02_r02_m,h_l02_r03_m,h_l02_r04_m,h_l02_r05_m,h_l03_r00_m,h_l03_r01_m,h_l03_r02_m,h_l03_r03_m,h_l03_r04_m,h_l03_r05_m,h_l04_r00_m,h_l04_r01_m,h_l04_r02_m,h_l04_r03_m,h_l04_r04_m,h_l04_r05_m,h_l05_r00_m,h_l05_r01_m,h_l05_r02_m,h_l05_r03_m,h_l05_r04_m,h_l05_r05_m,h_l06_r00_m,h_l06_r01_m,h_l06_r02_m,h_l06_r03_m,h_l06_r04_m,h_l06_r05_m,h_l07_r00_m,h_l07_r01_m,h_l07_r02_m,h_l07_r03_m,h_l07_r04_m,h_l07_r05_m
rough_seed_12,rough_perlin_seed_12,rough_perlin,12,0.8,4.258293579026191,-3.840539322351291,2.407732592594281,0.36096506314835347,-0.052085512932362465,0.057482761085240974,0.024267624329910253,3e2efa1df3b5c55aa85f449cc7b1d5aa3852cf8d8c3f3e26e58f89c374332f6e,0.031318780769864385,0.016466190696921623,0.01607740268587432,0.006556739602922912,0.013373714589833996,0.020281023239069773,0.007216741651217329,-0.0068253677417758896,-0.003113951699569961,0.015800535235290403,0.02382150362693819,0.03546411616786338,-0.008863538101249568,-0.02910254827125941,-0.005942015033243653,0.008580345963648595,0.02269329858635133,0.03568971907278712,-0.004778368107831721,-0.003264758726526429,0.00987107045165786,0.013668365567387708,0.012488381526718495,0.029320310985608278,-0.018678746873753038,-0.010370238655708408,0.004701207628004134,0.0176691166454761,0.004675508177139798,0.01705420465959273,-0.03650597427764751,-0.027582193494283314,-0.0038461499566898594,0.020714602157215267,0.034139318244764405,0.03950731808080726,-0.04200330148007342,-0.03502332556987292,-0.008558895348655782,0.024690898130127537,0.03366823824063664,0.04991583723406917,-0.052085512932362465,-0.03523381718873014,-0.010159444030102216,0.008302925217703372,0.028021696623656944,0.057482761085240974
rough_seed_6,rough_perlin_seed_6,rough_perlin,6,0.8,-4.6845517935721155,-0.9169854323029576,0.19329901473468325,0.36540001187611876,-0.011500025505933875,0.07098555865619438,0.021326192849395686,21caeeea276ec4ffff229f8f058c5b5f3a95814ef3105198d9ad648b9d27a0be,0.0016635548073795081,0.015674090298373078,0.0015025489010872528,-0.007675872891827917,0.01149681655511331,0.03046127149246375,0.01783874589972828,0.021321396542484383,0.00062755279722021,-0.010168646189598174,-0.00034341353896744087,0.016256388484327033,0.028393626332413602,0.005924901213940514,-0.011500025505933875,0.00802949916592205,0.020416860615039945,0.026967635179865057,0.033046013642236194,0.03101726983458819,0.003337323723996033,0.020209974518729912,0.029336631973012894,0.04271061266191101,0.05272140818866056,0.05649102672466072,0.03725459525520797,0.03669781456165283,0.041020624050305765,0.04323256498756178,0.07098555865619438,0.05740390746345725,0.03715987773480983,0.033823546984690867,0.046465664580078836,0.03611634524900498,0.06919801404099013,0.04589694632465258,0.042240943649188956,0.042835003182865095,0.047894362280408165,0.046837194941472926,0.06289512400539887,0.03253075420949553,0.04234523080192004,0.04981464325873791,0.05597879527493188,0.06447629586644171
rough_seed_29,rough_perlin_seed_29,rough_perlin,29,0.8,0.3420706100771304,-3.6416574552642857,1.6644502147260145,0.1889811965295551,-0.062019335221903144,0.08531308326271062,0.03405029371773744,3c981ae0e1c05f1071437ca23aabf4e31462614c99deb6fc2c80f5fbf040e789,-0.030549355659760802,-0.03442727566621326,-0.016562077810505366,0.0111132687352615,0.023484873362834585,0.0018420805039906785,0.005033361445667461,-0.0025612298661689403,0.0065249625420287505,0.0179709893681283,0.009712522898271597,-0.004053213612616874,0.021107919948727127,0.009357335491179508,0.004009008547241205,0.002294506894194137,-0.012445782945162326,-0.040485347070165295,0.04769541213966072,0.02656602298484889,0.00700653795660236,-0.01946370251494653,-0.04602006972402742,-0.062019335221903144,0.05380469142017505,0.02908123709534613,0.003291012143629257,-0.032535500357688624,-0.055798261015053946,-0.047479186902122605,0.08043087988968498,0.03692694391865012,-0.010330639724072194,-0.029590015141324505,-0.03637638230452714,-0.023101297869351084,0.08531308326271062,0.04633969399050389,-0.012026512145880242,-0.0244956572299532,-0.018141859757539402,-0.0044542545867746475,0.07426574002633227,0.042245489735858816,-0.005273806478472393,-0.037356879315313146,-0.015112644502405015,0.007219479635836273
rough_seed_18,rough_perlin_seed_18,rough_perlin,18,0.8,6.777763384273261,-10.067798841459567,2.1633158527082585,0.17444892944092016,-0.04045099999716609,0.1360811964222598,0.04110752314770275,eb7ada2fae3783df2a2a6f0fa9d805f798b7ba21d08b1089acd5054d1c0e0a1a,0.011218532797388409,0.019265910884553705,0.023053720875945816,-0.011607510484660827,-0.02706300102703732,-0.04045099999716609,0.007227737790674427,0.006468741031724012,0.0020909188634770925,-0.01872764178796582,-0.017616056055190232,-0.018785013904567605,0.004241065228835161,2.801248233838538e-05,0.007725007652962357,-0.022279784572381,-0.01660262630165954,0.0015339109830696251,0.01320271378699256,-0.016044739466693242,-0.010897432930834172,0.011188994068908664,0.018170643229400874,0.018033972972946982,0.03403347711099419,0.025463867389564243,0.007391257157236875,0.019176727630861923,0.03546283238751363,0.044857036182229026,0.06265332687975275,0.05686777802341428,0.03033295694627744,0.027240109531027484,0.04212823255827883,0.051187588145351515,0.1113801060943686,0.09271577601233771,0.06189354220787363,0.041075499589561026,0.06564728782940724,0.07012360691259892,0.1360811964222598,0.12695706297953946,0.0868483497893065,0.06292830433151211,0.07619272245522957,0.09573251259748822
rough_seed_10,rough_perlin_seed_10,rough_perlin,10,0.8,1.3029370793604282,1.478086536875818,-2.293296001911904,0.3474669656132323,-0.14497324852965,0.049502369681692526,0.055392134936727906,0bdffad0444fb59699e1c1c059c6276c1b7e48978778032eb94a333fd89ab9c3,0.01924432561065814,0.01639756886001198,0.020693073704558307,0.01708524017670232,0.025615890160004928,0.049502369681692526,-0.005579346552149422,-0.0015401408626558588,0.01607070774903585,0.010336071451163553,0.01748025619881327,0.03441380687101803,-0.03578754394479622,-0.002161847158190233,0.017214532122660664,0.004419924585907509,-0.0054323067520541946,0.00272852392077394,-0.05927825548817517,-0.05832168000475485,-0.034586646305977076,-0.027790275126312214,-0.04999749808417703,-0.039741688741777026,-0.08932077133222688,-0.09754332835370166,-0.09438459630271578,-0.060064673300131544,-0.042807637635778495,-0.037328571242009334,-0.11453742609543135,-0.13491745161963214,-0.12131271977401697,-0.09516214050098654,-0.06371206639055854,-0.04887442074268228,-0.14364398741165257,-0.13182831131750766,-0.12349957633134157,-0.10432753174952519,-0.07900522629366924,-0.06283093307578036,-0.14497324852965,-0.12856763318663578,-0.11327524948575221,-0.10538397083822232,-0.08251044714429062,-0.06832453988871173
rough_seed_8,rough_perlin_seed_8,rough_perlin,8,0.8,9.610879852530699,6.165153267557349,-2.5712320210673125,0.3466389910036338,-0.036628100390195484,0.07427309364346768,0.027539814395628002,a7e68d69d3351ec494dc4c16c02e6130a1cd6e0aceb5fd7e1db6bb054ed20c4c,0.01687392093917539,-0.009474634934149684,-0.03472054176033107,-0.036628100390195484,-0.011940039320582962,-0.017797377104764756,0.04609624350694763,0.0040808546757167274,-0.01951274468612063,-0.01680929459061037,0.006638147873488376,-0.005282176263014804,0.049580636546907586,0.01775773656861268,-0.020293785722648283,0.0026160697881180695,0.035824228590077056,0.04259424116867516,0.04849153658750699,0.03889521862121165,0.026888134690880028,0.03589077731911794,0.07010716266767653,0.07427309364346768,0.04599424212789793,0.03431045183303222,0.0329943680760752,0.049774303200768644,0.05493724634865482,0.0670052420985815,0.044094905295803954,0.021766622681035908,0.02403421511219217,0.036128808831803194,0.02225309141457671,0.014716242387613543,-0.007141262045644137,-0.0006036436882897456,-0.008783465325639561,0.036800752697217165,0.027416882506387186,0.02161535632587841,-0.013780377023587143,0.003645252799108767,0.018636441607395915,0.048492267965975555,0.04671591271364295,0.03502390685340434
rough_seed_22,rough_perlin_seed_22,rough_perlin,22,0.8,1.6227625175229674,-1.8880883486815,2.2807618151223052,0.37385150716344573,-0.07695128905041171,0.04070788107268708,0.031002059467815646,bae8423a4d8fc31ee5de2f4f92a88a79b1ca92a5b357878d21b7017eff3b1727,-0.07330452834873291,-0.06441364798209737,-0.0309068225261111,0.0030277555259894395,0.01261945976230533,0.012286153710428682,-0.06545526666633356,-0.04667396574214733,-0.027511491398053978,-0.01180201240447415,0.024373958356067427,0.039921377363990485,-0.039929718207681986,-0.010879406445812645,-0.009652439165173221,0.0011145114987059501,0.018833915449364302,0.04070788107268708,-0.002871628935826931,0.001060307306707975,0.009802641363653386,0.03207056598882452,0.017518142329158604,0.026860166681337394,-0.01354008279226021,0.00724080087430462,0.023101366913249766,0.019891195088297287,-0.0015867957168732016,0.004220021075861724,-0.017858926338401804,-0.0039804909752199635,0.016842625373423403,0.015990428963868764,-0.005022846221817812,-0.003910461408780985,-0.043407110626004,-0.0367742122517839,-0.026137514214918667,-0.013608061114909142,-0.015099943388170778,0.0002366685574284877,-0.07695128905041171,-0.07627730496423185,-0.06310953163781591,-0.042348988845771596,-0.033877162335166966,-0.037416272221440616
rough_seed_20,rough_perlin_seed_20,rough_perlin,20,0.8,-6.053643520484392,0.1706648289056799,-0.028185396727102047,0.2451539029529119,-0.08475229802755654,0.06506699023609136,0.031677349495323366,6528ac7db66d786169a4e693f0dc93a32bebec1bb0634c87c91592da9998df72,-0.0031121826448631262,-0.005170267880736518,0.02208459535147478,0.03640923010901154,0.057924909599535834,0.06506699023609136,-0.02252771039322246,-0.02637372031801949,-0.011950601382021142,-0.006419941199726498,0.02716160701730702,0.0527757765036615,-0.03709940104549264,-0.022309118096193098,-0.006044827690146304,-0.002327695661960366,0.005953952008258878,0.028530154135344654,-0.02387081637910049,0.006579461254402841,0.0041557501763911375,0.0010185195709372374,0.0044429237488985696,0.015753686077425777,-0.03830484642115334,-0.002857125666443916,-0.0014955746173856421,-0.011214191246683797,-0.01695255687894842,-0.00969450398606811,-0.07188279500326283,-0.043311040794508315,-0.01752267375595362,-0.02333316412391709,-0.029230274552281776,-0.019471792081828476,-0.08475229802755654,-0.0670549126036506,-0.03436889805266524,-0.026672608255718266,-0.025345983803436667,-0.01507823734889105,-0.07797005232327278,-0.06515580026292944,-0.03179592671100778,-0.015096173482030517,-0.011652263114344058,-0.005554805727665868
rough_seed_28,rough_perlin_seed_28,rough_perlin,28,0.8,-7.411897870505735,-11.131215863896657,0.9833491645315174,0.2563947940534899,-0.1133788053830394,0.04563596867702285,0.043413257969143,e912305e7fc9cf71e3f002087c12b23da97f9ac8e4ef9792f18c88a934718ea2,-0.0010663503729062551,-0.009776239387724317,0.004899936675434258,0.015810939230397947,0.018142464616300147,0.026347109782749956,-0.03067557888491651,-0.02435058953741792,-0.00955198694812498,0.021403767775875382,0.04563596867702285,0.04443757747210414,-0.05275885847648984,-0.035742151335935224,-0.015511868172844223,0.029500831517813075,0.038124353601279304,0.03562351575105721,-0.07320161585610038,-0.04160587022511886,-0.01660383486253586,0.009495016441642079,0.00962655411346608,0.004628214362413285,-0.09984624111778173,-0.06953743382883498,-0.03512602791010602,-0.011893874642564722,-0.0022796142039271383,-0.024612825525220455,-0.1133788053830394,-0.09295832103708726,-0.06882770740333144,-0.04602496419264687,-0.034166522808834865,-0.026007038709173286,-0.09985332230109406,-0.10025181380702075,-0.08486716727715768,-0.06675840034980171,-0.03865762140782025,0.010656181656501174,-0.07904588712423505,-0.07779431474546564,-0.07965162409186335,-0.07405914182131024,-0.041482377836286666,0.00137879179199063
rough_seed_17,rough_perlin_seed_17,rough_perlin,17,0.8,1.8259499244394541,7.976552319381399,-1.795831405560206,0.2555815605639402,-0.10120398189678603,0.05642415021879321,0.03918731874207732,51adb88aa1a8e056ebed8341bb3b803c71ab9f09013de2740939495b0ac985f1,0.03751103217168078,0.03778416529551948,0.024026721310934862,0.026624555802821748,0.03034964678943064,0.01931762971761225,0.05642415021879321,0.016323217339530016,-0.0008801996439923299,0.00993941289469047,0.02068750781836881,0.019870864035121394,0.021774125869500116,0.0022174476239827934,0.0033679711096759046,0.0030056008331902917,-0.0037589637317049784,-0.010606174727159579,-0.00011036697704536191,-0.01702958270754798,-0.01603808667225745,-0.010569947811797875,-0.021827435434772835,-0.04030363255423591,0.0030744401536970667,-0.023015390690877935,-0.03222022196354843,-0.038174756023812706,-0.03860810041387988,-0.06084617790380237,0.00505240905500659,-0.023252675754837304,-0.0457351973203767,-0.057981044752867084,-0.07683986910605387,-0.09133446939000017,-0.015390147459634851,-0.03137948217621983,-0.053817236966673065,-0.07760511966967851,-0.10120398189678603,-0.09343762081188625,-0.03858097841861077,-0.0536686531955346,-0.062345405265325005,-0.06692303054714194,-0.08066143524086467,-0.07326334285285824
