context_id,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,terrain,seed,J_motion_s_per_m,J_stability_attitude,J_stability_slip,J_stability,J_stability_dominant,J_energy_j_per_m,source_stage
rough_seed_7,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,rough_perlin,7,4.461845908155069,0.32253662939587835,0.08528550512447082,0.32253662939587835,attitude,133.44172120843342,T5.5c_frozen
rough_seed_7,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,rough_perlin,7,4.466935622132612,0.32689432531501356,0.08556475170401365,0.32689432531501356,attitude,132.94473259458152,T5.5c_frozen
rough_seed_7,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,rough_perlin,7,4.462975440962209,0.322586198288996,0.08576287657922328,0.322586198288996,attitude,133.5844076701087,T5.5c_frozen
rough_seed_7,lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,rough_perlin,7,4.469398397095388,0.32652904701662094,0.08774914924649739,0.32652904701662094,attitude,133.13237851643888,T5.5c_frozen
rough_seed_7,lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,rough_perlin,7,4.497729637438085,0.3265309299802105,0.08234430441700237,0.3265309299802105,attitude,131.49954496073363,T5.5c_frozen
rough_seed_7,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,rough_perlin,7,4.465937672420268,0.322704146842524,0.08490222276207526,0.322704146842524,attitude,133.91588061875777,T5.5c_frozen
rough_seed_7,lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,rough_perlin,7,4.4872138570754805,0.32490183075615703,0.08379888268158359,0.32490183075615703,attitude,131.7939011223825,T5.5c_frozen
rough_seed_7,lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,rough_perlin,7,4.505544911216852,0.3254205127257129,0.08187706220214624,0.3254205127257129,attitude,131.11115297046106,T5.5c_frozen
rough_seed_7,lm040_ls000_le060,0.37,0.15,0.48,0.4,0.0,0.6,rough_perlin,7,4.53305918022979,0.32475178181117137,0.08256227758008915,0.32475178181117137,attitude,132.54877157815642,T5.5c_frozen
rough_seed_7,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,rough_perlin,7,4.46590350015606,0.32274524555955125,0.0844132251423235,0.32274524555955125,attitude,133.13471698179052,T5.5c_frozen
rough_seed_7,lm020_ls060_le020,0.26,0.48,0.26,0.2,0.6,0.2,rough_perlin,7,4.489898789157855,0.324841505838522,0.08934583934586049,0.324841505838522,attitude,132.17513111139635,T5.5c_frozen
rough_seed_7,lm020_ls040_le040,0.26,0.36999999999999994,0.37,0.2,0.4,0.4,rough_perlin,7,4.5027371195433625,0.3259168951780278,0.08105134474329524,0.3259168951780278,attitude,131.35874732814656,T5.5c_frozen
rough_seed_7,lm020_ls020_le060,0.26,0.26,0.48,0.2,0.2,0.6,rough_perlin,7,4.565303810371516,0.3199357677276557,0.08220640569396734,0.3199357677276557,attitude,130.33310099906856,T5.5c_frozen
rough_seed_7,lm020_ls000_le080,0.26,0.15,0.59,0.2,0.0,0.8,rough_perlin,7,4.567905467165396,0.32371451106787963,0.09157682739013936,0.32371451106787963,attitude,130.69671561842617,T5.5c_frozen
rough_seed_7,lm000_ls100_le000,0.15,0.7,0.15,0.0,1.0,0.0,rough_perlin,7,4.4738512219075055,0.32303973485454657,0.08106480366178742,0.32303973485454657,attitude,132.4366902164479,T5.5c_frozen
rough_seed_7,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,rough_perlin,7,4.491342318424296,0.32501688318243815,0.08878729547644068,0.32501688318243815,attitude,131.9704902320511,T5.5c_frozen
rough_seed_7,lm000_ls060_le040,0.15,0.48,0.37,0.0,0.6,0.4,rough_perlin,7,4.528300418459131,0.3215065063942171,0.08335312277370507,0.3215065063942171,attitude,131.85710764790647,T5.5c_frozen
rough_seed_7,lm000_ls040_le060,0.15,0.37,0.48,0.0,0.4,0.6,rough_perlin,7,4.555083872443663,0.32303756089221736,0.09172470782672527,0.32303756089221736,attitude,131.37406904897676,T5.5c_frozen
rough_seed_7,lm000_ls020_le080,0.15,0.26,0.59,0.0,0.2,0.8,rough_perlin,7,4.56559546460837,0.3241229835878246,0.09311118988540396,0.3241229835878246,attitude,130.59988592661236,T5.5c_frozen
rough_seed_7,lm000_ls000_le100,0.15,0.15,0.7,0.0,0.0,1.0,rough_perlin,7,4.573155468949753,0.3253159646534224,0.0848102771500106,0.3253159646534224,attitude,130.78133396409922,T5.5c_frozen
rough_seed_15,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough_perlin,15,4.460888283876722,0.4408694199505785,0.105039309189349,0.4408694199505785,attitude,152.48257171002587,T5.5c_frozen
rough_seed_15,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,rough_perlin,15,4.459408350130682,0.44095763826169493,0.10530381050465498,0.44095763826169493,attitude,152.45271382321184,T5.5c_frozen
rough_seed_15,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,rough_perlin,15,4.458695370497478,0.4437716899821233,0.11301068510373102,0.4437716899821233,attitude,152.1452722039196,T5.5c_frozen
rough_seed_15,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,rough_perlin,15,4.4607908189180385,0.4406518202105258,0.10673868312759288,0.4406518202105258,attitude,152.39907229543368,T5.5c_frozen
rough_seed_15,lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,rough_perlin,15,4.4568027708131055,0.44434494593703217,0.11314831093811131,0.44434494593703217,attitude,152.34323898074743,T5.5c_frozen
rough_seed_15,lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,rough_perlin,15,4.465628593516422,0.44616738376967957,0.11043489286169303,0.44616738376967957,attitude,153.46376742851345,T5.5c_frozen
rough_seed_15,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,rough_perlin,15,4.453475368085315,0.44164200180248164,0.10088111352319713,0.44164200180248164,attitude,152.39428454563986,T5.5c_frozen
rough_seed_15,lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,rough_perlin,15,4.457888800593791,0.4438316309910415,0.11113920849667151,0.4438316309910415,attitude,151.8184833799612,T5.5c_frozen
rough_seed_15,lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,rough_perlin,15,4.486707073780261,0.4402481608298935,0.10652793261490634,0.4402481608298935,attitude,152.58585650112428,T5.5c_frozen
rough_seed_15,lm040_ls000_le060,0.37,0.15,0.48,0.4,0.0,0.6,rough_perlin,15,4.495462948721347,0.4414901757844491,0.10582403965305305,0.4414901757844491,attitude,152.71815802281316,T5.5c_frozen
rough_seed_15,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,rough_perlin,15,4.456933387533737,0.4433532889437916,0.10466760961812518,0.4433532889437916,attitude,153.2721695756916,T5.5c_frozen
rough_seed_15,lm020_ls060_le020,0.26,0.48,0.26,0.2,0.6,0.2,rough_perlin,15,4.455873479065406,0.44396975897545204,0.11091571410629032,0.44396975897545204,attitude,151.79949212992656,T5.5c_frozen
rough_seed_15,lm020_ls040_le040,0.26,0.36999999999999994,0.37,0.2,0.4,0.4,rough_perlin,15,4.486830762380952,0.44011411366541975,0.10633036597430015,0.44011411366541975,attitude,152.57222796890807,T5.5c_frozen
rough_seed_15,lm020_ls020_le060,0.26,0.26,0.48,0.2,0.2,0.6,rough_perlin,15,4.499355834280552,0.44139325066381546,0.10502112851107841,0.44139325066381546,attitude,152.79258712211464,T5.5c_frozen
rough_seed_15,lm020_ls000_le080,0.26,0.15,0.59,0.2,0.0,0.8,rough_perlin,15,4.516154596949734,0.4405635037539356,0.10733628754309986,0.4405635037539356,attitude,153.12269832871402,T5.5c_frozen
rough_seed_15,lm000_ls100_le000,0.15,0.7,0.15,0.0,1.0,0.0,rough_perlin,15,4.455629524506238,0.4438324310001311,0.10755624918717112,0.4438324310001311,attitude,153.37214364263195,T5.5c_frozen
rough_seed_15,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,rough_perlin,15,4.462069108008689,0.44191884889571287,0.10061242344708969,0.44191884889571287,attitude,151.10764345690615,T5.5c_frozen
rough_seed_15,lm000_ls060_le040,0.15,0.48,0.37,0.0,0.6,0.4,rough_perlin,15,4.495297183249339,0.4394966012152416,0.10197775030904023,0.4394966012152416,attitude,153.784242345689,T5.5c_frozen
rough_seed_15,lm000_ls040_le060,0.15,0.37,0.48,0.0,0.4,0.6,rough_perlin,15,4.503668003129401,0.4390288881572686,0.107526881720448,0.4390288881572686,attitude,152.21766341880416,T5.5c_frozen
rough_seed_15,lm000_ls020_le080,0.15,0.26,0.59,0.0,0.2,0.8,rough_perlin,15,4.517769280058358,0.4404753399987589,0.11034482758622498,0.4404753399987589,attitude,153.4488670534351,T5.5c_frozen
rough_seed_15,lm000_ls000_le100,0.15,0.15,0.7,0.0,0.0,1.0,rough_perlin,15,4.537481388772532,0.44215224912443035,0.11317944899480623,0.44215224912443035,attitude,155.2102565928621,T5.5c_frozen
rough_seed_0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough_perlin,0,4.507595496334157,0.3649186844224,0.07803777170686689,0.3649186844224,attitude,129.7115052776725,T5.5c_frozen
rough_seed_0,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,rough_perlin,0,4.499353072637152,0.3664498598362224,0.0857725527831239,0.3664498598362224,attitude,131.9404342506173,T5.5c_frozen
rough_seed_0,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,rough_perlin,0,4.510029649343701,0.36730764890438294,0.08434458728825177,0.36730764890438294,attitude,132.9465567835709,T5.5c_frozen
