test_context,nearest_context,context_distance,preference_name,transferred_beta_name,oracle_beta_name,exact,oracle_score,transferred_score,score_excess
rough_seed_7,rough_seed_28,0.7625803859756003,balanced,lm000_ls100_le000,lm000_ls060_le040,0,0.22386239429317928,0.22990322265536745,0.0060408283621881664
rough_seed_7,rough_seed_28,0.7625803859756003,motion,lm060_ls040_le000,lm000_ls100_le000,0,0.11065640030868305,0.1594310772336032,0.04877467692492014
rough_seed_7,rough_seed_28,0.7625803859756003,stability,lm000_ls100_le000,lm020_ls020_le060,0,0.1515,0.33399078514714503,0.18249078514714503
rough_seed_7,rough_seed_28,0.7625803859756003,energy,lm000_ls100_le000,lm020_ls020_le060,0,0.1515,0.47936078445032654,0.3278607844503265
rough_seed_15,rough_seed_28,1.221169678982116,wm100_ws000_we000,lm100_ls000_le000,lm040_ls060_le000,0,0.0,0.14916620621221902,0.14916620621221902
rough_seed_15,rough_seed_28,1.221169678982116,wm080_ws020_we000,lm060_ls040_le000,lm080_ls020_le000,0,0.0962897550200626,0.1184209177887457,0.0221311627686831
rough_seed_15,rough_seed_28,1.221169678982116,wm080_ws000_we020,lm040_ls060_le000,lm020_ls060_le020,0,0.05259529022903838,0.097101400218543,0.04450610998950461
rough_seed_15,rough_seed_28,1.221169678982116,wm060_ws040_we000,lm000_ls100_le000,lm060_ls040_le000,0,0.13357670966840973,0.3930286152356917,0.259451905567282
rough_seed_15,rough_seed_28,1.221169678982116,wm060_ws020_we020,lm040_ls060_le000,lm060_ls040_le000,0,0.0989941531530156,0.10779458300918354,0.00880042985616794
rough_seed_15,rough_seed_28,1.221169678982116,wm060_ws000_we040,lm000_ls100_le000,lm000_ls080_le020,0,0.10375638555318287,0.34205622700826066,0.2382998414550778
rough_seed_15,rough_seed_28,1.221169678982116,wm040_ws060_we000,lm000_ls100_le000,lm060_ls040_le000,0,0.19963632702685763,0.5893283339582712,0.3896920069314136
rough_seed_15,rough_seed_28,1.221169678982116,wm040_ws040_we020,lm000_ls100_le000,lm060_ls040_le000,0,0.13425019216796522,0.3946348525505255,0.26038466038256025
rough_seed_15,rough_seed_28,1.221169678982116,wm040_ws020_we040,lm000_ls100_le000,lm000_ls080_le020,0,0.11883651661357011,0.3439148028786758,0.2250782862651057
rough_seed_15,rough_seed_28,1.221169678982116,wm040_ws000_we060,lm000_ls100_le000,lm000_ls080_le020,0,0.06917092370212191,0.5128697516171247,0.44369882791500276
rough_seed_15,rough_seed_28,1.221169678982116,wm020_ws080_we000,lm000_ls100_le000,lm000_ls060_le040,0,0.16906897526761827,0.7856280526808509,0.6165590774132326
rough_seed_15,rough_seed_28,1.221169678982116,wm020_ws060_we020,lm000_ls100_le000,lm020_ls040_le040,0,0.13665082942840379,0.5909345712731051,0.4542837418447013
rough_seed_15,rough_seed_28,1.221169678982116,wm020_ws040_we040,lm000_ls100_le000,lm060_ls040_le000,0,0.19653083135451732,0.39624108986535933,0.199710258510842
rough_seed_15,rough_seed_28,1.221169678982116,wm020_ws020_we060,lm000_ls100_le000,lm000_ls080_le020,0,0.11849408629821308,0.5147283274875398,0.39623424118932676
rough_seed_15,rough_seed_28,1.221169678982116,wm020_ws000_we080,lm000_ls100_le000,lm000_ls080_le020,0,0.034585461851060956,0.6836832762259888,0.6490978143749279
rough_seed_15,rough_seed_28,1.221169678982116,wm000_ws100_we000,lm000_ls100_le000,lm000_ls040_le060,0,0.0,0.9819277714034305,0.9819277714034305
rough_seed_15,rough_seed_28,1.221169678982116,wm000_ws080_we020,lm000_ls100_le000,lm000_ls040_le060,0,0.0837719963357539,0.7872342899956847,0.7034622936599307
rough_seed_15,rough_seed_28,1.221169678982116,wm000_ws060_we040,lm000_ls100_le000,lm000_ls040_le060,0,0.1675439926715078,0.5925408085879389,0.4249968159164311
rough_seed_15,rough_seed_28,1.221169678982116,wm000_ws040_we060,lm000_ls100_le000,lm000_ls080_le020,0,0.23630331196571208,0.516586903357955,0.2802835913922429
rough_seed_15,rough_seed_28,1.221169678982116,wm000_ws020_we080,lm000_ls080_le020,lm000_ls080_le020,1,0.11815165598285604,0.11815165598285604,0.0
rough_seed_15,rough_seed_28,1.221169678982116,wm000_ws000_we100,lm000_ls080_le020,lm000_ls080_le020,1,0.0,0.0,0.0
rough_seed_15,rough_seed_28,1.221169678982116,balanced,lm000_ls100_le000,lm060_ls040_le000,0,0.16401860528735004,0.3302724378528881,0.16625383256553808
rough_seed_15,rough_seed_28,1.221169678982116,motion,lm060_ls040_le000,lm040_ls060_le000,0,0.08084593725688764,0.10425991846924325,0.023413981212355606
rough_seed_15,rough_seed_28,1.221169678982116,stability,lm000_ls100_le000,lm000_ls040_le060,0,0.15212206927972094,0.6886828713056864,0.5365608020259655
rough_seed_15,rough_seed_28,1.221169678982116,energy,lm000_ls100_le000,lm000_ls080_le020,0,0.08887056472365981,0.5996704458243681,0.5107998811007083
rough_seed_0,rough_seed_20,0.5752181847315002,wm100_ws000_we000,lm100_ls000_le000,lm080_ls020_le000,0,0.0,0.10619701109911484,0.10619701109911484
rough_seed_0,rough_seed_20,0.5752181847315002,wm080_ws020_we000,lm080_ls000_le020,lm100_ls000_le000,0,0.1321155908798785,0.24271117982921991,0.1105955889493414
rough_seed_0,rough_seed_20,0.5752181847315002,wm080_ws000_we020,lm060_ls020_le020,lm060_ls040_le000,0,0.07240453062202368,0.18352336060504706,0.11111882998302339
rough_seed_0,rough_seed_20,0.5752181847315002,wm060_ws040_we000,lm000_ls060_le040,lm100_ls000_le000,0,0.26317972620432023,0.4386916723807043,0.17551194617638405
rough_seed_0,rough_seed_20,0.5752181847315002,wm060_ws020_we020,lm080_ls000_le020,lm100_ls000_le000,0,0.13190529976879115,0.24384552246622015,0.11194022269742901
rough_seed_0,rough_seed_20,0.5752181847315002,wm060_ws000_we040,lm060_ls020_le020,lm060_ls040_le000,0,0.0545652943321587,0.13846995083375396,0.08390465650159526
rough_seed_0,rough_seed_20,0.5752181847315002,wm040_ws060_we000,lm060_ls000_le040,lm060_ls000_le040,1,0.2718203446830262,0.2718203446830262,0.0
rough_seed_0,rough_seed_20,0.5752181847315002,wm040_ws040_we020,lm040_ls020_le040,lm100_ls000_le000,0,0.26296943509323284,0.28126674966425325,0.018297314571020407
rough_seed_0,rough_seed_20,0.5752181847315002,wm040_ws020_we040,lm060_ls020_le020,lm100_ls000_le000,0,0.13169500865770378,0.16470981306037352,0.03301480440266974
rough_seed_0,rough_seed_20,0.5752181847315002,wm040_ws000_we060,lm060_ls020_le020,lm100_ls000_le000,0,0.04247880443964593,0.20147437864055162,0.15899557420090568
rough_seed_0,rough_seed_20,0.5752181847315002,wm020_ws080_we000,lm020_ls020_le060,lm060_ls000_le040,0,0.1364945676812423,0.2810911202354776,0.1445965525542353
rough_seed_0,rough_seed_20,0.5752181847315002,wm020_ws060_we020,lm000_ls040_le060,lm000_ls060_le040,0,0.14786028400704418,0.20295013725491012,0.055089853247865944
rough_seed_0,rough_seed_20,0.5752181847315002,wm020_ws040_we040,lm000_ls060_le040,lm000_ls040_le060,0,0.2039002745098202,0.2821195723939319,0.07821929788411167
rough_seed_0,rough_seed_20,0.5752181847315002,wm020_ws020_we060,lm060_ls020_le020,lm100_ls000_le000,0,0.13148471754661642,0.20263047087660122,0.0711457533299848
rough_seed_0,rough_seed_20,0.5752181847315002,wm020_ws000_we080,lm060_ls020_le020,lm100_ls000_le000,0,0.021239402219822966,0.2678781260739489,0.24663872385412594
rough_seed_0,rough_seed_20,0.5752181847315002,wm000_ws100_we000,lm000_ls000_le100,lm000_ls040_le060,0,0.0,1.0077251938548986,1.0077251938548986
rough_seed_0,rough_seed_20,0.5752181847315002,wm000_ws080_we020,lm000_ls040_le060,lm000_ls040_le060,1,0.09596386274592054,0.09596386274592054,0.0
rough_seed_0,rough_seed_20,0.5752181847315002,wm000_ws060_we040,lm000_ls040_le060,lm000_ls040_le060,1,0.1919277254918411,0.1919277254918411,0.0
