beta_name,beta_motion,beta_stability,beta_energy,group,terrain,seed,status,success,m4_terminal,m4_interventions,policy_steps,decision_time_s,energy_abs_j,mean_cost_motion,mean_cost_stability,mean_cost_energy,roll_rms_rad,pitch_rms_rad,mean_applied_vx_mps,slip_speed_mean_mps,slip_speed_rms_mps,slip_speed_max_mps,slip_contact_time_s,slip_contact_samples,slip_physics_steps_with_contact,slip_per_foot_contact_samples,slip_foot_geom_names
motion,0.7,0.15,0.15,flat,flat,27102,success,True,False,0,34,6.95,162.0991113392462,0.19836849856298686,0.01118608613459809,0.5455678249423834,0.0038423637140579878,0.02768902780253562,0.22244870548739154,0.012197938579341518,0.06423800618528434,1.6032142008523715,21.35799999999363,10679,4189,"{""FL"": 2621, ""FR"": 2826, ""RL"": 2666, ""RR"": 2566}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
motion,0.7,0.15,0.15,low_friction,low_friction,27200,success,True,False,0,34,6.9380000000000015,174.65537627974732,0.20014630243726916,0.009345904580180508,0.5878277367728252,0.005423836512259903,0.02530925133426422,0.2230630355284495,0.06957543779951225,0.1989529469990664,1.9591671008150546,21.067999999993788,10534,4188,"{""FL"": 2603, ""FR"": 2738, ""RL"": 2636, ""RR"": 2557}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
motion,0.7,0.15,0.15,low_friction,low_friction,27201,success,True,False,0,34,6.950000000000002,174.83241768296296,0.20000621189757872,0.009449568903856096,0.588423595025712,0.005569065334935987,0.025449228749749853,0.22305897846817974,0.06933280719206393,0.1980693206192239,1.9591671008150546,21.071999999993785,10536,4188,"{""FL"": 2604, ""FR"": 2738, ""RL"": 2635, ""RR"": 2559}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
motion,0.7,0.15,0.15,low_friction,low_friction,27202,success,True,False,0,34,6.924000000000002,173.82570103958201,0.19984132140780708,0.009287217001456113,0.5850353456705802,0.0053330280060007165,0.025229661366912324,0.2230699636918657,0.06947370154728932,0.1986618653736396,1.9591671008150546,21.04999999999376,10525,4183,"{""FL"": 2598, ""FR"": 2738, ""RL"": 2636, ""RR"": 2553}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
motion,0.7,0.15,0.15,rough,rough_perlin,13,success,True,False,0,34,6.942000000000001,234.6029541469133,0.20193992231146748,0.23370949423199447,0.7895899142292261,0.008745037745585774,0.12656301242584755,0.21585489743772676,0.02819078640416868,0.13503795954761902,2.921035754704823,20.239999999994296,10120,4186,"{""FL"": 2632, ""FR"": 2656, ""RL"": 2449, ""RR"": 2383}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
motion,0.7,0.15,0.15,rough,rough_perlin,7,success,True,False,0,35,7.14,214.56869521837203,0.20474087948225497,0.10520901015693139,0.7015285477510361,0.005360616421692471,0.08491708856542188,0.21610784622175352,0.023399287008274948,0.11739018754815439,2.888623993207324,21.00999999999459,10505,4291,"{""FL"": 2727, ""FR"": 2709, ""RL"": 2551, ""RR"": 2518}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
motion,0.7,0.15,0.15,rough,rough_perlin,15,success,True,False,0,34,6.934000000000002,241.7685666302176,0.20557521795069889,0.1951585833109028,0.8137068115064405,0.009034529203137291,0.11565447938900103,0.21539962510852256,0.021261019323379902,0.10526879631099788,1.9498772329543013,20.56199999999408,10281,4185,"{""FL"": 2608, ""FR"": 2669, ""RL"": 2563, ""RR"": 2441}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
stability,0.15,0.7,0.15,flat,flat,27100,success,True,False,0,35,7.148000000000001,161.07953336228516,0.20801617231726022,0.01145527267289279,0.5266466806681821,0.0034366730993899753,0.02802020736327888,0.21398330967341153,0.012042732047037936,0.06407733560076358,1.6032142008523715,21.743999999994145,10872,4290,"{""FL"": 2722, ""FR"": 2826, ""RL"": 2661, ""RR"": 2663}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
stability,0.15,0.7,0.15,flat,flat,27101,success,True,False,0,35,7.146,162.28657866065137,0.2080756267476868,0.011435873764041395,0.5305930938873649,0.003512291096868182,0.027996471734225484,0.2139793751708099,0.01202634880414753,0.06394996059897579,1.6032142008523715,21.783999999994187,10892,4296,"{""FL"": 2728, ""FR"": 2832, ""RL"": 2662, ""RR"": 2670}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
stability,0.15,0.7,0.15,flat,flat,27102,success,True,False,0,35,7.142,161.37909308374475,0.20777960065384007,0.01151655377078587,0.5276260858705412,0.0034655394469962075,0.02809505553657096,0.21398146495223047,0.012042802616150438,0.06407774244729346,1.6032142008523715,21.743999999994145,10872,4290,"{""FL"": 2722, ""FR"": 2826, ""RL"": 2661, ""RR"": 2663}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
stability,0.15,0.7,0.15,low_friction,low_friction,27200,success,True,False,0,35,7.14,175.27665936331957,0.20891267551091755,0.010180444506649018,0.5730639326145014,0.00539706872195077,0.02641508403744178,0.21468824652688845,0.06811195927050274,0.19736059006768694,1.9591671008150546,21.451999999994293,10726,4289,"{""FL"": 2702, ""FR"": 2742, ""RL"": 2629, ""RR"": 2653}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
stability,0.15,0.7,0.15,low_friction,low_friction,27201,success,True,False,0,35,7.134000000000001,175.07828346167958,0.20953559120806148,0.010025721557253012,0.5724153461184858,0.004997428236014541,0.026213586532135513,0.21469210784350123,0.06811799595200026,0.19755944969464379,1.9591671008150546,21.495999999994332,10748,4295,"{""FL"": 2710, ""FR"": 2748, ""RL"": 2629, ""RR"": 2661}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
