mode,idx,context,scope,rows,valid_xy,x_start,x_end,x_min,x_max,y_start,y_end,y_min,y_max,delta_y,abs_delta_y,max_abs_y,mean_abs_y,j7_rows,j7_accepted,j7_projected,j7_empirical,j7_failsafe,run_max_abs_y,run_mean_abs_y,manifest,d5_log_dir,j7_csv
j19_profile,3,downslope,context_all,498,498,6.002554,7.999487,6.002554,7.999487,0.006866,0.094608,0.006866,0.099311,0.087743,0.087743,0.099311,0.049526,497,0,0,0,0,0.122530,0.056555,reports/phase_d4_context_meta_repeat_20260722_202004_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202004_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,3,goal_flat,context_all,333,333,8.004938,8.041561,8.004938,8.065006,0.094259,0.045381,0.044679,0.122530,-0.048877,0.048877,0.122530,0.092481,0,0,0,0,0,0.122530,0.056555,reports/phase_d4_context_meta_repeat_20260722_202004_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202004_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
baseline,4,flat,context_all,452,452,-0.002605,1.999186,-0.002605,1.999186,-0.000070,-0.134328,-0.134711,0.042537,-0.134258,0.134258,0.134711,0.040311,0,0,0,0,0,0.494151,0.269287,reports/phase_d4_context_meta_repeat_20260722_202447_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202447_trial_1,NA
baseline,4,upslope,context_all,439,439,2.004183,3.998509,2.004183,3.998509,-0.133986,-0.290622,-0.291850,-0.132846,-0.156636,0.156636,0.291850,0.243484,0,0,0,0,0,0.494151,0.269287,reports/phase_d4_context_meta_repeat_20260722_202447_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202447_trial_1,NA
baseline,4,rough,context_all,439,439,4.002966,5.997902,4.002966,5.997902,-0.290902,-0.367470,-0.376288,-0.272004,-0.076568,0.076568,0.376288,0.325247,0,0,0,0,0,0.494151,0.269287,reports/phase_d4_context_meta_repeat_20260722_202447_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202447_trial_1,NA
baseline,4,downslope,context_all,503,503,6.002194,7.999718,6.002194,7.999718,-0.366965,-0.374955,-0.408592,-0.311134,-0.007990,0.007990,0.408592,0.356081,0,0,0,0,0,0.494151,0.269287,reports/phase_d4_context_meta_repeat_20260722_202447_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202447_trial_1,NA
baseline,4,goal_flat,context_all,395,395,8.004327,8.211973,8.004327,8.212100,-0.373744,-0.494151,-0.494151,-0.320505,-0.120407,0.120407,0.494151,0.387264,0,0,0,0,0,0.494151,0.269287,reports/phase_d4_context_meta_repeat_20260722_202447_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202447_trial_1,NA
j19_profile,4,flat,context_all,416,416,0.089297,1.998373,0.089297,1.998373,0.007672,-0.055754,-0.064683,0.059154,-0.063426,0.063426,0.064683,0.032651,443,441,441,0,0,0.825721,0.400564,reports/phase_d4_context_meta_repeat_20260722_202944_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202944_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,4,upslope,context_all,421,421,2.003242,3.997096,2.003242,3.997096,-0.057196,-0.280834,-0.288574,-0.057196,-0.223638,0.223638,0.288574,0.156748,421,0,0,0,0,0.825721,0.400564,reports/phase_d4_context_meta_repeat_20260722_202944_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202944_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,4,rough,context_all,448,448,4.001850,5.999771,4.001850,5.999771,-0.280974,-0.543945,-0.543945,-0.276217,-0.262971,0.262971,0.543945,0.426591,448,0,0,0,0,0.825721,0.400564,reports/phase_d4_context_meta_repeat_20260722_202944_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202944_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
