update,beta,policy_step,episode_step,state_sim_time_s,reward_cost_traction,established_contact_time_s,established_contact_samples,traction_cost_time_sum_delta_s,reconstructed_cost_traction,reconstruction_abs_error,FL_contact_samples,FR_contact_samples,RL_contact_samples,RR_contact_samples,source_log
40,energy,12,18,3.6,0.0017426467405059186,0.39999999999995595,200,0.0006970586962022907,0.0017426467405059186,0.0,100,10,0,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,13,19,3.8000000000000003,0.0691361219404992,0.5119999999999436,256,0.03539769443353169,0.0691361219404992,0.0,43,100,99,44,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,14,20,4.0,0.0868750687825947,0.4119999999997832,206,0.03579252833841018,0.0868750687825947,0.0,26,100,100,20,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,15,21,4.2,0.05196361031740902,0.4439999999997557,222,0.023071842980916912,0.05196361031740902,0.0,100,20,22,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,16,22,4.4,0.026673947807105903,0.5119999999997162,256,0.013657061277230653,0.026673947807105903,0.0,100,54,42,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,17,23,4.6000000000000005,0.0006167633028447052,0.4019999999997772,201,0.0002479388477434341,0.0006167633028447052,0.0,0,100,100,1,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,18,24,4.8,0.2891228990473959,0.4999999999997229,250,0.14456144952361782,0.2891228990473959,0.0,68,76,79,67,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,19,25,5.0,0.0,0.3999999999997783,200,0.0,0.0,0.0,100,0,0,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,20,26,5.2,0.005036015685589987,0.5179999999997129,259,0.0026086561251341678,0.005036015685589987,0.0,57,97,87,58,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,21,27,5.4,0.007519685806242908,0.3999999999997783,200,0.0030078743224954962,0.007519685806242908,0.0,13,100,100,10,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,22,28,5.6000000000000005,0.22690519467850975,0.5079999999997185,254,0.11526783889661907,0.22690519467850975,0.0,100,34,37,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,23,29,5.8,0.0014981795396900373,0.4539999999997484,227,0.0006801735110189,0.0014981795396900373,0.0,100,42,28,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,24,30,6.0,0.004970894762604289,0.45799999999974617,229,0.0022766698012715025,0.004970894762604289,0.0,14,100,100,15,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,25,31,6.2,0.26719441773400787,0.5119999999997162,256,0.1368035418797362,0.26719441773400787,0.0,57,92,94,53,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,26,32,6.4,0.0,0.3999999999997783,200,0.0,0.0,0.0,100,0,0,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,27,33,6.6000000000000005,0.008714931557492173,0.5119999999997162,256,0.00446204495743352,0.008714931557492173,0.0,71,82,71,72,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,28,34,6.8,0.0,0.3999999999997783,200,0.0,0.0,0.0,0,100,100,0,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,29,35,7.0,0.0977052901467332,0.46199999999974395,231,0.04513984404776572,0.0977052901467332,0.0,97,49,51,94,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,30,36,7.2,4.130409223093225e-05,0.3999999999997783,200,1.6521636892363745e-05,4.130409223093225e-05,0.0,100,29,13,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,31,37,7.4,0.003060804163679185,0.4999999999997229,250,0.0015304020818387443,0.003060804163679185,0.0,28,100,100,29,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,32,38,7.6000000000000005,0.2925162427320605,0.48199999999973286,241,0.140992828996775,0.2925162427320605,0.0,42,100,100,39,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,33,39,7.8,0.02205373407982273,0.4279999999997628,214,0.009438998186158898,0.02205373407982273,0.0,100,6,8,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,34,40,8.0,0.005175941963393389,0.5119999999997233,256,0.0026500822852559835,0.005175941963393389,0.0,86,67,56,87,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,35,41,8.2,0.0,0.40000000000048885,200,0.0,0.0,0.0,0,100,100,0,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,36,42,8.4,0.16563162776956544,0.4660000000005695,233,0.07718433854071183,0.16563162776956544,0.0,83,63,65,79,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,37,43,8.6,0.0007458367990333714,0.40000000000048885,200,0.00029833471961371316,0.0007458367990333714,0.0,100,11,0,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
