beta_name,terrain_label,seed,success,policy_steps,mean_cost_motion,mean_cost_stability,mean_cost_energy,mean_cost_traction,mean_applied_vx,mean_applied_yaw_rate,mean_applied_body_height,mean_requested_norm_vx,mean_requested_norm_yaw,mean_requested_norm_height,episode_jsonl
stability,rough,15,True,37,0.2194560290246479,0.21167917921738713,0.787797218407154,0.026173850817831756,0.21337328196780103,0.005926324603324001,0.297785390818844,0.06686640983900509,0.014815811508310002,-0.03691015301926716,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/rough/episode_0002.jsonl
energy,flat,27100,True,38,0.22565490709868258,0.011666389075218631,0.5089249401919073,3.94936991648443e-06,0.21062263905217773,0.0020959632134212084,0.298852507959267,0.05311319526088865,0.00523990803355302,-0.019124867345549558,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/energy/flat/episode_0000.jsonl
energy,flat,27101,True,38,0.22565490709868258,0.011666389075218631,0.5089249401919073,3.94936991648443e-06,0.21062263905217773,0.0020959632134212084,0.298852507959267,0.05311319526088865,0.00523990803355302,-0.019124867345549558,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/energy/flat/episode_0001.jsonl
energy,flat,27102,True,38,0.22565490709868258,0.011666389075218631,0.5089249401919073,3.94936991648443e-06,0.21062263905217773,0.0020959632134212084,0.298852507959267,0.05311319526088865,0.00523990803355302,-0.019124867345549558,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/energy/flat/episode_0002.jsonl
energy,low_friction,27200,True,39,0.2298103900613391,0.7207445140123391,0.551314499462821,0.7156966494069663,0.20758279840915633,0.008077433950697573,0.2994601780029748,0.03791399204578155,0.020193584876743935,-0.008808113668167677,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/energy/low_friction/episode_0000.jsonl
energy,low_friction,27201,True,39,0.2298103900613391,0.7207445140123391,0.551314499462821,0.7156966494069663,0.20758279840915633,0.008077433950697573,0.2994601780029748,0.03791399204578155,0.020193584876743935,-0.008808113668167677,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/energy/low_friction/episode_0001.jsonl
energy,low_friction,27202,True,39,0.2298103900613391,0.7207445140123391,0.551314499462821,0.7156966494069663,0.20758279840915633,0.008077433950697573,0.2994601780029748,0.03791399204578155,0.020193584876743935,-0.008808113668167677,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/energy/low_friction/episode_0002.jsonl
energy,rough,13,True,38,0.22412602934619896,0.23962870492641086,0.7390028346088375,0.02501988255200724,0.20927442914169087,0.010912916495611793,0.29925617424346884,0.046372145708454285,0.027282291239029484,-0.012395643046291201,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/energy/rough/episode_0000.jsonl
energy,rough,7,True,39,0.22666575442556108,0.1113276701685663,0.6544957418963921,0.011326872436941268,0.20986710230891523,0.010846072282546606,0.2991935995007113,0.049335511544576056,0.027115180706366513,-0.013440008321478486,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/energy/rough/episode_0001.jsonl
energy,rough,15,True,38,0.2245167764008952,0.21018751203730004,0.7828572693516058,0.026307971483122222,0.20933203789356508,0.00997893950215688,0.2991042623719151,0.04666018946782539,0.024947348755392198,-0.014928960468080876,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/energy/rough/episode_0002.jsonl
