suite,split,heldout,base_tag,n_train,n_test,l1,target_beta,pred_beta
online_safe_g3,leave_one_rollout,p060_r1,p060,21,1,0.8537885926820881,"(0.0265, 0.5573, 0.4162)","(0.4534, 0.3120, 0.2346)"
online_safe_g3,leave_one_rollout,p060_r2,p060,21,1,1.5544196725719508,"(0.0265, 0.5573, 0.4162)","(0.8037, 0.1963, 0.0000)"
true_metric_upper_bound_g3_leaky,leave_one_condition,clean,,19,3,0.09874567508156262,"(0.3655, 0.2691, 0.3655)","(0.3643, 0.2376, 0.3981)"
true_metric_upper_bound_g3_leaky,leave_one_condition,m015,,19,3,0.47544181473008434,"(0.4287, 0.2704, 0.3009)","(0.5718, 0.1948, 0.2333)"
true_metric_upper_bound_g3_leaky,leave_one_condition,m030,,19,3,0.21018090149094548,"(0.3313, 0.1809, 0.4878)","(0.3821, 0.2226, 0.3953)"
true_metric_upper_bound_g3_leaky,leave_one_condition,m060,,19,3,0.14894723062585694,"(0.4489, 0.2333, 0.3178)","(0.3964, 0.2755, 0.3281)"
true_metric_upper_bound_g3_leaky,leave_one_condition,p015,,19,3,0.169058292562826,"(0.3672, 0.2869, 0.3460)","(0.3313, 0.3439, 0.3248)"
true_metric_upper_bound_g3_leaky,leave_one_condition,p030,,19,3,0.21975848826539668,"(0.4623, 0.3365, 0.2012)","(0.3534, 0.3504, 0.2962)"
true_metric_upper_bound_g3_leaky,leave_one_condition,p045,,21,1,0.28451510427417837,"(0.5711, 0.3831, 0.0458)","(0.4289, 0.3865, 0.1846)"
true_metric_upper_bound_g3_leaky,leave_one_condition,p060,,19,3,0.890351671342239,"(0.0265, 0.5573, 0.4162)","(0.2683, 0.2003, 0.5315)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,clean,clean,21,1,0.20808012413281296,"(0.3655, 0.2691, 0.3655)","(0.3268, 0.2037, 0.4695)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,clean_r1,clean,21,1,0.08771612226639602,"(0.3655, 0.2691, 0.3655)","(0.4093, 0.2469, 0.3438)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,clean_r2,clean,21,1,0.026204673443453397,"(0.3655, 0.2691, 0.3655)","(0.3593, 0.2822, 0.3585)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,m015,m015,21,1,0.09709383519388987,"(0.4287, 0.2704, 0.3009)","(0.4006, 0.3190, 0.2805)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,m015_r1,m015,21,1,0.20658555509315352,"(0.4287, 0.2704, 0.3009)","(0.3395, 0.2563, 0.4042)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,m015_r2,m015,21,1,1.0864692267336102,"(0.4287, 0.2704, 0.3009)","(0.9719, 0.0281, 0.0000)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,m030,m030,21,1,0.16916846635167937,"(0.3313, 0.1809, 0.4878)","(0.4124, 0.1844, 0.4032)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,m030_r1,m030,21,1,0.09518751781435533,"(0.3313, 0.1809, 0.4878)","(0.3788, 0.1620, 0.4592)"
