context_id,terrain,seed,context_friction_mu,context_height_std_m,context_height_relief_p95_p05_m,context_slope_rms,context_slope_q95,preference_name,preference_kind,w_motion,w_stability,w_energy,selected_beta_name,selected_beta_motion,selected_beta_stability,selected_beta_energy,selected_lambda_motion,selected_lambda_stability,selected_lambda_energy,selected_J_motion_s_per_m,selected_J_stability,selected_J_energy_j_per_m,regret_motion,regret_stability,regret_energy,tchebycheff_max_term,tchebycheff_aug_term,scalarization_score,pareto_count
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm060_ws000_we040,grid,0.6,0.0,0.4,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.542541160232466,0.2509052680762073,110.51206006721317,0.12004539642447351,0.7237294812464607,0.22756768461331556,0.09102707384532623,0.0016305431170001033,0.09265761696232633,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm040_ws060_we000,grid,0.4,0.6,0.0,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,4.550188003922176,0.24997079780404255,110.6622779661086,0.39680342338423646,0.17194612218620497,1.0,0.1587213693536946,0.0026188904266541756,0.16134025978034877,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm040_ws040_we020,grid,0.4,0.4,0.2,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.547219700831385,0.25017519271203076,110.62720484327328,0.289373254786527,0.2926366484276484,0.8196512287900357,0.16393024575800716,0.003967342070436773,0.16789758782844394,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm040_ws020_we040,grid,0.4,0.2,0.4,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.542541160232466,0.2509052680762073,110.51206006721317,0.12004539642447351,0.7237294812464607,0.22756768461331556,0.14474589624929216,0.002837911286644078,0.14758380753593622,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm040_ws000_we060,grid,0.4,0.0,0.6,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.542541160232466,0.2509052680762073,110.51206006721317,0.12004539642447351,0.7237294812464607,0.22756768461331556,0.13654061076798932,0.0018455876933777874,0.1383861984613671,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm020_ws080_we000,grid,0.2,0.8,0.0,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,4.550188003922176,0.24997079780404255,110.6622779661086,0.39680342338423646,0.17194612218620497,1.0,0.13755689774896399,0.002169175824258113,0.1397260735732221,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm020_ws060_we020,grid,0.2,0.6,0.2,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.547219700831385,0.25017519271203076,110.62720484327328,0.289373254786527,0.2926366484276484,0.8196512287900357,0.17558198905658903,0.003973868857719017,0.17955585791430806,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm020_ws040_we040,grid,0.2,0.4,0.4,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,4.566854367627028,0.2496795992077843,110.4678040997217,1.0,0.0,0.0,0.2,0.002,0.202,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm020_ws020_we060,grid,0.2,0.2,0.6,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.542541160232466,0.2509052680762073,110.51206006721317,0.12004539642447351,0.7237294812464607,0.22756768461331556,0.14474589624929216,0.0030529558630217617,0.14779885211231392,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm020_ws000_we080,grid,0.2,0.0,0.8,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.542541160232466,0.2509052680762073,110.51206006721317,0.12004539642447351,0.7237294812464607,0.22756768461331556,0.18205414769065245,0.0020606322697554716,0.18411477996040793,6
