tag,method,rows,target_beta_motion,target_beta_stability,target_beta_energy,pred_beta_motion,pred_beta_stability,pred_beta_energy,rmse_motion,rmse_stability,rmse_energy,mae_motion,mae_stability,mae_energy,mean_l1_beta_error
clean_r2,d7_pred,2222,0.38654282263837614,0.37583141992455904,0.23762575743706166,0.3347326539929494,0.4271992714864843,0.2380680745205652,0.12587670427086636,0.1429011142319349,0.0399883954422317,0.10897856765312379,0.13039084350015812,0.034299411360222055,0.27366882251350394
clean_r2,d7_raw,2222,0.38654282263837614,0.37583141992455904,0.23762575743706166,0.34366896780049216,0.41797748719516764,0.23835354500434097,0.12933575886325,0.14444198807142597,0.03582167527958294,0.11169551442572194,0.1310084375208979,0.02956899389628473,0.272272945842905
clean_r2,d7_prior,2222,0.38654282263837614,0.37583141992455904,0.23762575743706166,0.29898739873988417,0.464086408640871,0.23692619261925515,0.12437778090673836,0.1527443621130536,0.0591485997357129,0.11228715908984802,0.1372963972017599,0.05322108122024904,0.3028046375118655
clean_r2,d7_actual,2222,0.38654282263837614,0.37583141992455904,0.23762575743706166,0.29903240324033425,0.46399639963997075,0.23697119711970518,0.12438265011798817,0.15273748591244593,0.05913899237290959,0.11229927176074056,0.13731964780475228,0.05322108122024903,0.3028400007857504
clean_r2,f8_calibrated_trainfit,2222,0.38654282263837614,0.37583141992455904,0.23762575743706166,0.38768259686015183,0.38113310257544913,0.23118430056439765,0.0011714677551917763,0.005446282071553776,0.006617735445640312,0.001139774221770803,0.005301682650902336,0.00644145687267323,0.012882913745346372
m030,d7_pred,2225,0.04140922687178763,0.35190506186168713,0.6066857112665066,0.31047514556389627,0.4765331116552273,0.21299174278087651,0.2999541089270805,0.20805044187265542,0.3966696378674742,0.26906591869210894,0.18038204468371488,0.39369396848564314,0.843141931861469
m030,d7_raw,2225,0.04140922687178763,0.35190506186168713,0.6066857112665066,0.312650111728462,0.48023942327843033,0.20711046499310795,0.30719213406698365,0.22062215399013543,0.4023983911706054,0.27124088485667514,0.18989914256267013,0.3995752462734116,0.8607152736927572
m030,d7_prior,2225,0.04140922687178763,0.35190506186168713,0.6066857112665066,0.3017752808988863,0.46170786516854556,0.23651685393257743,0.2750479511125085,0.16730322179829976,0.374841445227649,0.2603660540270952,0.151206028440762,0.37016885733393506,0.7817409398017905
m030,d7_actual,2225,0.04140922687178763,0.35190506186168713,0.6066857112665066,0.30188764044944805,0.4615955056179836,0.23651685393257743,0.2751637760949162,0.1672877106973257,0.374841445227649,0.260478413577657,0.15118526894580622,0.37016885733393506,0.7818325398573964
m030,f8_calibrated_trainfit,2225,0.04140922687178763,0.35190506186168713,0.6066857112665066,0.041413339175527,0.3518831817381091,0.6067034790863644,0.00046711262598023433,0.0021544659411030474,0.0026214719620816203,0.0004049281169901512,0.001873356255567447,0.0022782408381407846,0.004556525210698383
m030_r1,d7_pred,2122,0.3986375907631747,0.16304800344385675,0.4383144057929921,0.3125696537387661,0.47212507079162375,0.2153052754696099,0.15315982632141542,0.3483210461974459,0.22876768938487707,0.13111197904496416,0.3090770673477751,0.22300913032337313,0.663198176716113
m030_r1,d7_raw,2122,0.3986375907631747,0.16304800344385675,0.4383144057929921,0.31448680797676865,0.47491717733889094,0.21059601468433958,0.1606170462174949,0.355293630616598,0.23300819977945117,0.13722014945326685,0.3118691738950422,0.22771839110864306,0.6768077144569521
m030_r1,d7_prior,2122,0.3986375907631747,0.16304800344385675,0.4383144057929921,0.30490103675778446,0.4609566446748429,0.23414231856738296,0.12865590666254542,0.324359966598287,0.21265576743739717,0.11513352373459104,0.2979086412309947,0.2041720872255874,0.6172142521911806
m030_r1,d7_actual,2122,0.3986375907631747,0.16304800344385675,0.4383144057929921,0.30497172478794465,0.46093308199812283,0.23409519321394281,0.12858795792636257,0.3243482016083391,0.21270303349487543,0.11506283570443081,0.2978850785542746,0.20421921257902756,0.6171671268377404
m030_r1,f8_calibrated_trainfit,2122,0.3986375907631747,0.16304800344385675,0.4383144057929921,0.39839195922235393,0.16195841411101664,0.4396496266666295,0.0005723525607429682,0.0026219552682891735,0.003194244715330259,0.0005022926714369266,0.002298999691264369,0.0028012539890114705,0.005602546351712777
m030_r2,d7_pred,2225,0.1182040613283906,0.4908241089520084,0.3909718297195724,0.3465942243325214,0.4135727162756832,0.2398330593917959,0.2519315382485209,0.144752220049775,0.15678056114365976,0.22839016300412898,0.1022238815072217,0.15113877032778505,0.48175281483913557
m030_r2,d7_raw,2225,0.1182040613283906,0.4908241089520084,0.3909718297195724,0.3580236792875527,0.4013647717370913,0.24061154897535636,0.2643696165304238,0.1520545458923222,0.15503058676450393,0.23981961795915907,0.10791190642978034,0.15036028074422364,0.4980918051331637
m030_r2,d7_prior,2225,0.1182040613283906,0.4908241089520084,0.3909718297195724,0.30087640449439207,0.4624044943820286,0.23671910112358868,0.2028972480774659,0.12843869993365273,0.16510328596987403,0.18267234316598582,0.1036187071004234,0.15425272859598546,0.4405437788623897
m030_r2,d7_actual,2225,0.1182040613283906,0.4908241089520084,0.3909718297195724,0.30087640449439207,0.4624044943820286,0.23671910112358868,0.2028972480774659,0.12843869993365273,0.16510328596987403,0.18267234316598582,0.1036187071004234,0.15425272859598546,0.4405437788623897
m030_r2,f8_calibrated_trainfit,2225,0.1182040613283906,0.4908241089520084,0.3909718297195724,0.11829770889047776,0.4912133760802662,0.3904889150292559,0.00024399571070678043,0.0011078353980513078,0.0013517024705241964,0.00021329951989166023,0.0009716910757942822,0.0011849374340995552,0.0023699280297854964
p030,d7_pred,2226,0.576932761602161,0.38202887472030395,0.041038363677542364,0.3419563369433193,0.42122237373321453,0.23682128932346552,0.25986745778144094,0.13366143923945376,0.19962332570028088,0.23497642465882712,0.12313627396660581,0.19578292564592453,0.553895624271358
p030,d7_raw,2226,0.576932761602161,0.38202887472030395,0.041038363677542364,0.3525128066146206,0.41059692494453587,0.23689026844084332,0.2532040034978442,0.13399632901513303,0.19888713804551297,0.2244199549875262,0.12215394255777456,0.19585190476330344,0.5424258023086044
p030,d7_prior,2226,0.576932761602161,0.38202887472030395,0.041038363677542364,0.2997304582210344,0.4637241689128553,0.2365453728661207,0.29100637469859925,0.14978244209853586,0.20435390162577163,0.27720230338112084,0.13400862191190213,0.19550700918859254,0.6067179344816145
p030,d7_actual,2226,0.576932761602161,0.38202887472030395,0.041038363677542364,0.2998427672956076,0.46361185983828207,0.2365453728661207,0.29090912918745115,0.14978771235929703,0.20435390162577163,0.2770899943065477,0.13401493716322316,0.19550700918859257,0.6066119406583623
p030,f8_calibrated_trainfit,2226,0.576932761602161,0.38202887472030395,0.041038363677542364,0.5769251167409744,0.38200962618688544,0.041065257072140336,0.00038800257341869374,0.001787632226931736,0.0021755789464434523,0.0003632173112474567,0.0016736013544209187,0.002036788182687233,0.004073606848355617
p030_r1,d7_pred,2223,0.2944794049631127,0.37871264464933824,0.32680795038754945,0.34480612431536944,0.41540298792936226,0.23979088775526813,0.12173186862487535,0.13367997342693635,0.09659978528992919,0.09354329519736122,0.12423665231852535,0.08701706263229173,0.304797010148177
p030_r1,d7_raw,2223,0.2944794049631127,0.37871264464933824,0.32680795038754945,0.35543972917859235,0.40410528686536107,0.24045498395604614,0.13159642401816185,0.1327646820180046,0.09424141759607153,0.10268819930194319,0.1231961417144502,0.08635296643151404,0.3122373074479066
p030_r1,d7_prior,2223,0.2944794049631127,0.37871264464933824,0.32680795038754945,0.30227170490329397,0.46059379217274665,0.23713450292396984,0.09019898109888379,0.15178080608373623,0.10775782377695019,0.07903930562243286,0.13642334782015705,0.08967344746358523,0.30513610090617094
p030_r1,d7_actual,2223,0.2944794049631127,0.37871264464933824,0.32680795038754945,0.30227170490329397,0.46059379217274665,0.23713450292396984,0.09019898109888379,0.15178080608373623,0.10775782377695019,0.07903930562243286,0.13642334782015705,0.08967344746358523,0.30513610090617094
p030_r1,f8_calibrated_trainfit,2223,0.2944794049631127,0.37871264464933824,0.32680795038754945,0.29511635115465357,0.381645803054858,0.3232378457904893,0.0008012122529351228,0.003687647016991296,0.00448885771844429,0.0006945188339940771,0.0031956773169330792,0.00389019615092712,0.007780392301854286
p030_r2,d7_pred,2121,0.34478491715079446,0.4635322677316953,0.19168281511751664,0.33463926893434165,0.43264242748252857,0.2327183035831296,0.1066052156551383,0.13066214585289165,0.060823762257946556,0.09485200834351502,0.10745404599049664,0.048635238918644366,0.25094129325265563
p030_r2,d7_raw,2121,0.34478491715079446,0.4635322677316953,0.19168281511751664,0.342585979156879,0.4250557453264453,0.2323582755166767,0.11090311876309485,0.1332863270677261,0.058298760797952466,0.09689157084684036,0.10650755313457794,0.04524245940576538,0.24864158338718426
p030_r2,d7_prior,2121,0.34478491715079446,0.4635322677316953,0.19168281511751664,0.30285242809996166,0.4629891560584709,0.23415841584157787,0.09735945262606943,0.12723304671587293,0.07297277999518746,0.08669375826514612,0.11161827771485137,0.06220664569247299,0.2605186816724693
p030_r2,d7_actual,2121,0.34478491715079446,0.4635322677316953,0.19168281511751664,0.3029467232437617,0.4628241395568207,0.23422913719942795,0.09736450343745533,0.12728301181480178,0.07300506210760521,0.08669867583501809,0.11165461177211843,0.06223806217986806,0.2605913497870033
p030_r2,f8_calibrated_trainfit,2121,0.34478491715079446,0.4635322677316953,0.19168281511751664,0.34352586962284587,0.4577165453313321,0.19875758504582214,0.0012932616260997913,0.005972083521083221,0.0072653337325980375,0.0012590475279372886,0.00581572240037231,0.007074769928309585,0.014149539856619207
