feature,kind,global_std,between_group_mean_range,separability_range_over_std,clean_mean,clean_std,clean_n,m015_mean,m015_std,m015_n,m030_mean,m030_std,m030_n,m060_mean,m060_std,m060_n,p015_mean,p015_std,p015_n,p030_mean,p030_std,p030_n,p060_mean,p060_std,p060_n
hold_drift,runtime_feature,0.024069462896982773,0.015456892109607313,0.6421785220452473,0.008178186644034772,0.019327346573408368,6672,0.014393698657250471,0.03533366524409546,2124,0.009058021040018259,0.026055602894523733,6572,0.017852784737196765,0.04301657796987884,2226,0.0023958926275894537,0.005806340771784394,2124,0.006344993367427702,0.018112329768547722,6570,0.0030390131631460675,0.0073563817916531314,2225
raw_beta_energy,runtime_feature,0.042743716524665035,0.01705540348702836,0.3990154547554757,0.23130917013788968,0.04026805699182901,6672,0.2274373780329567,0.04078387889712112,2124,0.2195779403881619,0.04758964600031581,6572,0.22265011192003595,0.04065552784019927,2226,0.22750821854472694,0.046229964614491324,2124,0.23663334387519025,0.03823517582983392,6570,0.2252789373635955,0.041998943623361075,2225
pred_beta_energy,runtime_feature,0.04524224887840367,0.0136754228551616,0.3022710672919168,0.23253474617790768,0.04350157913630339,6672,0.22870602295338982,0.04425537080273626,2124,0.2228260772058734,0.04871683499825223,6572,0.22524048485220124,0.04310482551254698,2226,0.2287391548648776,0.04844460739727043,2124,0.236501500061035,0.04205791584183588,6570,0.22731528472,0.045009119182828954,2225
raw_beta_stability,runtime_feature,0.14656777859049006,0.038749148564409086,0.2643769929315371,0.431044850367506,0.1439512816630527,6672,0.42988227105932203,0.14029519507005955,2124,0.45181734391615946,0.16334980938323235,6572,0.4467952465220126,0.1571882570571242,2226,0.4295568746299435,0.130929075595565,2124,0.4130681953517504,0.12994463627613773,6570,0.43814911538067414,0.14878743628415733,2225
pred_beta_stability,runtime_feature,0.1406770953432317,0.030854009805046878,0.21932504171889228,0.43720218724580334,0.13868654072859865,6672,0.43693312381826743,0.13657777291685505,2124,0.4537941064208764,0.15372280347076855,6572,0.45075605345732256,0.1481883992327548,2226,0.4363008669279661,0.12994335269244617,2124,0.42294009661582954,0.1279755578281655,6570,0.44319794398561796,0.14245052167972752,2225
raw_beta_motion,runtime_feature,0.12400142204928664,0.021693745083619986,0.17494755080306587,0.3376459795017986,0.12406557873324522,6672,0.34268035090725046,0.1191449288721099,2124,0.3286047156915703,0.13310847869559567,6572,0.3305546415732255,0.13169876328159547,2226,0.342934906819209,0.11090362797831464,2124,0.3502984607751903,0.11514784616955731,6570,0.33657194724943823,0.12631360998408805,2225
pred_beta_motion,runtime_feature,0.11635531167306545,0.017178586930253925,0.14763904357475513,0.3302630665753897,0.11659790446606447,6672,0.3343608532165725,0.11268098129985529,2124,0.32337981638405355,0.12344087302229932,6572,0.3240034616756514,0.12242108024513271,2226,0.3349599781939736,0.10618945465688343,2124,0.3405584033143075,0.10947114971490206,6570,0.3294867712903371,0.11804815619691972,2225
effort_proxy,runtime_feature,0.10281687249332545,0.014532620467350432,0.1413447045697081,0.4733382893606115,0.10908158071214188,6672,0.48137745653483993,0.09638110516943828,2124,0.4826558755817103,0.09987362175690923,6572,0.4730374332416891,0.11014811974002547,2226,0.48757005370903955,0.09106575944630318,2124,0.4759970532852359,0.10240143534179262,6570,0.4799615510413483,0.1008670548079907,2225
energy_score,runtime_feature,0.10281687249332545,0.014532620467350377,0.14134470456970755,0.5266617106393885,0.10908158071214188,6672,0.5186225434651601,0.09638110516943828,2124,0.5173441244182897,0.09987362175690923,6572,0.5269625667583109,0.11014811974002547,2226,0.5124299462909605,0.09106575944630318,2124,0.5240029467147641,0.10240143534179262,6570,0.5200384489586517,0.1008670548079907,2225
ref_vx_mean,runtime_feature,0.047549356094464215,0.006676358876350874,0.14040902810728384,0.18657786270983212,0.05102228555255958,6672,0.1907909604519774,0.0439205779154008,2124,0.18995853621424225,0.04579011709993681,6572,0.18613319856244384,0.05136204810328038,2226,0.19280955743879472,0.040394208547390995,2124,0.18875989345509894,0.047612078450262434,6570,0.18932359550561798,0.046869617297681666,2225
x,runtime_feature,2.6076657940359693,0.17012419012648383,0.06524002827186573,4.810383934726319,2.620000781547911,6672,4.824634465999529,2.6035444336814666,2124,4.759035240647901,2.604370829633547,6572,4.911424757091644,2.6207432050791257,2226,4.74130056696516,2.5837828375490983,2124,4.792217975875647,2.6138160906938888,6570,4.785391197299326,2.5712130145979017,2225
motion_score,runtime_feature,0.23537205984906864,0.014987878110078068,0.06367738855533228,0.5375558063442746,0.23758525641690179,6672,0.536235564911017,0.23363141996881093,2124,0.5318508754774802,0.2345521483074614,6572,0.5446628734038634,0.2360781771122643,2226,0.5296749952937854,0.23239986965430773,2124,0.5352639589112633,0.23590291198033675,6570,0.5344979688889888,0.23294676506469236,2225
actual_beta_energy,runtime_feature,0.05937784682514359,0.003776320109442982,0.06359813148098016,0.23741567980812472,0.059126006316838904,6671,0.23378060263653483,0.06012675625473176,2124,0.23580340839926964,0.059120221145849264,6572,0.2356019766397125,0.05980292338747816,2226,0.23363935969868174,0.05953748186212337,2124,0.23599695585996955,0.059534878997250254,6570,0.23546067415730337,0.05898829748344115,2225
prior_beta_energy,runtime_feature,0.05938707410671691,0.0037741501713882963,0.06355171101048444,0.23743705035971222,0.05916507102732934,6672,0.23378060263653483,0.06012675625473176,2124,0.23581862446743762,0.0591174385947843,6572,0.2356019766397125,0.05980292338747816,2226,0.23366290018832392,0.05953406119872062,2124,0.23597412480974125,0.05953909169666237,6570,0.23546067415730337,0.05898829748344115,2225
ram_slip_proxy_mean,runtime_feature,0.09430208635465845,0.00591039879960438,0.06267516476121326,0.09453687050359713,0.09366422449323158,6672,0.10044726930320151,0.09604239072649344,2124,0.09701765063907486,0.0938228685788797,6572,0.09701257861635221,0.0950425110535644,2226,0.10037664783427495,0.0948775072163066,2124,0.09672754946727549,0.09458685483239566,6570,0.09746067415730338,0.09358803536558749,2225
