tag,base_tag,n_group_rollouts,mean_abs_metric_z,max_abs_metric_z,beta_leave_one_out_delta_l1,full_beta_motion,full_beta_stability,full_beta_energy,loo_beta_motion,loo_beta_stability,loo_beta_energy,base_vx_mean,base_vy_abs_mean,joint_abs_power_mean,imu_ang_vel_norm_mean,contact_force_z_sum_mean,base_vx_mean_z,base_vx_mean_abs_z,base_vy_abs_mean_z,base_vy_abs_mean_abs_z,joint_abs_power_mean_z,joint_abs_power_mean_abs_z,imu_ang_vel_norm_mean_z,imu_ang_vel_norm_mean_abs_z,contact_force_z_sum_mean_z,contact_force_z_sum_mean_abs_z
p015_r1,p015,3,1.1016879939504038,1.388275413626062,0.1038459687402015,0.47649989846924007,0.25020220559342593,0.27329789593733406,0.5002214947498952,0.2784035936828715,0.22137491156723324,0.175348821828651,0.03421514073883624,158.3234968944494,0.47477116663011093,122.18526916195017,1.3649924086499592,1.3649924086499592,-1.3553293294806164,1.3553293294806164,-0.5496835815370559,0.5496835815370559,1.388275413626062,1.388275413626062,-0.8501592364583261,0.8501592364583261
m030_r2,m030,3,0.9057305205637622,1.411911879657693,0.04758823214342783,0.39759712813011666,0.19673475601025875,0.4056681158596246,0.4184033574029223,0.17294063993854486,0.4086560026585329,0.17293204508753202,0.0359085025547075,157.38888602829294,0.42197584638629976,123.62510732232782,-0.311003134207083,0.311003134207083,-1.384665508270189,1.384665508270189,-1.411911879657693,1.411911879657693,-1.3790258210839645,1.3790258210839645,-0.04204625959988181,0.04204625959988181
p060,p060,3,0.5422042808482961,0.7246898769462351,0.038889441494116384,0.02677075823783026,0.5621859229944355,0.41104331876773426,0.02588690729478216,0.5436250531904254,0.4304880395147925,0.17018795783937915,0.03533711853464203,159.30244568553488,0.42153433784642774,122.43538194331327,0.659131360848698,0.659131360848698,0.7246898769462351,0.7246898769462351,0.2092703596640243,0.2092703596640243,0.42359633687136794,0.42359633687136794,0.6943334699111551,0.6943334699111551
p030_r2,p030,3,0.38661887516702687,0.9661329680631222,0.03261111010013346,0.6600845643723372,0.30808502781847685,0.03183040780918594,0.6756635939011055,0.2917794727684101,0.03255693333048432,0.17388946913218356,0.03640548580059789,161.59181924687533,0.44402735882807653,123.72482057623257,-0.28049426931712784,0.28049426931712784,-0.4474510051220891,0.4474510051220891,-0.03125933290035216,0.03125933290035216,-0.9661329680631222,0.9661329680631222,-0.20775680043244313,0.20775680043244313
m030_r1,m030,3,0.9181977839988165,1.3502642162874985,0.024813167439357964,0.39759712813011666,0.19673475601025875,0.4056681158596246,0.3867473582397236,0.2091413397299377,0.4041113020303386,0.17416136578721125,0.03971824864435249,157.86869454975155,0.4516997920732395,124.40729975217741,1.3502642162874985,1.3502642162874985,0.9413830957432648,0.9413830957432648,0.6361087275637604,0.6361087275637604,0.4180063018051599,0.4180063018051599,1.2452265785943986,1.2452265785943986
m060,m060,3,0.6613996734697226,1.2935703518400585,0.02437123347799637,0.6775845065642447,0.2773932182350171,0.045022275200738246,0.6897701233032428,0.2757798850335461,0.03444999166321097,0.1732545665939449,0.03806464190824673,160.72398024007944,0.4599205770508802,123.36906580333269,0.5506006819015897,0.5506006819015897,0.15402933049544715,0.15402933049544715,-0.6522732722880996,0.6522732722880996,-0.6565247308234182,0.6565247308234182,-1.2935703518400585,1.2935703518400585
m060_r2,m060,3,1.0046557594188106,1.4130349030263596,0.02282192501287457,0.6775845065642447,0.2773932182350171,0.045022275200738246,0.6876437858963315,0.27874490140936764,0.03361131269430093,0.1714947074685453,0.03559785951508099,160.58127705603383,0.48188177853508024,124.30584808154273,-1.4034090089509579,1.4034090089509579,-1.294473586119528,1.294473586119528,-0.7605577476152162,0.7605577476152162,1.4130349030263596,1.4130349030263596,0.15180355138199075,0.15180355138199075
m030,m030,3,0.8845092969948868,1.2031803189945167,0.022275504627763038,0.39759712813011666,0.19673475601025875,0.4056681158596246,0.39164009931286986,0.20787250832414025,0.40048739236298986,0.17239314171971465,0.03890242857642325,157.90142204040933,0.46068154324946653,122.91956126841355,-1.039261082080378,1.039261082080378,0.4432824125269199,0.4432824125269199,0.7758031520938115,0.7758031520938115,0.961019519278808,0.961019519278808,-1.2031803189945167,1.2031803189945167
clean_r1,clean,3,0.8481229812425952,1.381101860517516,0.0177754891312919,0.39746926993448306,0.2047770106008745,0.39775371946464244,0.3931676224167398,0.2136647551665205,0.3931676224167398,0.1736698279077338,0.03607501807126134,157.71481717366666,0.46489190458134894,122.9648450602748,-1.2145284977343718,1.2145284977343718,-0.9157725040246482,0.9157725040246482,0.02048772613746342,0.02048772613746342,1.381101860517516,1.381101860517516,0.7087243177989767,0.7087243177989767
p030_r1,p030,3,0.9867491590000134,1.3153353057252777,0.015558616939944599,0.6600845643723372,0.30808502781847685,0.03183040780918594,0.6675938899943169,0.30030571934850453,0.03210039065717851,0.1737129318344725,0.03615795017640614,159.3645582416352,0.4524503244529645,124.79080961682467,-1.06016622067382,1.06016622067382,-0.9381009468329443,0.9381009468329443,-1.2088159797832403,1.2088159797832403,-0.4113273419847844,0.4113273419847844,1.3153353057252777,1.3153353057252777
clean_r2,clean,3,0.7516584701152548,1.3911710641968609,0.0010461426429660414,0.39746926993448306,0.2047770106008745,0.39775371946464244,0.3977612602148578,0.2042539392793915,0.39798480050575075,0.1744389632575795,0.037180634196047384,160.2333324834721,0.4432689310724821,122.96472158196131,-0.020183275746082044,0.020183275746082044,1.3911710641968609,1.3911710641968609,1.2143724808562901,1.2143724808562901,-0.4270775195390196,0.4270775195390196,0.7054880102380213,0.7054880102380213
