tag,reset_y,manifest,true_csv,summary_csv,n_rows,t_ros_start,t_ros_end,base_dx,base_dy,base_vx_mean,base_vx_std,base_vy_abs_mean,joint_abs_power_mean,joint_abs_power_max,joint_abs_effort_mean,joint_sq_effort_mean,energy_proxy,imu_ang_vel_norm_mean,imu_ang_vel_norm_max,imu_acc_norm_mean,imu_acc_norm_max,contact_count_mean,contact_force_z_sum_mean,contact_force_z_sum_max,contact_force_norm_sum_mean,contact_force_norm_sum_max,contact_load_proxy,base_tag,group_base_tag,group_reset_y,group_n_rollouts,group_base_vx_mean_mean,group_base_vx_mean_median,group_base_vx_mean_std,group_base_vx_mean_min,group_base_vx_mean_max,group_base_vy_abs_mean_mean,group_base_vy_abs_mean_median,group_base_vy_abs_mean_std,group_base_vy_abs_mean_min,group_base_vy_abs_mean_max,group_joint_abs_power_mean_mean,group_joint_abs_power_mean_median,group_joint_abs_power_mean_std,group_joint_abs_power_mean_min,group_joint_abs_power_mean_max,group_imu_ang_vel_norm_mean_mean,group_imu_ang_vel_norm_mean_median,group_imu_ang_vel_norm_mean_std,group_imu_ang_vel_norm_mean_min,group_imu_ang_vel_norm_mean_max,group_contact_force_z_sum_mean_mean,group_contact_force_z_sum_mean_median,group_contact_force_z_sum_mean_std,group_contact_force_z_sum_mean_min,group_contact_force_z_sum_mean_max,group_mean_motion_score,group_mean_stability_score,group_mean_energy_score,group_mean_beta_motion_true_seed,group_mean_beta_stability_true_seed,group_mean_beta_energy_true_seed,group_mean_dominant_beta_true_seed,group_robust_median_motion_score,group_robust_median_stability_score,group_robust_median_energy_score,group_robust_median_beta_motion_true_seed,group_robust_median_beta_stability_true_seed,group_robust_median_beta_energy_true_seed,group_robust_median_dominant_beta_true_seed,group_mean_vs_robust_beta_l1,group_beta_floor
m060_r1,-0.6,,datasets/phase_f/f3_m060_r1_20260721_122018_true_metrics.csv,datasets/phase_f/f3_m060_r1_20260721_122018_true_metric_summary.csv,8396,0.0,50.20075,7.469547234441761,-0.6465108626054583,0.17352674686232772,0.03249291557045016,0.039744494217657036,163.44548724273824,995.8477147553048,39.311168659790056,350.3217709040571,163.44548724273824,0.458859578185369,4.098629094182917,10.516275561365036,39.82106107210492,,124.94746754467705,640.852720575782,148.10318993973183,808.474362283621,124.94746754467705,m060,m060,-0.6,3,0.17275867364160596,0.1732545665939449,0.0009006399168019191,0.1714947074685453,0.17352674686232772,0.03780233188032825,0.03806464190824673,0.0017029875224072028,0.03559785951508099,0.039744494217657036,161.5835815129505,160.72398024007944,1.3178545088252323,160.58127705603383,163.44548724273824,0.4668873112571098,0.4599205770508802,0.010611533548007993,0.458859578185369,0.48188177853508024,124.2074604765175,124.30584808154273,0.648124527585393,123.36906580333269,124.94746754467705,0.9572655896911633,0.39917416004782996,0.349569465666878,0.5427050584287616,0.24201073804992115,0.2152842035213173,motion,0.7213843439098673,0.35090345461114203,0.4960566859526854,0.448911350942609,0.2333079648659234,0.3177806841914676,motion,0.20499296134030068,0.05
m060_r2,-0.6,,datasets/phase_f/f3_m060_r2_20260721_124829_true_metrics.csv,datasets/phase_f/f3_m060_r2_20260721_124829_true_metric_summary.csv,8394,0.0,50.47525,7.377348686659532,-0.1948048276414054,0.1714947074685453,0.0337742248644526,0.03559785951508099,160.58127705603383,1011.1899889019245,39.40449004412513,352.99868506321195,160.58127705603383,0.48188177853508024,4.209100125971557,10.50314607303638,33.94096148911698,,124.30584808154273,800.098151364807,148.087119741666,887.0149106458355,124.30584808154273,m060,m060,-0.6,3,0.17275867364160596,0.1732545665939449,0.0009006399168019191,0.1714947074685453,0.17352674686232772,0.03780233188032825,0.03806464190824673,0.0017029875224072028,0.03559785951508099,0.039744494217657036,161.5835815129505,160.72398024007944,1.3178545088252323,160.58127705603383,163.44548724273824,0.4668873112571098,0.4599205770508802,0.010611533548007993,0.458859578185369,0.48188177853508024,124.2074604765175,124.30584808154273,0.648124527585393,123.36906580333269,124.94746754467705,0.9572655896911633,0.39917416004782996,0.349569465666878,0.5427050584287616,0.24201073804992115,0.2152842035213173,motion,0.7213843439098673,0.35090345461114203,0.4960566859526854,0.448911350942609,0.2333079648659234,0.3177806841914676,motion,0.20499296134030068,0.05
p015,0.15,,datasets/phase_f/f3_p015_20260721_120342_true_metrics.csv,datasets/phase_f/f3_p015_20260721_120342_true_metric_summary.csv,8393,0.0,50.45225,7.4733757332798465,-0.06077558086014995,0.17384560890501577,0.037946769852074236,0.03752818152446936,162.33802494424972,988.071464935718,39.51323402720605,360.0986602353267,162.33802494424972,0.43966018479005287,3.8244394414782614,10.549435925074079,38.673220566575004,,124.39168359830379,896.4729294948455,147.31710562860692,1079.8998919795092,124.39168359830379,p015,p015,0.15,3,0.17448224621635577,0.17425230791540056,0.0006348574591358397,0.17384560890501577,0.175348821828651,0.03609964745508807,0.03655562010195862,0.0013904419208385333,0.03421514073883624,0.03752818152446936,159.45342762112307,158.3234968944494,2.0556021038760193,157.69876102467012,162.33802494424972,0.4484078386832235,0.43966018479005287,0.01898998403928266,0.4307921646295067,0.47477116663011093,123.01748986987495,122.47551684937089,0.9788998016321271,122.18526916195017,124.39168359830379,1.0,0.5286180512493641,0.7037420094588525,0.440739423615027,0.24287598704847133,0.31638458933650176,motion,0.9560914833512604,0.7361121287109744,0.8980646548841541,0.3671507258931243,0.28687414958352836,0.34597512452334733,motion,0.1471773954438053,0.05
p015_r1,0.15,,datasets/phase_f/f3_p015_r1_20260721_122942_true_metrics.csv,datasets/phase_f/f3_p015_r1_20260721_122942_true_metric_summary.csv,8393,0.0,50.535,7.535930642715764,-0.1793925429706259,0.175348821828651,0.045520479861358334,0.03421514073883624,158.3234968944494,1063.023133862315,39.59974603533484,363.70246715049683,158.3234968944494,0.47477116663011093,6.931394966714824,10.546311980925648,62.60924974042929,,122.18526916195017,966.954794214944,146.5408070850122,1110.9263121350687,122.18526916195017,p015,p015,0.15,3,0.17448224621635577,0.17425230791540056,0.0006348574591358397,0.17384560890501577,0.175348821828651,0.03609964745508807,0.03655562010195862,0.0013904419208385333,0.03421514073883624,0.03752818152446936,159.45342762112307,158.3234968944494,2.0556021038760193,157.69876102467012,162.33802494424972,0.4484078386832235,0.43966018479005287,0.01898998403928266,0.4307921646295067,0.47477116663011093,123.01748986987495,122.47551684937089,0.9788998016321271,122.18526916195017,124.39168359830379,1.0,0.5286180512493641,0.7037420094588525,0.440739423615027,0.24287598704847133,0.31638458933650176,motion,0.9560914833512604,0.7361121287109744,0.8980646548841541,0.3671507258931243,0.28687414958352836,0.34597512452334733,motion,0.1471773954438053,0.05
p015_r2,0.15,,datasets/phase_f/f3_p015_r2_20260721_125326_true_metrics.csv,datasets/phase_f/f3_p015_r2_20260721_125326_true_metric_summary.csv,8393,0.0,50.40825,7.486724173055385,0.2889273533200305,0.17425230791540056,0.030216197643021338,0.03655562010195862,157.69876102467012,905.2669361539243,39.48880960981814,358.8885431746925,157.69876102467012,0.4307921646295067,4.316224091351006,10.545070934655353,37.613065272683805,,122.47551684937089,813.0556680882353,146.39299487032483,903.8960376741328,122.47551684937089,p015,p015,0.15,3,0.17448224621635577,0.17425230791540056,0.0006348574591358397,0.17384560890501577,0.175348821828651,0.03609964745508807,0.03655562010195862,0.0013904419208385333,0.03421514073883624,0.03752818152446936,159.45342762112307,158.3234968944494,2.0556021038760193,157.69876102467012,162.33802494424972,0.4484078386832235,0.43966018479005287,0.01898998403928266,0.4307921646295067,0.47477116663011093,123.01748986987495,122.47551684937089,0.9788998016321271,122.18526916195017,124.39168359830379,1.0,0.5286180512493641,0.7037420094588525,0.440739423615027,0.24287598704847133,0.31638458933650176,motion,0.9560914833512604,0.7361121287109744,0.8980646548841541,0.3671507258931243,0.28687414958352836,0.34597512452334733,motion,0.1471773954438053,0.05
p030,0.3,,datasets/phase_f/f3_p030_20260721_020739_true_metrics.csv,datasets/phase_f/f3_p030_20260721_020739_true_metric_summary.csv,8393,0.0,50.46025,7.4898881757833,-0.1462828704820344,0.17425653925684514,0.031495111371315374,0.037330245986125006,163.99645437692655,914.8827618700993,39.967591700485265,360.6163088112151,163.99645437692655,0.47960739748013675,3.472612434110611,10.492141283877542,36.55794826660918,,123.09504902663942,683.0127607951797,146.8832771119682,869.1863367932704,123.09504902663942,p030,p030,0.3,3,0.1739529800745004,0.17388946913218356,0.00022642509763736593,0.1737129318344725,0.17425653925684514,0.036631227321043014,0.03640548580059789,0.0005045055611921833,0.03615795017640614,0.037330245986125006,161.6509439551457,161.59181924687533,1.8914257850235259,159.3645582416352,163.99645437692655,0.4586950269203926,0.4524503244529645,0.015181831670356328,0.44402735882807653,0.47960739748013675,123.87022640656555,123.72482057623257,0.6998848173937775,123.09504902663942,124.79080961682467,0.9868773286370578,0.4665354350461014,0.338369369936779,0.5339823199959487,0.2660110143681042,0.20000666563594716,motion,0.8707378440301882,0.6200572827155639,0.3507200406822099,0.4623303196928796,0.33645602789003193,0.20121365241708858,motion,0.14330400060613827,0.05
p030_r1,0.3,,datasets/phase_f/f3_p030_r1_20260721_032521_true_metrics.csv,datasets/phase_f/f3_p030_r1_20260721_032521_true_metric_summary.csv,8394,0.0,50.46575,7.466134130679683,0.127150885318287,0.1737129318344725,0.03336992752782153,0.03615795017640614,159.3645582416352,1000.2686775822791,39.42024335358318,353.903636802245,159.3645582416352,0.4524503244529645,3.9802350829108324,10.499919127927534,38.456813538787976,,124.79080961682467,620.4270733081931,148.83915881395643,898.5700270985049,124.79080961682467,p030,p030,0.3,3,0.1739529800745004,0.17388946913218356,0.00022642509763736593,0.1737129318344725,0.17425653925684514,0.036631227321043014,0.03640548580059789,0.0005045055611921833,0.03615795017640614,0.037330245986125006,161.6509439551457,161.59181924687533,1.8914257850235259,159.3645582416352,163.99645437692655,0.4586950269203926,0.4524503244529645,0.015181831670356328,0.44402735882807653,0.47960739748013675,123.87022640656555,123.72482057623257,0.6998848173937775,123.09504902663942,124.79080961682467,0.9868773286370578,0.4665354350461014,0.338369369936779,0.5339823199959487,0.2660110143681042,0.20000666563594716,motion,0.8707378440301882,0.6200572827155639,0.3507200406822099,0.4623303196928796,0.33645602789003193,0.20121365241708858,motion,0.14330400060613827,0.05
p030_r2,0.3,,datasets/phase_f/f3_p030_r2_20260721_033943_true_metrics.csv,datasets/phase_f/f3_p030_r2_20260721_033943_true_metric_summary.csv,8397,0.0,50.549,7.479697820395307,0.018813631194530556,0.17388946913218356,0.036526823860083386,0.03640548580059789,161.59181924687533,992.4427086327721,39.39673429420253,352.940082111789,161.59181924687533,0.44402735882807653,3.186921304740482,10.536824720383056,36.42792292617129,,123.72482057623257,640.4192200743643,146.99855321890053,880.7584611872178,123.72482057623257,p030,p030,0.3,3,0.1739529800745004,0.17388946913218356,0.00022642509763736593,0.1737129318344725,0.17425653925684514,0.036631227321043014,0.03640548580059789,0.0005045055611921833,0.03615795017640614,0.037330245986125006,161.6509439551457,161.59181924687533,1.8914257850235259,159.3645582416352,163.99645437692655,0.4586950269203926,0.4524503244529645,0.015181831670356328,0.44402735882807653,0.47960739748013675,123.87022640656555,123.72482057623257,0.6998848173937775,123.09504902663942,124.79080961682467,0.9868773286370578,0.4665354350461014,0.338369369936779,0.5339823199959487,0.2660110143681042,0.20000666563594716,motion,0.8707378440301882,0.6200572827155639,0.3507200406822099,0.4623303196928796,0.33645602789003193,0.20121365241708858,motion,0.14330400060613827,0.05
p045,0.45,,datasets/phase_f/f3_p045_20260721_135449_true_metrics.csv,,8395,0.0,50.28525,7.4245352720895,-0.0014708875823474798,0.17262663118857302,0.03204891852715001,0.03675400266613221,163.68605041068557,992.1129517063305,39.90646083057003,359.89537137370763,163.68605041068557,0.4993712586940804,4.8545621871209415,10.530116541936263,38.13160641163707,,123.15487420742362,566.7324272222716,146.62362518843432,773.707629402164,123.15487420742362,p045,p045,0.45,1,0.17262663118857302,0.17262663118857302,0.0,0.17262663118857302,0.17262663118857302,0.03675400266613221,0.03675400266613221,0.0,0.03675400266613221,0.03675400266613221,163.68605041068557,163.68605041068557,0.0,163.68605041068557,163.68605041068557,0.4993712586940804,0.4993712586940804,0.0,0.4993712586940804,0.4993712586940804,123.15487420742362,123.15487420742362,0.0,123.15487420742362,123.15487420742362,0.953991717474373,0.3127517469577953,0.0,0.708661619185075,0.2560461763648837,0.03529220445004138,motion,0.5736697814481456,0.36830914063437264,0.0,0.5711371976473154,0.3830743727512737,0.045788429601410954,motion,0.27504884307551913,0.05
p060,0.6,,datasets/phase_f/f3_p060_20260721_120819_true_metrics.csv,datasets/phase_f/f3_p060_20260721_120819_true_metric_summary.csv,8393,0.0,50.45325,7.317184609161223,0.3999867209567153,0.17018795783937915,0.029582603634137374,0.03533711853464203,159.30244568553488,998.6980592303339,39.40597059842845,359.0533780185763,159.30244568553488,0.42153433784642774,3.9899385736655417,10.56418338989992,37.70127582299629,,122.43538194331327,552.089593374391,146.1551831587186,876.3745685137942,122.43538194331327,p060,p060,0.6,3,0.1341500511002012,0.17018795783937915,0.05467484765521628,0.056886178897218594,0.17537601656400584,0.03150269793754694,0.035150272382560147,0.0052911193036846715,0.024020702895438638,0.03533711853464203,158.7949295189384,159.30244568553488,2.425169849238432,155.603656550237,161.4786863210433,0.39553025856780777,0.42153433784642774,0.061388820004164825,0.3107945327837787,0.4542619050732168,107.3537918292593,122.43538194331327,21.720960846066916,76.63737510121105,122.98861844325354,0.0,1.0,0.8132279714016548,0.025468259788649146,0.5348334555616321,0.4396982846497188,stability,0.0,1.0,0.7341204992587379,0.02653758080742251,0.5572891969558726,0.4161732222367048,stability,0.04705012482602792,0.05
