suite,heldout,n_features,n_train,n_test,target_motion,target_stability,target_energy,pred_motion,pred_stability,pred_energy,loto_l1,rmse_motion,rmse_stability,rmse_energy,kept_features
all_runtime_safe,clean,29,38730,6672,0.3806628563833892,0.23867428723330783,0.3806628563833892,0.5140611501295623,0.25061628617248943,0.23532256369794766,0.30274800285793413,0.1609135663230391,0.02805261050622926,0.1615418829818556,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
all_runtime_safe,m015,29,39436,5966,0.5300926381081613,0.21940423831627337,0.2505031235755417,0.3878913576983772,0.31516766296631665,0.29694097933530617,0.29431126374491445,0.19654524773728901,0.1671667365539305,0.05409851369204383,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
all_runtime_safe,m030,29,38830,6572,0.36104104628247946,0.11450797739208565,0.524450976325515,0.420281124931444,0.2932840124791867,0.28643486258936807,0.4818949320225832,0.07658831145865598,0.18697022598584476,0.24048004228264772,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
all_runtime_safe,m060,29,38725,6677,0.6203853219584585,0.1593767951690096,0.22023788287263657,0.3459531464981271,0.30306619731660106,0.3509806561852715,0.5530005967684132,0.2813303465940536,0.1516130496487325,0.14041281054072316,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
all_runtime_safe,p015,29,38928,6474,0.3885310200843911,0.2666105160422082,0.34485846387340796,0.41633912136574014,0.29699349360428035,0.28666738502997907,0.1309391951506516,0.04553909010521731,0.043110279706176494,0.07315079626217104,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
all_runtime_safe,p030,29,38832,6570,0.6231669822230986,0.3429923873378998,0.03384063043913142,0.385162571197162,0.2723297590272537,0.34250766977558544,0.6213826658888925,0.240769284736374,0.08249577175580113,0.30940021673473966,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
all_runtime_safe,p060,29,38931,6471,0.028727360855051513,0.6032745779561764,0.3679980611887493,0.49284193093131956,0.21712014327053292,0.2900379257981472,0.9596955959767361,0.4662458975094312,0.3890524601618732,0.11841399624471985,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean
all_runtime_safe_plus_lateral_basis,clean,47,38730,6672,0.3806628563833892,0.23867428723330783,0.3806628563833892,0.5429402262013756,0.23349929098508274,0.22356048281354143,0.3590074930481131,0.18658582996517417,0.04869958159068292,0.17308011755734495,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean;abs_y;y2;y_mean2;abs_y_mean;y_x_ref_yaw;ymean_x_ref_yaw;lat2;y_x_lat;abs_y_x_lat;y_x_stability;abs_y_x_stability;y_x_energy;abs_y_x_energy;y_x_motion;abs_y_x_motion;vx_x_y;vx_x_abs_y;clearance_x_lat
all_runtime_safe_plus_lateral_basis,m015,47,39436,5966,0.5300926381081613,0.21940423831627337,0.2505031235755417,0.39741171032968414,0.27187973983529323,0.33070854983502146,0.3080751834173152,0.20314737627376198,0.09664218259883976,0.1484742094274904,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean;abs_y;y2;y_mean2;abs_y_mean;y_x_ref_yaw;ymean_x_ref_yaw;lat2;y_x_lat;abs_y_x_lat;y_x_stability;abs_y_x_stability;y_x_energy;abs_y_x_energy;y_x_motion;abs_y_x_motion;vx_x_y;vx_x_abs_y;clearance_x_lat
all_runtime_safe_plus_lateral_basis,m030,47,38830,6572,0.36104104628247946,0.11450797739208565,0.524450976325515,0.39944648051380083,0.33001523528838267,0.2705382841978196,0.5582137299979836,0.10825712670686252,0.23028369157312564,0.2565976626946321,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean;abs_y;y2;y_mean2;abs_y_mean;y_x_ref_yaw;ymean_x_ref_yaw;lat2;y_x_lat;abs_y_x_lat;y_x_stability;abs_y_x_stability;y_x_energy;abs_y_x_energy;y_x_motion;abs_y_x_motion;vx_x_y;vx_x_abs_y;clearance_x_lat
all_runtime_safe_plus_lateral_basis,m060,47,38725,6677,0.6203853219584585,0.1593767951690096,0.22023788287263657,0.36187919008473823,0.2816109876487002,0.3565098222665618,0.5189334607077646,0.26990913794880034,0.1333434884247614,0.1487790490518622,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean;abs_y;y2;y_mean2;abs_y_mean;y_x_ref_yaw;ymean_x_ref_yaw;lat2;y_x_lat;abs_y_x_lat;y_x_stability;abs_y_x_stability;y_x_energy;abs_y_x_energy;y_x_motion;abs_y_x_motion;vx_x_y;vx_x_abs_y;clearance_x_lat
all_runtime_safe_plus_lateral_basis,p015,47,38928,6474,0.3885310200843911,0.2666105160422082,0.34485846387340796,0.4421823911046762,0.2764946700638795,0.28132293883144505,0.16215986042079739,0.07236593820628438,0.04553235991615949,0.08192112910798821,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean;abs_y;y2;y_mean2;abs_y_mean;y_x_ref_yaw;ymean_x_ref_yaw;lat2;y_x_lat;abs_y_x_lat;y_x_stability;abs_y_x_stability;y_x_energy;abs_y_x_energy;y_x_motion;abs_y_x_motion;vx_x_y;vx_x_abs_y;clearance_x_lat
all_runtime_safe_plus_lateral_basis,p030,47,38832,6570,0.6231669822230986,0.3429923873378998,0.03384063043913142,0.33794491584023756,0.29678980586610365,0.36526527829365846,0.6983479707496832,0.3048211058823423,0.09541255522344175,0.33383630155798955,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean;abs_y;y2;y_mean2;abs_y_mean;y_x_ref_yaw;ymean_x_ref_yaw;lat2;y_x_lat;abs_y_x_lat;y_x_stability;abs_y_x_stability;y_x_energy;abs_y_x_energy;y_x_motion;abs_y_x_motion;vx_x_y;vx_x_abs_y;clearance_x_lat
all_runtime_safe_plus_lateral_basis,p060,47,38931,6471,0.028727360855051513,0.6032745779561764,0.3679980611887493,0.5114079509690724,0.23072816003343743,0.25786388899749313,0.9971070218565432,0.4883718837508838,0.3788030447558514,0.1765100349242302,x;y;pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy;motion_score;stability_score;energy_score;effort_proxy;hold_drift;rollout_max_abs_y;rollout_mean_abs_y;mean_abs_y_context;max_abs_y_context;ram_slip_proxy_mean;ram_roughness_proxy_mean;ram_sigma_mean;ref_vx_mean;ref_yaw_rate_mean;ref_clearance_mean;abs_y;y2;y_mean2;abs_y_mean;y_x_ref_yaw;ymean_x_ref_yaw;lat2;y_x_lat;abs_y_x_lat;y_x_stability;abs_y_x_stability;y_x_energy;abs_y_x_energy;y_x_motion;abs_y_x_motion;vx_x_y;vx_x_abs_y;clearance_x_lat
