t_wall,context,x,y,action_id,hold_override,emp_age_s,proj_age_s,theta_age_s,emp_seq,emp_vx,emp_yaw_rate,emp_body_h,emp_clearance,emp_enable,proj_seq,proj_vx,proj_yaw_rate,proj_body_h,proj_clearance,proj_enable,out_seq,out_vx,out_yaw_rate,out_body_h,out_clearance,out_enable,delta_vx,delta_yaw_rate,delta_body_h,delta_clearance,j7_accept,j7_reason,j7_source
1785195277.049728,flat,0.000000,0.000000,1,0,0.003394,0.003293,0.003226,5100127,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100127,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100127,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.099610,flat,0.000000,0.000000,1,0,0.002168,0.002087,0.002034,5100129,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100129,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100129,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.149698,flat,0.000000,0.000000,1,0,0.002976,0.002855,0.002743,5100131,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100131,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100131,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.199728,flat,0.000000,0.000000,1,0,0.002924,0.002784,0.002671,5100133,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100133,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100133,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.249531,flat,0.000000,0.000000,1,0,0.003354,0.003293,0.003242,5100135,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100135,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100135,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.299775,flat,0.000000,0.000000,1,0,0.003560,0.003500,0.003449,5100137,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100137,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100137,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.349660,flat,0.000000,0.000000,1,0,0.003066,0.002923,0.002803,5100139,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100139,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100139,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.399620,flat,0.000000,0.000000,1,0,0.002823,0.002632,0.002521,5100141,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100141,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100141,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.449590,flat,0.000000,0.000000,1,0,0.002515,0.002419,0.002325,5100143,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100143,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100143,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.499637,flat,0.000000,0.000000,1,0,0.003119,0.003031,0.002948,5100145,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100145,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100145,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.549615,flat,0.000000,0.000000,1,0,0.003432,0.003373,0.003323,5100147,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100147,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100147,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.599669,flat,0.000000,0.000000,1,0,0.003224,0.003154,0.003102,5100149,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100149,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100149,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.649596,flat,0.000000,0.000000,1,0,0.003443,0.003382,0.003331,5100151,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100151,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100151,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.699642,flat,0.000000,0.000000,1,0,0.003487,0.003426,0.003359,5100153,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100153,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100153,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.749609,flat,0.000000,0.000000,1,0,0.003038,0.002959,0.002875,5100155,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100155,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100155,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.799585,flat,0.000000,0.000000,1,0,0.003363,0.003297,0.003192,5100157,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100157,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100157,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.849619,flat,0.000000,0.000000,1,0,0.003390,0.003319,0.003257,5100159,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100159,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100159,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.899827,flat,0.000000,0.000000,1,0,0.003145,0.002992,0.002897,5100161,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100161,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100161,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
