schema_version,row_granularity,source_phase,source_row_index,source_rollout_id,manifest,d5_log_dir,j7_csv,run_dir,world_name,context_label,next_context,segment_id,segment_progress,x_start,y_start,abs_y_start,beta_motion,beta_stability,beta_energy,ram_rho_summary,sigma_uncertainty,baseline_vx,baseline_yaw,baseline_body_h,baseline_clearance,baseline_enable,candidate_mode,candidate_action_id,candidate_mode_family,candidate_theta_desc,candidate_vx,candidate_yaw,candidate_body_h,candidate_clearance,candidate_enable,candidate_vx_scale,candidate_vx_delta,candidate_yaw_gain,candidate_body_h_delta,candidate_clearance_delta,active_used,j7_accepted,j7_projected,j7_failsafe,flat_rows,flat_accepted,flat_accept_rate,status,goal_reached,final_x,final_y,max_abs_y,mean_abs_y,risk_score_lower_better,delta_progress,time_to_goal,termination_reason,decision_raw,decision_label,supervision_role,decision_reason
phase_l1_v0,rollout_candidate_outcome,K4C,24,K4C:flat_clear03:1,reports/phase_d4_context_meta_repeat_20260723_165832_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_165832_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_clear03,,,,,,,,,,,,,,,,,,,flat_clear03,flat_clear03,flat_micro_action,flat clearance +0.003,,,,,,,,,,,1,453.0,453.0,8.0,454.0,453.0,0.9977973568281938,ok,1,8.208428,-0.342733,0.476883,0.276378,0.6150720000000001,,,,reject,reject,negative,does_not_improve_lateral_metrics
phase_l1_v0,rollout_candidate_outcome,K4C,25,K4C:flat_slow03_clear03:1,reports/phase_d4_context_meta_repeat_20260723_170318_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_170318_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_slow03_clear03,,,,,,,,,,,,,,,,,,,flat_slow03_clear03,flat_slow03_clear03,flat_micro_action,flat vx_scale 0.97 + clearance +0.003,,,,,,,,,,,1,462.0,462.0,7.0,463.0,462.0,0.9978401727861771,ok,1,7.968275,-0.171936,0.181762,0.095139,0.22933150000000002,,,,reject,reject,negative,does_not_improve_lateral_metrics
phase_l1_v0,rollout_candidate_outcome,K4C,26,K4C:baseline:2,reports/phase_d4_context_meta_repeat_20260723_170811_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_170811_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.13578,-0.193515,0.422743,0.256692,0.5510889999999999,,,,reference,empirical,reference_anchor,baseline_reference
phase_l1_v0,rollout_candidate_outcome,K4C,27,K4C:flat_noop:2,reports/phase_d4_context_meta_repeat_20260723_171306_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_171306_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_noop,,,,,,,,,,,,,,,,,,,flat_noop,flat_noop,flat_micro_action,flat theta no-op,,,,,,,,,,,1,436.0,436.0,7.0,437.0,436.0,0.9977116704805492,ok,1,8.189947,-0.250733,0.267682,0.107338,0.321351,,,,reject,reject,negative,does_not_improve_lateral_metrics
phase_l1_v0,rollout_candidate_outcome,K4C,28,K4C:flat_slow03:2,reports/phase_d4_context_meta_repeat_20260723_171752_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_171752_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_slow03,,,,,,,,,,,,,,,,,,,flat_slow03,flat_slow03,flat_micro_action,flat vx_scale 0.97,,,,,,,,,,,1,438.0,438.0,7.0,438.0,438.0,1.0,ok,1,8.109769,-0.243312,0.515005,0.246896,0.638453,,,,shadow_only,shadow_only,near_miss,improves_max_abs_y_only_but_worsens_mean_abs_y
phase_l1_v0,rollout_candidate_outcome,K4C,29,K4C:flat_clear03:2,reports/phase_d4_context_meta_repeat_20260723_172238_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_172238_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_clear03,,,,,,,,,,,,,,,,,,,flat_clear03,flat_clear03,flat_micro_action,flat clearance +0.003,,,,,,,,,,,1,443.0,443.0,6.0,443.0,443.0,1.0,ok,1,8.142377,-0.138497,0.197967,0.093569,0.2447515,,,,reject,reject,negative,does_not_improve_lateral_metrics
phase_l1_v0,rollout_candidate_outcome,K4C,30,K4C:flat_slow03_clear03:2,reports/phase_d4_context_meta_repeat_20260723_172724_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_172724_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_slow03_clear03,,,,,,,,,,,,,,,,,,,flat_slow03_clear03,flat_slow03_clear03,flat_micro_action,flat vx_scale 0.97 + clearance +0.003,,,,,,,,,,,1,485.0,485.0,7.0,485.0,485.0,1.0,ok,1,8.149764,-0.21344,0.372442,0.227965,0.4864245,,,,reject,reject,negative,does_not_improve_lateral_metrics
phase_l1_v0,rollout_candidate_outcome,K4C,31,K4C:baseline:3,reports/phase_d4_context_meta_repeat_20260723_173216_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_173216_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.090573,-0.033035,0.410366,0.183473,0.5021025,,,,reference,empirical,reference_anchor,baseline_reference
phase_l1_v0,rollout_candidate_outcome,K4C,32,K4C:flat_noop:3,reports/phase_d4_context_meta_repeat_20260723_173702_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_173702_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_noop,,,,,,,,,,,,,,,,,,,flat_noop,flat_noop,flat_micro_action,flat theta no-op,,,,,,,,,,,1,458.0,458.0,7.0,460.0,458.0,0.9956521739130435,ok,1,8.232712,-0.43501,0.44357,0.230737,0.5589385,,,,reject,reject,negative,does_not_improve_lateral_metrics
phase_l1_v0,rollout_candidate_outcome,K4C,33,K4C:flat_slow03:3,reports/phase_d4_context_meta_repeat_20260723_174147_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_174147_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_slow03,,,,,,,,,,,,,,,,,,,flat_slow03,flat_slow03,flat_micro_action,flat vx_scale 0.97,,,,,,,,,,,1,471.0,471.0,8.0,472.0,471.0,0.9978813559322034,ok,1,7.950432,-0.167669,0.174245,0.07639,0.21244000000000002,,,,shadow_only,shadow_only,near_miss,improves_max_abs_y_only_but_worsens_mean_abs_y
phase_l1_v0,rollout_candidate_outcome,K4C,34,K4C:flat_clear03:3,reports/phase_d4_context_meta_repeat_20260723_174633_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_174633_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_clear03,,,,,,,,,,,,,,,,,,,flat_clear03,flat_clear03,flat_micro_action,flat clearance +0.003,,,,,,,,,,,1,454.0,454.0,7.0,455.0,454.0,0.9978021978021978,ok,1,8.117569,-0.309984,0.409428,0.226365,0.5226105,,,,reject,reject,negative,does_not_improve_lateral_metrics
phase_l1_v0,rollout_candidate_outcome,K4C,35,K4C:flat_slow03_clear03:3,reports/phase_d4_context_meta_repeat_20260723_175119_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_175119_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_slow03_clear03,,,,,,,,,,,,,,,,,,,flat_slow03_clear03,flat_slow03_clear03,flat_micro_action,flat vx_scale 0.97 + clearance +0.003,,,,,,,,,,,1,474.0,474.0,8.0,475.0,474.0,0.9978947368421053,ok,1,8.15376,0.207354,0.241698,0.097864,0.29063,,,,reject,reject,negative,does_not_improve_lateral_metrics
phase_l1_v0,rollout_candidate_outcome,K4C,36,K4C:baseline:4,reports/phase_d4_context_meta_repeat_20260723_175612_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_175612_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.041471,0.244558,0.244558,0.065498,0.27730699999999997,,,,reference,empirical,reference_anchor,baseline_reference
