schema_version,row_granularity,source_phase,candidate_mode,trial_idx,source_rollout_id,window_id,window_type,context,action_id,t_start,t_end,duration_s,window_rows,state_rows,state_coverage_ratio,x_start,y_start,x_end,y_end,mean_abs_y_window,max_abs_y_window,beta_motion_mean,beta_stability_mean,beta_energy_mean,ram_slip_mean,ram_roughness_mean,ram_sigma_mean,emp_vx_mean,emp_yaw_rate_mean,emp_body_h_mean,emp_clearance_mean,emp_enable_mean,proj_vx_mean,proj_yaw_rate_mean,proj_body_h_mean,proj_clearance_mean,proj_enable_mean,out_vx_mean,out_yaw_rate_mean,out_body_h_mean,out_clearance_mean,out_enable_mean,delta_vx_mean,delta_yaw_rate_mean,delta_body_h_mean,delta_clearance_mean,vx_scale_mean,vx_delta_mean,yaw_gain_scale_mean,body_h_delta_mean,clearance_delta_mean,goal_reached,final_x,final_y,rollout_max_abs_y,rollout_mean_abs_y,rollout_risk_score,rollout_decision_raw,rollout_decision_label,evidence_role,direct_action_label_allowed,manifest,d5_log_dir,j7_csv,run_dir
phase_l2_v0,context_action_window,K1,j19_profile,7,K1:j19_profile:7,j19_profile:flat:1:1,accepted_candidate_exposure,flat,1,1784768371.621053,1784768416.120698,44.49964499473572,446,420,0.9417040358744395,0.003633,0.004168,1.997365,-0.134247,0.06029743273542601,0.134247,0.45,0.25,0.3,0.0,0.05,0.05,0.21,0.0014230968161434978,0.32,0.045,1.0,0.21,0.0014156604035874439,0.32,0.045,1.0,0.21,0.0014156604035874439,0.32,0.045,1.0,0.0,-7.436457399103139e-06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,8.102549,-0.110004,0.256301,0.10245,0.307526,reject,reject,control_equivalent_noop,0,reports/phase_d4_context_meta_repeat_20260722_205832_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205832_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/7_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/7_j19_profile
phase_l2_v0,context_action_window,K1,baseline,8,K1:baseline:8,baseline:flat:1,empirical_context_window,flat,empirical,1784768656.6754658,1784768698.9754562,42.29999041557312,424,424,1.0,-0.0014784190860560147,-8.76101020256528e-05,1.9966816287162594,-0.09151859058959547,0.0347962535803782,0.10035244958807127,0.45,0.25,0.3,0.0,0.05,0.05,0.21,0.00042339800236101634,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.142905,-0.04803,0.240008,0.076154,0.278085,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_210314_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_210314_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/8_baseline
phase_l2_v0,context_action_window,K1,baseline,8,K1:baseline:8,baseline:upslope:2,empirical_context_window,upslope,empirical,1784768699.07556,1784768741.675459,42.59989881515503,427,427,1.0,2.0017194378323557,-0.09086826218466824,3.9965024792831207,-0.1954015729832459,0.12189707222300827,0.19562712638069973,0.3502341920374707,0.3996487119437939,0.2501170960187354,0.09976580796252928,0.1996487119437939,0.1996487119437939,0.21,0.0030454009294781353,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.142905,-0.04803,0.240008,0.076154,0.278085,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_210314_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_210314_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/8_baseline
phase_l2_v0,context_action_window,K1,baseline,8,K1:baseline:8,baseline:rough:3,empirical_context_window,rough,empirical,1784768741.775801,1784768784.0761604,42.30035948753357,424,424,1.0,4.002036422967737,-0.19537963446483161,5.998016421702191,-0.06878903718607744,0.15768976794352516,0.24000753711384776,0.2502358490566038,0.5496462264150944,0.2001179245283019,0.1,0.39952830188679245,0.3496462264150943,0.205,0.003943639310951416,0.32,0.055,1.0,,,,,,,,,,,,,,,,,,,,1,8.142905,-0.04803,0.240008,0.076154,0.278085,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_210314_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_210314_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/8_baseline
phase_l2_v0,context_action_window,K1,baseline,8,K1:baseline:8,baseline:downslope:4,empirical_context_window,downslope,empirical,1784768784.175747,1784768833.3755207,49.19977378845215,493,493,1.0,6.002852479669946,-0.06875066005710712,7.997956564036691,-0.0008902624772938379,0.04589532080310799,0.08365144536909282,0.25,0.6,0.15,0.25,0.15,0.3,0.2025,0.001147904744495502,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.142905,-0.04803,0.240008,0.076154,0.278085,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_210314_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_210314_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/8_baseline
phase_l2_v0,context_action_window,K1,baseline,8,K1:baseline:8,baseline:goal_flat:5,empirical_context_window,goal_flat,empirical,1784768833.4754977,1784768869.0756207,35.600122928619385,357,357,1.0,8.002230210319054,0.0009305150941918295,8.142905376598033,-0.048030341467301695,0.015510865320161613,0.048030341467301695,0.2,0.5,0.3,0.0,0.05,0.05,0.03096638655462185,-6.989815469498286e-06,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.142905,-0.04803,0.240008,0.076154,0.278085,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_210314_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_210314_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/8_baseline
phase_l2_v0,context_action_window,K1,baseline,9,K1:baseline:9,baseline:flat:1,empirical_context_window,flat,empirical,1784770772.410188,1784770817.0101657,44.59997773170471,447,447,1.0,-0.0017688175799869912,0.0001589208188293575,1.9968789014509678,0.05838265873427485,0.03586442931242414,0.07168383447332427,0.45,0.25,0.3,0.0,0.05,0.05,0.21,-0.0008951033322696053,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.041699,-0.58155,0.621932,0.195508,0.719686,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_213815_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_213815_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_baseline
phase_l2_v0,context_action_window,K1,baseline,9,K1:baseline:9,baseline:upslope:2,empirical_context_window,upslope,empirical,1784770817.1103134,1784770859.9103663,42.800052881240845,429,429,1.0,2.002073589761614,0.05773040576559896,3.9979149228086728,-0.07276707426062357,0.03509365617298497,0.07276707426062357,0.35,0.4,0.25,0.1,0.2,0.2,0.21,0.0001648801098578832,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.041699,-0.58155,0.621932,0.195508,0.719686,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_213815_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_213815_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_baseline
phase_l2_v0,context_action_window,K1,baseline,9,K1:baseline:9,baseline:rough:3,empirical_context_window,rough,empirical,1784770860.0101588,1784770903.110258,43.100099325180054,432,432,1.0,4.003021827892147,-0.07426973223687913,5.99986491657079,-0.1254701227955119,0.11082073673787825,0.19468434676391005,0.25,0.55,0.2,0.1,0.4,0.35,0.205,0.002768830722638249,0.32,0.055,1.0,,,,,,,,,,,,,,,,,,,,1,8.041699,-0.58155,0.621932,0.195508,0.719686,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_213815_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_213815_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_baseline
phase_l2_v0,context_action_window,K1,baseline,9,K1:baseline:9,baseline:downslope:4,empirical_context_window,downslope,empirical,1784770903.2105417,1784770954.4101765,51.19963479042053,513,513,1.0,6.0039064593357585,-0.1263631814579967,7.999523416362501,-0.424802864213932,0.2675782566561426,0.424802864213932,0.25,0.6,0.15,0.25,0.15,0.3,0.2025,0.0066824825309972375,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.041699,-0.58155,0.621932,0.195508,0.719686,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_213815_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_213815_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_baseline
phase_l2_v0,context_action_window,K1,baseline,9,K1:baseline:9,baseline:goal_flat:5,empirical_context_window,goal_flat,empirical,1784770954.51006,1784770994.6100373,40.099977254867554,402,402,1.0,8.003284047687496,-0.4250019742151958,8.041699403774114,-0.5815502978445344,0.5432459116219246,0.6219318351812011,0.2,0.5,0.3,0.0,0.05,0.05,0.030740049751243784,0.0003480043510744231,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.041699,-0.58155,0.621932,0.195508,0.719686,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_213815_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_213815_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_baseline
phase_l2_v0,context_action_window,K1,j19_profile,9,K1:j19_profile:9,j19_profile:flat:1:1,accepted_candidate_exposure,flat,1,1784771066.473245,1784771112.67321,46.19996500015259,463,430,0.9287257019438445,0.004042,0.003136,1.997819,-0.122188,0.042860691144708425,0.122188,0.45,0.25,0.3,0.0,0.05,0.05,0.21,0.0005071877753779697,0.32,0.045,1.0,0.21,0.0005006432613390929,0.32,0.045,1.0,0.21,0.0005006432613390929,0.32,0.045,1.0,0.0,-6.544427645788337e-06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,8.184127,-0.054525,0.142834,0.041393,0.1635305,reject,reject,control_equivalent_noop,0,reports/phase_d4_context_meta_repeat_20260722_214326_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214326_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_j19_profile
phase_l2_v0,context_action_window,K1,baseline,10,K1:baseline:10,baseline:flat:1,empirical_context_window,flat,empirical,1784771352.095615,1784771396.4956458,44.400030851364136,445,445,1.0,-0.001206966572390479,0.00044363022526331015,1.9998397035005326,-0.12230415641529511,0.05642434288519703,0.12739903935232283,0.45,0.25,0.3,0.0,0.05,0.05,0.21,0.0011786046305586955,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.158976,-0.286946,0.300163,0.172027,0.38617650000000003,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_214810_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214810_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/10_baseline
phase_l2_v0,context_action_window,K1,baseline,10,K1:baseline:10,baseline:upslope:2,empirical_context_window,upslope,empirical,1784771396.5956717,1784771435.3958187,38.80014705657959,389,389,1.0,2.0053062744773147,-0.12258385740760597,3.995986452953817,-0.11041007541930095,0.1397478632924024,0.185755635302833,0.35,0.4,0.25,0.1,0.2,0.2,0.21,0.003493913227227415,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.158976,-0.286946,0.300163,0.172027,0.38617650000000003,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_214810_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214810_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/10_baseline
