context_id,group,terrain,seed,beta_name,pareto_nondominated,support_class,max_margin,beta_hat_motion,beta_hat_stability,beta_hat_energy,beta_gen_motion,beta_gen_stability,beta_gen_energy,original_beta_selected_cost,original_beta_best_cost,original_beta_regret,original_beta_consistent
flat:flat:27033,flat,flat,27033,balanced,True,unsupported,-0.00010210528277145763,0.0,0.9901977766616679,0.009802223338332004,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2503961770020481,0.24549543417313593,0.004900742828912147,False
flat:flat:27033,flat,flat,27033,motion,True,strict,0.005499609100816288,1.0,-0.0,0.0,0.7,0.15,0.15,0.22180425768057374,0.22180425768057374,0.0,True
flat:flat:27033,flat,flat,27033,stability,True,strict,0.014306951654834754,0.0,-0.0,1.0,0.15,0.7,0.15,0.11675126746219198,0.11675126746219198,0.0,True
flat:flat:27033,flat,flat,27033,energy,True,unsupported,-0.00023617446421875872,0.0,0.990197776661668,0.009802223338332004,0.15,0.15,0.7,0.4043168043875397,0.394580673313452,0.009736131074087717,False
flat:flat:27034,flat,flat,27034,balanced,True,strict,0.007745692864454812,-0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.24575923492203386,0.24575923492203386,0.0,True
flat:flat:27034,flat,flat,27034,motion,True,strict,0.004701130622172117,1.0,-0.0,0.0,0.7,0.15,0.15,0.22065067566809077,0.22065067566809077,0.0,True
flat:flat:27034,flat,flat,27034,stability,False,unsupported,-0.0003608112903257518,0.0,0.9739113973517642,0.02608860264823558,0.15,0.7,0.15,0.11895191215190558,0.11682562257674216,0.0021262895751634203,False
flat:flat:27034,flat,flat,27034,energy,False,unsupported,-0.000368957914261908,0.0,0.9739113973517645,0.026088602648235575,0.15,0.15,0.7,0.40435857995936164,0.39829162629917475,0.006066953660186891,False
flat:flat:27035,flat,flat,27035,balanced,True,unsupported,-0.0001563624294425434,0.0,0.974428926059628,0.025571073940372054,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25154493578412185,0.24956463717683622,0.00198029860728563,False
flat:flat:27035,flat,flat,27035,motion,True,strict,0.005664064119673379,1.0,-0.0,0.0,0.7,0.15,0.15,0.2212883739093765,0.2212883739093765,0.0,True
flat:flat:27035,flat,flat,27035,stability,True,strict,0.004252479488476735,0.0,0.0,1.0,0.15,0.7,0.15,0.11862646091832824,0.11862646091832824,0.0,True
flat:flat:27035,flat,flat,27035,energy,True,unsupported,-3.83099260206379e-05,0.0,0.9744289260596282,0.02557107394037204,0.15,0.15,0.7,0.40583850815136513,0.4031343602096256,0.00270414794173951,False
flat:flat:27036,flat,flat,27036,balanced,True,unsupported,-2.296958914694987e-05,0.0,0.9866920185888015,0.013307981411198513,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2516008959884744,0.2488900531521737,0.002710842836300714,False
flat:flat:27036,flat,flat,27036,motion,True,strict,0.004921837917013727,1.0,-0.0,0.0,0.7,0.15,0.15,0.22250567497200838,0.22250567497200838,0.0,True
flat:flat:27036,flat,flat,27036,stability,True,strict,0.007217120506935015,0.0,0.0,1.0,0.15,0.7,0.15,0.11832819556601423,0.11832819556601423,0.0,True
flat:flat:27036,flat,flat,27036,energy,True,unsupported,-8.663909173198001e-05,0.0,0.9866920185888014,0.01330798141119851,0.15,0.15,0.7,0.4064863681408431,0.4017336600088668,0.004752708131976313,False
low_friction:low_friction:27027,low_friction,low_friction,27027,balanced,True,strict,0.00021734445140320167,0.5819214814765139,0.0,0.41807851852348604,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2650681584325803,0.2647013544863841,0.0003668039461962036,False
low_friction:low_friction:27027,low_friction,low_friction,27027,motion,True,strict,0.004074604491675848,1.0,-0.0,0.0,0.7,0.15,0.15,0.22984186140503787,0.22984186140503787,0.0,True
low_friction:low_friction:27027,low_friction,low_friction,27027,stability,True,strict,0.002936288817178778,0.0,0.0,1.0,0.15,0.7,0.15,0.12470075906932829,0.12467568634028195,2.507272904633817e-05,False
low_friction:low_friction:27027,low_friction,low_friction,27027,energy,True,strict,0.00020315309378748255,0.0,0.94922459263092,0.05077540736908008,0.15,0.15,0.7,0.4368203010368863,0.4349958750598305,0.001824425977055788,False
low_friction:low_friction:27028,low_friction,low_friction,27028,balanced,True,strict,0.001143629903794373,0.5765845590217702,0.0,0.42341544097822964,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26439486444324967,0.26439486444324967,0.0,True
low_friction:low_friction:27028,low_friction,low_friction,27028,motion,True,strict,0.004190546942624135,1.0,-0.0,0.0,0.7,0.15,0.15,0.229644997859986,0.229644997859986,0.0,True
low_friction:low_friction:27028,low_friction,low_friction,27028,stability,True,strict,0.004077112973055352,0.0,0.0,1.0,0.15,0.7,0.15,0.1246438467089727,0.12462049258656513,2.3354122407573397e-05,False
