context_id,context_index,group,terrain,seed,source_beta_name,cost_motion,cost_stability,cost_energy,episode_energy_abs_j,decision_time_s,roll_rms_rad,pitch_rms_rad,mean_applied_vx_mps,pareto_nondominated,support_class,max_margin,beta_hat_motion,beta_hat_stability,beta_hat_energy,beta_hat_dominant,beta_hat_entropy,beta_hat_interior_005,beta_gen_motion,beta_gen_stability,beta_gen_energy,beta_hat_gen_l1,original_beta_regret,original_beta_consistent,selection_evidence_required
flat:flat:27035,8,flat,flat,27035,stability,0.20841637031450638,0.011495225797730773,0.5287823154182716,161.73273609118158,7.164000000000002,0.003483769259081374,0.02806902855894488,0.21396851901497163,True,strict,0.004252479488476735,0.0,0.0,1.0,energy,-0.0,False,0.15,0.7,0.15,1.7,0.0,True,True
flat:flat:27036,9,flat,flat,27036,motion,0.19827189163028397,0.011234018298810782,0.5468683205732533,162.48551459916504,6.964000000000001,0.0038051815667596205,0.02774828792373843,0.22244428729309756,True,strict,0.004921837917013727,1.0,-0.0,0.0,motion,-0.0,False,0.7,0.15,0.15,0.6000000000000001,0.0,True,True
flat:flat:27036,9,flat,flat,27036,stability,0.20837778175120333,0.011504857540974687,0.526787520164343,161.12261036467274,7.164,0.0034920638191297,0.028080785313412505,0.21397003552743366,True,strict,0.007217120506935015,0.0,0.0,1.0,energy,-0.0,False,0.15,0.7,0.15,1.7,0.0,True,True
low_friction:low_friction:27027,10,low_friction,low_friction,27027,balanced,0.20460490422416078,0.009809118264765129,0.580790452808815,172.5644584787783,6.946000000000002,0.00521751632011657,0.025928871277498645,0.21890453117735245,True,strict,0.00021734445140320167,0.5819214814765139,0.0,0.41807851852348604,motion,0.6186570300692189,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0003668039461962036,False,True
low_friction:low_friction:27027,10,low_friction,low_friction,27027,energy,0.20845273568459055,0.009783730945752174,0.5772640443461927,176.5613005898662,7.136000000000002,0.005008812949316998,0.02589529580913722,0.21591072797775268,True,strict,0.00020315309378748255,0.0,0.94922459263092,0.05077540736908008,stability,0.1827688319517797,False,0.15,0.15,0.7,1.5984491852618399,0.001824425977055788,False,True
low_friction:low_friction:27027,10,low_friction,low_friction,27027,motion,0.20053029973248493,0.00948927023982902,0.5869817403754941,174.4040138314247,6.946000000000001,0.005578488954766662,0.025502633806674866,0.22306096588864047,True,strict,0.004074604491675848,1.0,-0.0,0.0,motion,-0.0,False,0.7,0.15,0.15,0.6000000000000001,0.0,True,True
low_friction:low_friction:27027,10,low_friction,low_friction,27027,stability,0.20962149056567397,0.010154817364464431,0.5743277555290139,175.663210751176,7.162000000000002,0.005168617476104769,0.02638181595371018,0.21467906021646094,True,strict,0.002936288817178778,0.0,0.0,1.0,energy,-0.0,False,0.15,0.7,0.15,1.7,2.507272904633817e-05,False,True
low_friction:low_friction:27028,11,low_friction,low_friction,27028,balanced,0.20455835444366255,0.010530943737597479,0.578095295148489,171.76367323873208,6.966000000000004,0.005575351255983554,0.026865954145027945,0.21888749581926012,True,strict,0.001143629903794373,0.5765845590217702,0.0,0.42341544097822964,motion,0.6202101459801722,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666665,0.0,True,True
low_friction:low_friction:27028,11,low_friction,low_friction,27028,motion,0.20036780750103841,0.009414161549364091,0.5865027225123635,174.2616880446405,6.950000000000003,0.005572874324290384,0.025401504928827635,0.223063451095539,True,strict,0.004190546942624135,1.0,-0.0,0.0,motion,-0.0,False,0.7,0.15,0.15,0.6000000000000001,0.0,True,True
low_friction:low_friction:27028,11,low_friction,low_friction,27028,stability,0.20978046997138788,0.010177167252527212,0.5736850609099698,175.46663693208586,7.165999999999999,0.005203026532655607,0.026410832039195045,0.21467428656561038,True,strict,0.004077112973055352,0.0,0.0,1.0,energy,-0.0,False,0.15,0.7,0.15,1.7,2.3354122407573397e-05,False,True
low_friction:low_friction:27029,12,low_friction,low_friction,27029,motion,0.20131371957872637,0.00941930644101148,0.5829475311161425,173.2053695822582,6.956000000000001,0.005270571209085705,0.025408445212069083,0.22305319620405925,True,strict,0.003619387268567753,1.0,-0.0,0.0,motion,-0.0,False,0.7,0.15,0.15,0.6000000000000001,0.0,True,True
low_friction:low_friction:27029,12,low_friction,low_friction,27029,stability,0.209699550489973,0.009931658305412795,0.5734504758732466,175.39488702909352,7.162,0.005219902207460155,0.026090326423700884,0.21468021082026617,True,strict,0.006458792038677719,0.0,-0.0,1.0,energy,-0.0,False,0.15,0.7,0.15,1.7,0.0001919626553335413,False,True
