representation,held_context,context_dim,model_input_dim,shared_param_count,factorized_param_count,factorized_over_shared,rho_regret_motion,rho_regret_stability,rho_regret_energy,final_mse_motion,final_mse_stability,final_mse_energy,balanced_oracle_beta,balanced_selected_beta,balanced_baseline_beta,balanced_Q_excess,balanced_baseline_Q_excess,balanced_rank,balanced_beats_baseline,balanced_ties_baseline,balanced_worse_baseline,motion_biased_oracle_beta,motion_biased_selected_beta,motion_biased_baseline_beta,motion_biased_Q_excess,motion_biased_baseline_Q_excess,motion_biased_rank,motion_biased_beats_baseline,motion_biased_ties_baseline,motion_biased_worse_baseline,stability_biased_oracle_beta,stability_biased_selected_beta,stability_biased_baseline_beta,stability_biased_Q_excess,stability_biased_baseline_Q_excess,stability_biased_rank,stability_biased_beats_baseline,stability_biased_ties_baseline,stability_biased_worse_baseline,energy_biased_oracle_beta,energy_biased_selected_beta,energy_biased_baseline_beta,energy_biased_Q_excess,energy_biased_baseline_Q_excess,energy_biased_rank,energy_biased_beats_baseline,energy_biased_ties_baseline,energy_biased_worse_baseline
semantic_plus_probe,rough_seed_15,81,84,9795,9663,0.9865237366003062,0.7766233766233767,0.6272727272727273,-0.42987012987012985,0.01314528752118349,0.027532432849208515,0.056733135133981705,lm060_ls040_le000,lm100_ls000_le000,lm080_ls020_le000,0.010655958257529102,0.0068616204234064615,3,0,0,1,lm040_ls060_le000,lm100_ls000_le000,lm080_ls020_le000,0.024899701771312427,0.00406380128866983,4,0,0,1,lm000_ls040_le060,lm100_ls000_le000,lm020_ls080_le000,0.11223570736774174,0.46798225740402966,8,1,0,0,lm000_ls080_le020,lm000_ls000_le100,lm100_ls000_le000,0.9982572573401272,0.27508491358795106,21,0,0,1
semantic_plus_probe,rough_seed_0,81,84,9795,9663,0.9865237366003062,0.7662337662337663,0.6844155844155844,-0.28441558441558445,0.012334420656164488,0.028260837619503338,0.06337621435523033,lm100_ls000_le000,lm000_ls060_le040,lm080_ls020_le000,0.026947920889475147,0.1191408580715218,3,1,0,0,lm100_ls000_le000,lm000_ls060_le040,lm080_ls020_le000,0.41349271742757165,0.05303508557669458,15,0,0,1,lm000_ls060_le040,lm000_ls060_le040,lm080_ls020_le000,0.0,0.5967024525826499,1,1,0,0,lm100_ls000_le000,lm000_ls060_le040,lm080_ls020_le000,0.3933641996327744,0.24551011153872238,10,0,0,1
semantic_plus_probe,rough_seed_5,81,84,9795,9663,0.9865237366003062,0.512987012987013,0.07142857142857142,0.6168831168831169,0.0131638931731383,0.027929669866959255,0.06373316546281178,lm060_ls020_le020,lm000_ls080_le020,lm080_ls020_le000,0.04284191546553684,0.04604145419202896,6,1,0,0,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,0.0,0.0050143624435080025,1,1,0,0,lm020_ls040_le040,lm000_ls080_le020,lm080_ls020_le000,0.37512084573482307,0.38181571957820637,16,1,0,0,lm060_ls020_le020,lm000_ls080_le020,lm100_ls000_le000,0.01898257181831335,0.0831771258790878,5,1,0,0
semantic_plus_probe,rough_seed_11,81,84,9795,9663,0.9865237366003062,0.9285714285714285,0.13246753246753248,0.9129870129870129,0.014579682610929012,0.029331520820657413,0.05949302390217781,lm020_ls080_le000,lm080_ls000_le020,lm080_ls020_le000,0.6771682455402189,0.03577286759580989,9,0,0,1,lm100_ls000_le000,lm080_ls000_le020,lm080_ls020_le000,1.8935928542009015,0.0007254509276770627,9,0,0,1,lm020_ls080_le000,lm040_ls020_le040,lm080_ls020_le000,0.4392470768968344,0.5594708499340446,8,1,0,0,lm000_ls100_le000,lm100_ls000_le000,lm100_ls000_le000,0.547591313806471,0.547591313806471,3,0,1,0
semantic_plus_probe,rough_seed_4,81,84,9795,9663,0.9865237366003062,0.9467532467532468,-0.33246753246753247,0.7168831168831169,0.013746769167482853,0.029746756578485172,0.05546737710634867,lm020_ls080_le000,lm000_ls100_le000,lm080_ls020_le000,0.1640909998792447,0.167424333212578,3,1,0,0,lm020_ls080_le000,lm000_ls100_le000,lm080_ls020_le000,0.6290113757007559,0.07501137570075601,4,0,0,1,lm000_ls100_le000,lm000_ls020_le080,lm080_ls020_le000,17.153888933887288,0.5569999999999999,20,0,0,1,lm020_ls080_le000,lm000_ls100_le000,lm100_ls000_le000,0.042972960747891364,0.612047628198621,3,1,0,0
semantic_plus_probe,rough_seed_25,81,84,9795,9663,0.9865237366003062,0.9636363636363635,-0.35584415584415585,-0.23896103896103899,0.014305752081175646,0.02866234878698985,0.058822907507419586,lm040_ls040_le020,lm020_ls080_le000,lm080_ls020_le000,0.22112851798688232,0.2333729512036904,7,1,0,0,lm080_ls000_le020,lm020_ls080_le000,lm080_ls020_le000,0.02853363394459453,0.033524854073517504,5,1,0,0,lm060_ls000_le040,lm020_ls080_le000,lm080_ls020_le000,0.5174599605290169,0.5483958397848061,12,1,0,0,lm040_ls040_le020,lm020_ls080_le000,lm100_ls000_le000,0.5793489343043077,0.060503759923311584,14,0,0,1
semantic_plus_probe,rough_seed_12,81,84,9795,9663,0.9865237366003062,0.11818181818181818,0.3818181818181818,0.725974025974026,0.013707131457825502,0.030907907833655674,0.051648094008366265,lm100_ls000_le000,lm060_ls000_le040,lm080_ls020_le000,0.26633091739948567,0.27336439191352324,9,1,0,0,lm100_ls000_le000,lm060_ls000_le040,lm080_ls020_le000,1.1011059069147517,0.12323315961884831,12,0,0,1,lm040_ls040_le020,lm060_ls020_le020,lm080_ls020_le000,0.5205568929111832,1.1194319712830678,7,1,0,0,lm100_ls000_le000,lm080_ls000_le020,lm080_ls020_le000,0.5582035227897276,0.9895874923976087,4,1,0,0
semantic_plus_probe,rough_seed_6,81,84,9795,9663,0.9865237366003062,0.9545454545454546,0.6415584415584416,0.803896103896104,0.01419258862733841,0.029039657364288967,0.05241995925704638,lm000_ls080_le020,lm000_ls100_le000,lm080_ls020_le000,0.07496055129465143,0.19646303752110775,4,1,0,0,lm020_ls080_le000,lm100_ls000_le000,lm080_ls020_le000,0.03921084476348394,0.06378750170648817,5,1,0,0,lm000_ls060_le040,lm000_ls080_le020,lm080_ls020_le000,0.20211389109761468,0.6144933657514767,7,1,0,0,lm040_ls060_le000,lm000_ls100_le000,lm080_ls020_le000,0.024045346029157658,0.2931492573234983,4,1,0,0
semantic_plus_probe,rough_seed_29,81,84,9795,9663,0.9865237366003062,0.6792207792207793,-0.7532467532467532,0.20779220779220778,0.013302182468275229,0.030959462746977806,0.05307828634977341,lm060_ls040_le000,lm040_ls040_le020,lm080_ls020_le000,0.22111780249293078,0.01807345113361848,8,0,0,1,lm060_ls040_le000,lm040_ls040_le020,lm080_ls020_le000,0.5772526583416503,0.15487168492320835,13,0,0,1,lm080_ls020_le000,lm040_ls040_le020,lm080_ls020_le000,0.5529993741828368,0.0,7,0,0,1,lm080_ls000_le020,lm040_ls040_le020,lm100_ls000_le000,0.001520298091136102,0.5558651539577645,2,1,0,0
semantic_plus_probe,rough_seed_18,81,84,9795,9663,0.9865237366003062,0.8584415584415584,0.6701298701298701,-0.174025974025974,0.014127813590069612,0.043595595906178154,0.06489847724636395,lm000_ls100_le000,lm000_ls100_le000,lm080_ls020_le000,0.0,1.6530904404215563,1,1,0,0,lm000_ls100_le000,lm000_ls100_le000,lm080_ls020_le000,0.0,0.7482497464283054,1,1,0,0,lm040_ls040_le020,lm000_ls100_le000,lm080_ls020_le000,0.5539999999999999,4.008310195358528,3,1,0,0,lm000_ls100_le000,lm000_ls100_le000,lm100_ls000_le000,0.0,2.622873817942152,1,1,0,0
