policy,checkpoint,trained_reward_mode,eval_reward_mode,group,terrain,seed,status,settled,settling_steps,success,m4_terminal,m4_interventions,policy_steps,initial_goal_distance_m,final_goal_distance_m,progress_m,decision_time_s,energy_abs_j,energy_bracket_time_s,mean_cost_motion,mean_cost_stability,mean_cost_energy,sum_cost_motion,sum_cost_stability,sum_cost_energy,mean_progress_rate_mps,mean_energy_power_ratio,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,mean_action_vx_norm,mean_abs_action_yaw_norm,mean_action_height_norm,mean_requested_vx_mps,mean_abs_requested_yaw_rps,mean_requested_height_m,mean_requested_clearance_m,mean_applied_vx_mps,mean_abs_applied_yaw_rps,mean_applied_height_m,mean_applied_clearance_m,comparison_method,beta_name,fixed_action_norm_vx,fixed_action_norm_yaw,fixed_action_norm_height
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,low_friction,low_friction,27027,success,True,5,True,False,0,38,1.8082846522923273,0.1325887242956369,1.6756959279966903,7.6,186.68374305710537,7.6,0.22439211710580756,0.7834908424119282,0.5621729387706013,8.526900450020687,29.77265201165327,21.362571673282847,0.22048630631535399,1.124345877541203,0.003054801684338389,0.027127397262914018,0.011227970011532307,0.04486938193440437,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,low_friction,low_friction,27028,success,True,5,True,False,0,38,1.8082846522923273,0.1325887242956369,1.6756959279966903,7.6,186.68374305710537,7.6,0.22439211710580756,0.7834908424119282,0.5621729387706013,8.526900450020687,29.77265201165327,21.362571673282847,0.22048630631535399,1.124345877541203,0.003054801684338389,0.027127397262914018,0.011227970011532307,0.04486938193440437,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,low_friction,low_friction,27029,success,True,5,True,False,0,38,1.8082846522923273,0.1325887242956369,1.6756959279966903,7.6,186.68374305710537,7.6,0.22439211710580756,0.7834908424119282,0.5621729387706013,8.526900450020687,29.77265201165327,21.362571673282847,0.22048630631535399,1.124345877541203,0.003054801684338389,0.027127397262914018,0.011227970011532307,0.04486938193440437,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,low_friction,low_friction,27030,success,True,5,True,False,0,38,1.8082846522923273,0.1325887242956369,1.6756959279966903,7.6,186.68374305710537,7.6,0.22439211710580756,0.7834908424119282,0.5621729387706013,8.526900450020687,29.77265201165327,21.362571673282847,0.22048630631535399,1.124345877541203,0.003054801684338389,0.027127397262914018,0.011227970011532307,0.04486938193440437,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,low_friction,low_friction,27031,success,True,5,True,False,0,38,1.8082846522923273,0.1325887242956369,1.6756959279966903,7.6,186.68374305710537,7.6,0.22439211710580756,0.7834908424119282,0.5621729387706013,8.526900450020687,29.77265201165327,21.362571673282847,0.22048630631535399,1.124345877541203,0.003054801684338389,0.027127397262914018,0.011227970011532307,0.04486938193440437,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,low_friction,low_friction,27032,success,True,5,True,False,0,38,1.8082846522923273,0.1325887242956369,1.6756959279966903,7.6,186.68374305710537,7.6,0.22439211710580756,0.7834908424119282,0.5621729387706013,8.526900450020687,29.77265201165327,21.362571673282847,0.22048630631535399,1.124345877541203,0.003054801684338389,0.027127397262914018,0.011227970011532307,0.04486938193440437,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,low_friction,low_friction,27033,success,True,5,True,False,0,38,1.8082846522923273,0.1325887242956369,1.6756959279966903,7.6,186.68374305710537,7.6,0.22439211710580756,0.7834908424119282,0.5621729387706013,8.526900450020687,29.77265201165327,21.362571673282847,0.22048630631535399,1.124345877541203,0.003054801684338389,0.027127397262914018,0.011227970011532307,0.04486938193440437,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,low_friction,low_friction,27034,success,True,5,True,False,0,38,1.8082846522923273,0.1325887242956369,1.6756959279966903,7.6,186.68374305710537,7.6,0.22439211710580756,0.7834908424119282,0.5621729387706013,8.526900450020687,29.77265201165327,21.362571673282847,0.22048630631535399,1.124345877541203,0.003054801684338389,0.027127397262914018,0.011227970011532307,0.04486938193440437,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,low_friction,low_friction,27035,success,True,5,True,False,0,38,1.8082846522923273,0.1325887242956369,1.6756959279966903,7.6,186.68374305710537,7.6,0.22439211710580756,0.7834908424119282,0.5621729387706013,8.526900450020687,29.77265201165327,21.362571673282847,0.22048630631535399,1.124345877541203,0.003054801684338389,0.027127397262914018,0.011227970011532307,0.04486938193440437,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
fixed_train_mean,TRAIN-only balanced-u30 mean command,fixed_baseline_no_training,tracer_cost_v4,low_friction,low_friction,27036,success,True,5,True,False,0,38,1.8082846522923273,0.1325887242956369,1.6756959279966903,7.6,186.68374305710537,7.6,0.22439211710580756,0.7834908424119282,0.5621729387706013,8.526900450020687,29.77265201165327,21.362571673282847,0.22048630631535399,1.124345877541203,0.003054801684338389,0.027127397262914018,0.011227970011532307,0.04486938193440437,0.06043507158756256,0.010498247109353542,-0.026836717501282692,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,0.2120870143175126,0.0041992988437414185,0.298389796949923,0.060000000000000005,B0_fixed,fixed,0.06043507158756256,0.010498247109353542,-0.026836717501282692
