d7_group,t_h2,t_d7,dt_abs,h2_context,d7_context,known_context,h2_beta_motion,h2_beta_stability,h2_beta_energy,d7_beta_motion,d7_beta_stability,d7_beta_energy,l1
pred_beta,1784666627.485671,1784666627.497277,0.011606,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52231664,0.20103523,0.27664813,0.95536671
prior_beta,1784666627.485671,1784666627.497277,0.011606,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666627.485671,1784666627.497277,0.011606,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54039580,0.18879403,0.27081016,0.91920839
actual_beta,1784666627.585675,1784666627.597107,0.011432,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666627.585675,1784666627.597107,0.011432,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52229985,0.20101249,0.27668766,0.95540030
prior_beta,1784666627.585675,1784666627.597107,0.011432,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666627.585675,1784666627.597107,0.011432,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54037481,0.18876561,0.27085957,0.91925037
actual_beta,1784666627.685647,1784666627.697220,0.011573,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666627.685647,1784666627.697220,0.011573,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52228063,0.20099329,0.27672607,0.95543874
prior_beta,1784666627.685647,1784666627.697220,0.011573,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666627.685647,1784666627.697220,0.011573,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54035079,0.18874162,0.27090759,0.91929842
actual_beta,1784666627.785750,1784666627.797517,0.011767,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666627.785750,1784666627.797517,0.011767,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52228290,0.20094033,0.27677677,0.95543420
prior_beta,1784666627.785750,1784666627.797517,0.011767,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666627.785750,1784666627.797517,0.011767,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54035363,0.18867541,0.27097096,0.91929274
actual_beta,1784666627.885761,1784666627.897545,0.011784,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666627.885761,1784666627.897545,0.011784,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52229626,0.20086706,0.27683668,0.95540749
prior_beta,1784666627.885761,1784666627.897545,0.011784,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666627.885761,1784666627.897545,0.011784,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54037032,0.18858383,0.27104585,0.91925936
actual_beta,1784666627.985776,1784666627.997271,0.011495,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666627.985776,1784666627.997271,0.011495,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52233264,0.20075056,0.27691680,0.95533473
prior_beta,1784666627.985776,1784666627.997271,0.011495,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666627.985776,1784666627.997271,0.011495,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54041580,0.18843820,0.27114600,0.91916841
actual_beta,1784666628.085652,1784666628.097099,0.011447,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666628.085652,1784666628.097099,0.011447,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52237674,0.20062003,0.27700323,0.95524652
prior_beta,1784666628.085652,1784666628.097099,0.011447,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666628.085652,1784666628.097099,0.011447,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54047093,0.18827504,0.27125403,0.91905814
actual_beta,1784666628.185638,1784666628.197114,0.011476,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666628.185638,1784666628.197114,0.011476,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52243161,0.20047520,0.27709319,0.95513678
prior_beta,1784666628.185638,1784666628.197114,0.011476,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666628.185638,1784666628.197114,0.011476,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54053951,0.18809400,0.27136648,0.91892098
actual_beta,1784666628.285773,1784666628.297446,0.011673,flat,flat,1,0.98496273,0.00000000,0.01503727,0.45000000,0.25000000,0.30000000,1.06992546
pred_beta,1784666628.285773,1784666628.297446,0.011673,flat,flat,1,0.98496273,0.00000000,0.01503727,0.52249399,0.20032678,0.27717923,0.92493748
