tag,base_tag,n_timestep_rows,beta_motion_target,beta_stability_target,beta_energy_target,beta_dominant_target,is_new_anchor_p045,context_frac_flat,context_frac_start_flat,context_frac_rough,context_frac_upslope,context_frac_downslope,context_frac_goal_flat,context_frac_unknown,context_unique_count,ram_slip_proxy_mean_mean_g1,ram_slip_proxy_mean_std_g1,ram_slip_proxy_mean_min_g1,ram_slip_proxy_mean_max_g1,ram_roughness_proxy_mean_mean_g1,ram_roughness_proxy_mean_std_g1,ram_roughness_proxy_mean_min_g1,ram_roughness_proxy_mean_max_g1,ram_sigma_mean_mean_g1,ram_sigma_mean_std_g1,ram_sigma_mean_min_g1,ram_sigma_mean_max_g1,ref_vx_mean_mean_g1,ref_vx_mean_std_g1,ref_vx_mean_min_g1,ref_vx_mean_max_g1,ref_yaw_rate_mean_mean_g1,ref_yaw_rate_mean_std_g1,ref_yaw_rate_mean_min_g1,ref_yaw_rate_mean_max_g1,ref_clearance_mean_mean_g1,ref_clearance_mean_std_g1,ref_clearance_mean_min_g1,ref_clearance_mean_max_g1,x_progress_g1,y_change_g1,abs_y_change_g1,y_early_mean_g1,y_mid_mean_g1,y_late_mean_g1,y_late_minus_early_g1,abs_y_early_mean_g1,abs_y_mid_mean_g1,abs_y_late_mean_g1,abs_y_late_minus_early_g1,vx_tracking_error_g1,vx_tracking_abs_error_g1,vx_tracking_ratio_g1,power_per_vx_g1,contact_per_vx_g1,lateral_per_forward_g1,imu_per_vx_g1,y_max_g1,y_mean_g1,y_min_g1,y_std_g1,reset_y_mean_g1,reset_y_min_g1,reset_y_max_g1
m060_r1,m060,2225,0.448911350942609,0.2333079648659234,0.3177806841914676,motion,0,0.19685393258426967,0.0,0.20719101123595507,0.1797752808988764,0.23325842696629215,0.18292134831460674,0.0,5,0.0969438202247191,0.09500849867964939,0.0,0.25,0.17292134831460676,0.12922589095287396,0.05,0.4,0.19746067415730337,0.12465350233543111,0.05,0.35,0.1867629213483146,0.05046002962320858,0.025,0.21,0.0037586407725842697,0.0054314145574296605,-0.001902728,0.01449249,0.047076404494382024,0.0034580713174592,0.045,0.055,8.108477258999999,-0.6174943399999999,0.61658674,0.042850953218623485,-0.2333206129541779,-0.5759543094709851,-0.6188052626896087,0.04570691895681511,0.2333206129541779,0.5759543094709851,0.53024739051417,0.013236174485986879,0.013236174485986879,0.9291284673080195,941.9037133936031,720.0473114603342,0.2290395857486422,2.6443161442392396,0.107619738,-0.2555869598480899,-0.629450749,0.27069520722387314,-0.000900438,-0.000900438,-0.000900438
m060_r2,m060,2226,0.448911350942609,0.2333079648659234,0.3177806841914676,motion,0,0.1976639712488769,0.0,0.19946091644204852,0.18823000898472597,0.2407906558849955,0.1738544474393531,0.0,5,0.09907906558849955,0.09559153350497665,0.0,0.25,0.17216981132075473,0.1271065442453352,0.05,0.4,0.19838274932614555,0.12347757142821718,0.05,0.35,0.18849842767295596,0.047956727533931945,0.025,0.21,0.002909491082659479,0.0021313483818251357,-0.000840415,0.006055122,0.046994609164420484,0.003387523115733165,0.045,0.055,8.205083474,-0.23843615199999998,0.233536538,-0.0888552650444744,-0.15031622123450133,-0.22197391170889488,-0.13311864666442047,0.0980140896671159,0.15031622123450133,0.22197391170889488,0.12395982204177898,0.017003720204410655,0.017003720204410655,0.9097938353421597,936.3628733877215,724.837809378708,0.20757409975237961,2.8098930028115565,0.042313562,-0.15371513266262354,-0.277779966,0.08112736940731184,0.000705757,0.000705757,0.000705757
p015,p015,2124,0.3671507258931243,0.28687414958352836,0.34597512452334733,motion,0,0.20433145009416195,0.0,0.2024482109227872,0.19868173258003766,0.24105461393596986,0.1534839924670433,0.0,5,0.10037664783427495,0.0948775072163066,0.0,0.25,0.1748587570621469,0.12703606859719854,0.05,0.4,0.20087099811676082,0.12258186213860968,0.05,0.35,0.19280955743879472,0.040394208547390995,0.025,0.21,0.004466028314971751,0.0037187145381144043,-0.000730554,0.00979184,0.04702448210922787,0.003382047851162043,0.045,0.055,8.046409278,-0.07019549600000001,0.062384656000000004,-0.09639290000282486,-0.3461139982980226,-0.12412054536723163,-0.027727645364406778,0.11166931098870056,0.3461139982980226,0.12412054536723163,0.012451234378531073,0.018963948533778946,0.018963948533778946,0.9016441467648778,933.8057254753356,715.5296264415158,0.21587074738812456,2.52902668959715,0.036718271,-0.18887581455602637,-0.41277864,0.1446022616626747,0.001275438,0.001275438,0.001275438
p015_r1,p015,2124,0.3671507258931243,0.28687414958352836,0.34597512452334733,motion,0,0.2062146892655367,0.0,0.1817325800376648,0.2066854990583804,0.2387005649717514,0.16666666666666666,0.0,5,0.0986346516007533,0.09541277282075845,0.0,0.25,0.16840866290018833,0.12344173980652069,0.0,0.4,0.19522128060263652,0.12179796335976248,0.0,0.35,0.19049552730696798,0.044690929504675535,0.025,0.21,0.0022107934872881356,0.0016281393755118844,-0.001016656,0.004497252,0.04681732580037665,0.0031878737937544926,0.045,0.055,8.117844543,-0.212674676,0.211743438,-0.04921509215254237,-0.12970827200141244,-0.19544882696751412,-0.14623373481497176,0.059711996757062145,0.12970827200141244,0.19544882696751412,0.13573683021045196,0.01514670547831698,0.01514670547831698,0.9204878681801841,902.9059633440904,696.8126040866606,0.19512615130240746,2.707581161246993,0.053630339,-0.12479073037382298,-0.259587297,0.07084873228199882,0.000289778,0.000289778,0.000289778
p015_r2,p015,2226,0.3671507258931243,0.28687414958352836,0.34597512452334733,motion,0,0.1958670260557053,0.0,0.19901168014375561,0.20215633423180593,0.21608265947888589,0.18688230008984727,0.0,5,0.09420485175202156,0.0930906932685862,0.0,0.25,0.1715633423180593,0.1276910853714864,0.05,0.4,0.19409254267744833,0.12336954059760233,0.05,0.35,0.18611298292902065,0.05164085495113211,0.025,0.21,0.001541865747079964,0.002379409139901394,-0.002847419,0.005289173,0.046990116801437554,0.0033835321877031667,0.045,0.055,8.133947669000001,0.268697017,0.268697017,-0.1091179627722372,-0.124456428,0.1950103653045822,0.30412832807681944,0.11474152747843666,0.124456428,0.19544467596226414,0.08070314848382748,0.011860675013620092,0.011860675013620092,0.9362716408766416,905.0024238487149,702.8630972786468,0.20978557207808324,2.472232188962778,0.320254105,-0.012854675155884995,-0.266657077,0.1675311553784063,0.003136564,0.003136564,0.003136564
p030,p030,2226,0.4623303196928796,0.33645602789003193,0.20121365241708858,motion,0,0.19811320754716982,0.0,0.1976639712488769,0.1931716082659479,0.22686433063791556,0.18418688230008984,0.0,5,0.09579964061096137,0.09439176510071529,0.0,0.25,0.17084456424079067,0.12737908880112084,0.05,0.4,0.19499101527403415,0.12366383769339065,0.05,0.35,0.18661725067385446,0.050828995447897096,0.025,0.21,-6.62791298292902e-05,0.0008343162776473627,-0.001350456,0.001428372,0.04697663971248877,0.00337149514401428,0.045,0.055,8.140252175999999,-0.195570819,0.189696233,-0.01456418109703504,0.03881716996226415,-0.095816697606469,-0.08125251650943396,0.03393710191644205,0.04111776773045822,0.09608049724528302,0.062143395328840965,0.012360711417009312,0.012360711417009312,0.933764368661653,941.1208042827262,706.4013181462514,0.21422579689306323,2.7523064530348567,0.114723569,-0.023854569580413296,-0.192633526,0.07084352444134055,0.000532874,0.000532874,0.000532874
p030_r1,p030,2223,0.4623303196928796,0.33645602789003193,0.20121365241708858,motion,0,0.21187584345479082,0.0,0.19298245614035087,0.18848403058929375,0.2276203328834908,0.17903733693207377,0.0,5,0.09505173189383716,0.09490049492229595,0.0,0.25,0.16857849752586596,0.12687231699151397,0.05,0.4,0.193072424651372,0.12395912169133153,0.05,0.35,0.18760908681961314,0.0494806748866896,0.025,0.21,-0.0008952803972109762,0.0009538492500473925,-0.003226402,0.000263463,0.04692982456140351,0.0033280094966341607,0.045,0.055,8.049827630000001,0.17325937,0.17325937,0.018417789798920378,0.02155137931848853,0.16365531140080972,0.14523752160188935,0.029818533315789472,0.03391729530769231,0.16365531140080972,0.13383677808502026,0.01389615498514063,0.01389615498514063,0.9259302669145134,917.4018108996653,718.3737462662555,0.20814771700969453,2.6045863118820374,0.234926212,0.06787482683940621,-0.043786456,0.07835024772125514,0.005767676,0.005767676,0.005767676
p030_r2,p030,2121,0.4623303196928796,0.33645602789003193,0.20121365241708858,motion,0,0.20273455917020272,0.0,0.20273455917020272,0.20132013201320131,0.23668081093823667,0.15652993870815654,0.0,5,0.09945780292314946,0.09440220230871876,0.0,0.25,0.1747760490334748,0.1271130103822387,0.05,0.4,0.20007072135785006,0.12254662515937377,0.05,0.35,0.19221475719000472,0.04154830637700411,0.025,0.21,0.0037612093191890616,0.0029298775294106898,-0.001046145,0.007858375,0.047032060348892034,0.0033877174359239104,0.045,0.055,8.096297041,0.11163850700000001,0.11163850700000001,-0.10816868344413012,-0.29140710087270155,-0.019206740256011316,0.08896194318811881,0.11729758849646393,0.29140710087270155,0.09707229336492221,-0.020225295131541726,0.01832528805782116,0.01832528805782116,0.9046624290157568,929.278926741906,711.5141658301463,0.20935992261224254,2.5535034470117646,0.154634425,-0.13959417485761433,-0.354479427,0.13991460866769473,0.014962833,0.014962833,0.014962833
p045,p045,2225,0.5711371976473154,0.3830743727512737,0.045788429601410954,motion,1,0.2,0.0,0.19550561797752808,0.2004494382022472,0.22741573033707865,0.17662921348314606,0.0,5,0.09644943820224719,0.09418354197170581,0.0,0.25,0.17123595505617978,0.1266315563624822,0.05,0.4,0.19557303370786516,0.12299428027629682,0.05,0.35,0.18811011235955055,0.048741011471042886,0.025,0.21,0.001969402589213483,0.0017704897104796075,-0.000901529,0.004739804,0.04695056179775281,0.003347625213159183,0.045,0.055,8.032351494,0.139989776,0.139989776,-0.06059082928879892,-0.1522089882250674,0.01906099346693657,0.07965182275573549,0.07488510579622132,0.1522089882250674,0.08031168485155196,0.005426579055330644,0.015483481170977531,0.015483481170977531,0.917689267329857,948.2085659881702,713.417584294351,0.21291038591828312,2.8927822738345608,0.147592192,-0.06465830754022472,-0.238718734,0.0971325527489751,0.002712635,0.002712635,0.002712635
p060,p060,2225,0.02653758080742251,0.5572891969558726,0.4161732222367048,stability,0,0.1959550561797753,0.0,0.20269662921348314,0.20449438202247192,0.22696629213483147,0.16988764044943822,0.0,5,0.09746067415730338,0.09358803536558749,0.0,0.25,0.17431460674157304,0.12746372874741138,0.05,0.4,0.1982247191011236,0.12271367540147704,0.05,0.35,0.18932359550561798,0.046869617297681666,0.025,0.21,-0.003732162177977528,0.003059328017222861,-0.010809202,0.0,0.047031460674157304,0.003419567544007434,0.045,0.055,8.060276145000001,0.482219355,0.482219355,0.07586065311470985,0.15529597503773584,0.4473834137381916,0.3715227606234818,0.07586065311470985,0.15529597503773584,0.4473834137381916,0.3715227606234818,0.019135637666238825,0.019135637666238825,0.8989262927574656,936.0382938250082,719.4127216619283,0.20763583383492196,2.4768752337005275,0.529965268,0.22619696673393258,0.002422963,0.17094306117379737,0.000462292,0.000462292,0.000462292
