representation,context_id,eta_name,selected_beta,oracle_beta,true_rank,exact,top3,top5,Q_excess_eta,beta_changed_vs_learned_balanced,target_improved,target_tied,target_worsened,delta_target_regret,delta_other_regret_mean
semantic_plus_probe,rough_seed_15,energy_biased,lm000_ls040_le060,lm000_ls080_le020,5,0,0,1,0.2058314224514788,1,1,0,0,-0.06777589178183213,0.2628908258184869
semantic_plus_probe,rough_seed_17,balanced,lm040_ls040_le020,lm100_ls000_le000,5,0,0,1,0.19183746396762474,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_17,motion_biased,lm100_ls000_le000,lm100_ls000_le000,1,1,1,1,0.0,1,1,0,0,-0.5334473658210145,-0.43980953079635376
semantic_plus_probe,rough_seed_17,stability_biased,lm040_ls020_le040,lm100_ls000_le000,11,0,0,0,0.4698709133695427,1,1,0,0,-0.07371439411579916,0.21361460788443945
semantic_plus_probe,rough_seed_17,energy_biased,lm040_ls040_le020,lm020_ls060_le020,6,0,0,0,0.14157426751396068,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_18,balanced,lm000_ls100_le000,lm000_ls100_le000,1,1,1,1,0.0,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_18,motion_biased,lm020_ls080_le000,lm000_ls100_le000,2,0,1,1,0.39632198195516743,1,0,0,1,0.13295314203307265,1.4345642175296516
semantic_plus_probe,rough_seed_18,stability_biased,lm000_ls100_le000,lm040_ls040_le020,3,0,1,1,0.5539999999999999,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_18,energy_biased,lm000_ls080_le020,lm000_ls100_le000,5,0,0,1,0.7792729411448888,1,0,0,1,1.3128127097406808,0.3714517860758282
semantic_plus_probe,rough_seed_20,balanced,lm000_ls080_le020,lm000_ls060_le040,9,0,0,0,0.10781857615678969,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_20,motion_biased,lm080_ls020_le000,lm080_ls000_le020,7,0,0,0,0.04602913148335923,1,1,0,0,-0.15696512882962618,0.5117427869574162
semantic_plus_probe,rough_seed_20,stability_biased,lm020_ls040_le040,lm000_ls040_le060,10,0,0,0,0.320463628928293,1,1,0,0,-0.30120624872193025,0.7361713561681562
semantic_plus_probe,rough_seed_20,energy_biased,lm000_ls080_le020,lm060_ls020_le020,2,0,1,1,0.025414666986071643,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_22,balanced,lm000_ls080_le020,lm040_ls040_le020,3,0,1,1,0.025173014214702888,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_22,motion_biased,lm000_ls100_le000,lm080_ls020_le000,8,0,0,0,0.09793446483293872,1,1,0,0,-0.4523926233914852,0.7761131936100165
semantic_plus_probe,rough_seed_22,stability_biased,lm000_ls080_le020,lm040_ls020_le040,12,0,0,0,0.2566362668319645,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_22,energy_biased,lm000_ls080_le020,lm040_ls020_le040,5,0,0,1,0.297941160296332,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_25,balanced,lm100_ls000_le000,lm040_ls040_le020,4,0,0,1,0.17697867292882175,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_25,motion_biased,lm100_ls000_le000,lm080_ls000_le020,2,0,1,1,0.007966230981075031,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_25,stability_biased,lm080_ls000_le020,lm060_ls000_le040,6,0,0,0,0.14819292598880335,1,1,0,0,-0.400064011938128,0.1478213084167223
semantic_plus_probe,rough_seed_25,energy_biased,lm100_ls000_le000,lm040_ls040_le020,2,0,1,1,0.060503759923311584,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_28,balanced,lm040_ls020_le040,lm000_ls100_le000,13,0,0,0,1.1933267808274428,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_28,motion_biased,lm000_ls060_le040,lm060_ls040_le000,15,0,0,0,1.188846879595057,1,0,0,1,0.1838309597929897,-0.48233933361601355
semantic_plus_probe,rough_seed_28,stability_biased,lm000_ls040_le060,lm000_ls100_le000,16,0,0,0,3.118277526400263,1,0,0,1,1.1643511710918597,0.1975065458199503
semantic_plus_probe,rough_seed_28,energy_biased,lm020_ls020_le060,lm000_ls100_le000,12,0,0,0,2.023419879269671,1,1,0,0,-0.7825190995777969,1.221663118217256
semantic_plus_probe,rough_seed_29,balanced,lm060_ls000_le040,lm060_ls040_le000,17,0,0,0,0.8607055246525701,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_29,motion_biased,lm000_ls100_le000,lm060_ls040_le000,7,0,0,0,0.23346866862736637,1,1,0,0,-0.29709358303750844,-1.860791609000237
semantic_plus_probe,rough_seed_29,stability_biased,lm060_ls000_le040,lm080_ls020_le000,18,0,0,0,1.2412237909254167,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_29,energy_biased,lm000_ls080_le020,lm080_ls000_le020,9,0,0,0,0.28098249667219455,1,1,0,0,-2.274803784955581,-0.3673811733052343
semantic_plus_probe,rough_seed_4,balanced,lm000_ls100_le000,lm020_ls080_le000,3,0,1,1,0.1640909998792447,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_4,motion_biased,lm020_ls080_le000,lm020_ls080_le000,1,1,1,1,0.0,1,1,0,0,-0.9400774100174394,0.33139660127748316
semantic_plus_probe,rough_seed_4,stability_biased,lm000_ls080_le020,lm000_ls100_le000,11,0,0,0,4.713767588125408,1,0,0,1,0.35043558446286244,16.72344866459897
semantic_plus_probe,rough_seed_4,energy_biased,lm000_ls100_le000,lm020_ls080_le000,3,0,1,1,0.042972960747891364,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_5,balanced,lm000_ls040_le060,lm060_ls020_le020,15,0,0,0,0.13504226187794194,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_5,motion_biased,lm100_ls000_le000,lm100_ls000_le000,1,1,1,1,0.0,1,1,0,0,-0.9208580304585553,0.2393773437726714
semantic_plus_probe,rough_seed_5,stability_biased,lm000_ls060_le040,lm020_ls040_le040,6,0,0,0,0.013055761412708172,1,0,0,1,0.10524457116451238,0.22468189700437002
semantic_plus_probe,rough_seed_5,energy_biased,lm000_ls080_le020,lm060_ls020_le020,5,0,0,1,0.01898257181831335,1,1,0,0,-0.40950446388589823,-0.07588459912231343
semantic_plus_probe,rough_seed_6,balanced,lm000_ls100_le000,lm000_ls080_le020,4,0,0,1,0.07496055129465143,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_6,motion_biased,lm040_ls060_le000,lm020_ls080_le000,3,0,1,1,0.03374927569923457,1,1,0,0,-0.008057012525571977,0.038097474705956244
semantic_plus_probe,rough_seed_6,stability_biased,lm000_ls100_le000,lm000_ls060_le040,14,0,0,0,0.3611037085623153,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_6,energy_biased,lm000_ls100_le000,lm040_ls060_le000,4,0,0,1,0.024045346029157658,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_7,balanced,lm080_ls000_le020,lm000_ls060_le040,19,0,0,0,0.13445549865618578,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_7,motion_biased,lm100_ls000_le000,lm000_ls100_le000,2,0,1,1,0.007110061757766156,1,1,0,0,-0.09011321216238134,-0.27990782158950694
semantic_plus_probe,rough_seed_7,stability_biased,lm080_ls000_le020,lm020_ls020_le060,21,0,0,0,0.5958512614137038,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_7,energy_biased,lm080_ls000_le020,lm020_ls020_le060,16,0,0,0,0.44418665969286597,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_8,balanced,lm100_ls000_le000,lm080_ls020_le000,2,0,1,1,0.0016479083801680394,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_8,motion_biased,lm100_ls000_le000,lm080_ls020_le000,2,0,1,1,0.019281123009697893,0,0,1,0,0.0,0.0
semantic_plus_probe,rough_seed_8,stability_biased,lm060_ls040_le000,lm080_ls020_le000,6,0,0,0,0.35091608032699806,1,1,0,0,-0.2931362192993141,0.6406095335124797
semantic_plus_probe,rough_seed_8,energy_biased,lm020_ls080_le000,lm040_ls060_le000,9,0,0,0,0.7753145657795987,1,0,0,1,1.054724135330766,-0.10551011873682736
semantic_plus_prop_probe,rough_seed_0,balanced,lm000_ls060_le040,lm100_ls000_le000,3,0,1,1,0.026947920889475147,0,0,1,0,0.0,0.0
semantic_plus_prop_probe,rough_seed_0,motion_biased,lm000_ls100_le000,lm100_ls000_le000,7,0,0,0,0.10642218937932311,1,1,0,0,-0.6020157210991219,0.6485394566349628
semantic_plus_prop_probe,rough_seed_0,stability_biased,lm040_ls000_le060,lm000_ls060_le040,6,0,0,0,0.10653285569790952,1,0,0,1,0.2521246023276999,0.20806024173964233
semantic_plus_prop_probe,rough_seed_0,energy_biased,lm000_ls100_le000,lm100_ls000_le000,11,0,0,0,0.3973169068243888,1,0,0,1,0.004124893555433218,0.34546914930768524
semantic_plus_prop_probe,rough_seed_10,balanced,lm060_ls020_le020,lm060_ls020_le020,1,1,1,1,0.0,0,0,1,0,0.0,0.0
