signature_id,context_id,terrain,mission,selected_beta_name,alternative_beta_names,choice_size,raw_decision_multiplicity,calibration_weight,exact_support_class,posterior_mean_motion,posterior_mean_stability,posterior_mean_energy,posterior_std_motion,posterior_std_stability,posterior_std_energy,posterior_map_motion,posterior_map_stability,posterior_map_energy,motion_q05,motion_q95,stability_q05,stability_q95,energy_q05,energy_q95,posterior_entropy_nats,posterior_entropy_normalized,posterior_information_gain_nats,posterior_effective_fraction,log_marginal_evidence,map_selected_choice_probability,posterior_expected_choice_probability
198,flat_train:flat:27114,flat,stable,motion,balanced|stability,3,1,0.16666666666666666,strict,0.5540704024398806,0.3299035855238303,0.1160260120362889,0.22741801487965443,0.2416562184484377,0.09081443384494375,1.0,0.0,0.0,0.13,0.89,0.02,0.79,0.0,0.29,7.786193411820669,0.91099127987561,0.7607527377449159,0.4673145292982296,-1.2884253917536688,0.9734275051814846,0.672688753524852
199,flat_train:flat:27114,flat,stable,stability,energy,2,1,0.16666666666666666,strict,0.27569598641131166,0.3217695483193639,0.4025344652693274,0.20586129293753958,0.23294717370986515,0.2330484339621756,0.0,0.0,1.0,0.02,0.67,0.02,0.76,0.05,0.82,8.48125723663463,0.9923143410779189,0.06568891293095547,0.9364221278002399,-0.3082451034319931,0.9992429203358935,0.8186308741774757
200,flat_train:flat:27114,flat,stable,balanced,energy|stability,3,1,0.16666666666666666,strict,0.5322645785295043,0.34702409152613656,0.12071132994435879,0.24399906328851478,0.2493973924234521,0.10132199233456571,1.0,0.0,0.0,0.09,0.89,0.02,0.81,0.0,0.32,7.905259481831827,0.9249221117689652,0.641686667733758,0.5264038065370625,-1.524345413857981,0.8548565522413091,0.4898949630582417
201,flat_train:flat:27114,flat,stable,motion,balanced|energy|stability,4,1,0.16666666666666666,strict,0.5672194719914584,0.3193414583497183,0.11343906965882339,0.22474878779834262,0.23711982806433923,0.09008667645556193,1.0,0.0,0.0,0.15,0.89,0.02,0.78,0.0,0.29,7.755360743616059,0.9073838313594897,0.791585405949526,0.45312583711462445,-1.3849265185264077,0.9696378721401455,0.6409997389383869
202,flat_train:flat:27114,flat,efficient,balanced,motion,2,5,0.3333333333333333,strict,0.23088624622505485,0.32390890068046685,0.4452048530944768,0.17894097778653045,0.23465375513533612,0.23308210436979868,0.0,0.0,1.0,0.01,0.58,0.02,0.77,0.07,0.84,8.381694809805335,0.9806654520961678,0.16525133976024975,0.847680621466802,-0.5638530841706455,0.9949151278530286,0.7306779459913464
203,flat_train:flat:27114,flat,efficient,stability,balanced|motion,3,3,0.3333333333333333,strict,0.2274751656271656,0.3159343611355474,0.45659047323728763,0.16722351373879465,0.22884911111458048,0.21335195698649656,0.0,0.0,1.0,0.01,0.54,0.02,0.75,0.12,0.83,8.286063170558512,0.9694764686191063,0.26088297900707325,0.7703710639274104,-0.4740518412537895,0.9999824227233768,0.862868856611823
204,flat_train:flat:27114,flat,efficient,stability,balanced|energy|motion,4,1,0.3333333333333333,strict,0.22368436845603876,0.3060867891480255,0.47022884239593526,0.1658057250794013,0.22418216550218145,0.21268745393396404,0.0,0.0,1.0,0.01,0.54,0.02,0.73,0.13,0.84,8.267865191799405,0.9673472895602174,0.2790809577661797,0.7564786579136319,-0.555499818384078,0.9992253696637592,0.8191746056265233
205,flat_train:flat:27115,flat,fast,balanced,motion,2,1,0.16666666666666666,strict,0.23388888587146708,0.3265494016727541,0.4395617124557805,0.18136403850629285,0.23582139320789888,0.23477088884859454,0.0,0.0,1.0,0.01,0.58,0.02,0.77,0.06,0.84,8.396123213869625,0.9823535876959251,0.15082293569595961,0.8599999604732174,-0.5483546958356911,0.9936665797238573,0.7281827199500002
206,flat_train:flat:27115,flat,fast,balanced,energy,2,1,0.16666666666666666,strict,0.43839211056290156,0.3474454177651347,0.21416247167196492,0.24711895061978545,0.24416242143033445,0.17516714090133703,1.0,0.0,0.0,0.05,0.85,0.02,0.8,0.01,0.56,8.377845304435034,0.9802150566797305,0.16910084513055068,0.8444237430694946,-0.8062720683986733,0.9221512961681705,0.5818588882212856
207,flat_train:flat:27115,flat,fast,balanced,energy|motion,3,1,0.16666666666666666,strict,0.31847697219825694,0.3866282957812327,0.2948947320205127,0.2035254137574396,0.2492621677656838,0.1889815600149317,0.0,0.94,0.06,0.03,0.68,0.03,0.82,0.03,0.64,8.442137080596524,0.9877372494063991,0.10480906896906106,0.9004964388870983,-1.4761177327396222,0.3567182669349701,0.2704355519428211
208,flat_train:flat:27115,flat,fast,energy,stability,2,1,0.16666666666666666,strict,0.4216513746838463,0.35588903313185477,0.2224595921842993,0.2510976453765279,0.24619893249018018,0.1844127218591277,1.0,0.0,0.0,0.04,0.85,0.02,0.81,0.01,0.59,8.412937688951196,0.9843208956428021,0.13400846061438898,0.8745826650653511,-0.9374674262146385,0.8030781771199021,0.48774393625957424
209,flat_train:flat:27115,flat,fast,balanced,energy|stability,3,1,0.16666666666666666,strict,0.4983307665125818,0.34033933223435353,0.16132990125306407,0.24349137216450328,0.2443629958180949,0.1350959166509722,1.0,0.0,0.0,0.08,0.88,0.02,0.8,0.01,0.43,8.150865277853885,0.9536581996913797,0.3960808717116997,0.6729522709346517,-1.1927399529685783,0.9048779134036526,0.525111118395006
210,flat_train:flat:27115,flat,fast,balanced,energy|motion|stability,4,1,0.16666666666666666,strict,0.36872749204307037,0.40719876529338,0.2240737426635497,0.21211499801553005,0.2542015828710312,0.15187933924827346,0.05,0.95,0.0,0.04,0.73,0.03,0.84,0.02,0.5,8.305975866687163,0.9718062710748833,0.24097028287842193,0.7858649796864925,-1.9681386386510171,0.27749634471320817,0.19558864391956118
211,flat_train:flat:27115,flat,stable,motion,balanced,2,1,0.16666666666666666,strict,0.46948332330033904,0.3426212548925435,0.18789542180711682,0.2417756051117241,0.24347049794832532,0.15330416816872183,1.0,0.0,0.0,0.07,0.86,0.02,0.8,0.01,0.49,8.270338430688565,0.9676366606228027,0.2766077188770204,0.7583519259139527,-0.8625126699832899,0.968474851448153,0.6278533302137608
212,flat_train:flat:27115,flat,stable,balanced,energy,2,1,0.16666666666666666,strict,0.43839211056290156,0.3474454177651347,0.21416247167196492,0.24711895061978545,0.24416242143033445,0.17516714090133703,1.0,0.0,0.0,0.05,0.85,0.02,0.8,0.01,0.56,8.377845304435034,0.9802150566797305,0.16910084513055068,0.8444237430694946,-0.8062720683986733,0.9221512961681705,0.5818588882212856
213,flat_train:flat:27115,flat,stable,motion,balanced|energy,3,1,0.16666666666666666,strict,0.5206788528571316,0.32817470148106337,0.15114644566180577,0.23278460731392298,0.23964890138548864,0.1227309407939434,1.0,0.0,0.0,0.11,0.88,0.02,0.78,0.01,0.39,8.055805410349617,0.9425361139965844,0.4911407392159681,0.6119279456813715,-1.1253611407634825,0.9659042164935537,0.6153547310061244
214,flat_train:flat:27115,flat,stable,energy,stability,2,1,0.16666666666666666,strict,0.4216513746838463,0.35588903313185477,0.2224595921842993,0.2510976453765279,0.24619893249018018,0.1844127218591277,1.0,0.0,0.0,0.04,0.85,0.02,0.81,0.01,0.59,8.412937688951196,0.9843208956428021,0.13400846061438898,0.8745826650653511,-0.9374674262146385,0.8030781771199021,0.48774393625957424
215,flat_train:flat:27115,flat,stable,balanced,energy|stability,3,1,0.16666666666666666,strict,0.4983307665125818,0.34033933223435353,0.16132990125306407,0.24349137216450328,0.2443629958180949,0.1350959166509722,1.0,0.0,0.0,0.08,0.88,0.02,0.8,0.01,0.43,8.150865277853885,0.9536581996913797,0.3960808717116997,0.6729522709346517,-1.1927399529685783,0.9048779134036526,0.525111118395006
