packet_index,sim_time,schedule_offset,window,condition,command,expected_delta,leg,leg_index,phase,swing,shape,bump,target_z,actual_z,tracking_error,native_target_z,realized_relative_z,base_z,roll_deg,pitch_deg,yaw_deg,base_vz
205,58.89925,18.68830108642578,A2,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.36481853819187426,-0.36481853819187426,0.0,-0.36481853819187426,0.0,0.36702589449978335,-0.19863499009798113,-1.7406336566597844,-0.9128896971600852,-0.042197924512464756
205,58.89925,18.68830108642578,A2,A,0.045,0.0,RR,3,0.8999999761581421,1,0.1296000549316448,0.0,-0.3306112146810457,-0.31123802053231125,0.01937319414873445,-0.3306112146810457,0.01937319414873445,0.36702589449978335,-0.19863499009798113,-1.7406336566597844,-0.9128896971600852,-0.042197924512464756
206,58.9195,18.769057035446167,A2,A,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.3438241955358125,-0.3438241955358125,0.0,-0.3438241955358125,0.0,0.3651100828196229,-0.22612238866185222,-1.811527472193672,-0.8045122014804712,-0.03871836615582288
206,58.9195,18.769057035446167,A2,A,0.045,0.0,FR,1,0.0,0,0.0,0.0,-0.3651463922157761,-0.3651463922157761,0.0,-0.3651463922157761,0.0,0.3651100828196229,-0.22612238866185222,-1.811527472193672,-0.8045122014804712,-0.03871836615582288
206,58.9195,18.769057035446167,A2,A,0.045,0.0,RL,2,0.0,0,0.0,0.0,-0.36466353154815423,-0.36466353154815423,0.0,-0.36466353154815423,0.0,0.3651100828196229,-0.22612238866185222,-1.811527472193672,-0.8045122014804712,-0.03871836615582288
206,58.9195,18.769057035446167,A2,A,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.3442712236721651,-0.3442712236721651,0.0,-0.3442712236721651,0.0,0.3651100828196229,-0.22612238866185222,-1.811527472193672,-0.8045122014804712,-0.03871836615582288
207,58.9395,18.84984302520752,A2,A,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.36417774764505856,-0.36417774764505856,0.0,-0.36417774764505856,0.0,0.3649722225942841,-0.0649979013436503,-2.23992766448593,-0.6668524051902481,-0.026850576784576363
207,58.9395,18.84984302520752,A2,A,0.045,0.0,FR,1,0.10000000149011612,1,0.12960000343322756,0.0,-0.3449142350762903,-0.3559476696197634,-0.011033434543473053,-0.3449142350762903,-0.011033434543473053,0.3649722225942841,-0.0649979013436503,-2.23992766448593,-0.6668524051902481,-0.026850576784576363
207,58.9395,18.84984302520752,A2,A,0.045,0.0,RL,2,0.10000000149011612,1,0.12960000343322756,0.0,-0.34445662802228444,-0.35492729946681517,-0.010470671444530733,-0.34445662802228444,-0.010470671444530733,0.3649722225942841,-0.0649979013436503,-2.23992766448593,-0.6668524051902481,-0.026850576784576363
207,58.9395,18.84984302520752,A2,A,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.36483363125485724,-0.36483363125485724,0.0,-0.36483363125485724,0.0,0.3649722225942841,-0.0649979013436503,-2.23992766448593,-0.6668524051902481,-0.026850576784576363
