context_id,seed,split_group,context_sha256,probe_safety_state_diagnostic,eta_name,eta_motion,eta_stability,eta_energy,selected_beta_index,selected_beta_name,selected_beta_motion,selected_beta_stability,selected_beta_energy,predicted_Q_selected,predicted_Q_best_second_gap
rough_seed_26,26,test,7286a8ef32ac2df04aecc19e284a65c14541e9f703e9a09881839ae518bdbabd,normal,motion_biased,0.7,0.15,0.15,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.3281978129742527,0.01674140867835644
rough_seed_26,26,test,7286a8ef32ac2df04aecc19e284a65c14541e9f703e9a09881839ae518bdbabd,normal,stability_biased,0.15,0.7,0.15,17,lm060_ls040_le000,0.48,0.37,0.15,0.9002457965379108,0.006707460373091778
rough_seed_26,26,test,7286a8ef32ac2df04aecc19e284a65c14541e9f703e9a09881839ae518bdbabd,normal,energy_biased,0.15,0.15,0.7,4,lm000_ls080_le020,0.15,0.5900000000000001,0.26,0.7890550818582397,0.19895016691900358
rough_seed_9,9,hard,274b613653e8083b48747d3bb0474f5218f2b07778efb99684eab3242c3e3ce2,normal,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,9,lm020_ls060_le020,0.26,0.48,0.26,0.4520745324764424,0.01858848163266491
rough_seed_9,9,hard,274b613653e8083b48747d3bb0474f5218f2b07778efb99684eab3242c3e3ce2,normal,motion_biased,0.7,0.15,0.15,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.23075515044982176,0.0031912707661089224
rough_seed_9,9,hard,274b613653e8083b48747d3bb0474f5218f2b07778efb99684eab3242c3e3ce2,normal,stability_biased,0.15,0.7,0.15,6,lm020_ls000_le080,0.26,0.15,0.5900000000000001,0.4337133261533174,0.030696380829602854
rough_seed_9,9,hard,274b613653e8083b48747d3bb0474f5218f2b07778efb99684eab3242c3e3ce2,normal,energy_biased,0.15,0.15,0.7,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.8533648760360336,0.06986674345346366
rough_seed_23,23,hard,da4d95fb571765be5409f2ad4d2ab9c2c3199094d7745787b5be674e2b307d19,normal,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.21967943939318693,0.015263846771328166
rough_seed_23,23,hard,da4d95fb571765be5409f2ad4d2ab9c2c3199094d7745787b5be674e2b307d19,normal,motion_biased,0.7,0.15,0.15,10,lm020_ls080_le000,0.26,0.5900000000000001,0.15,0.44914872900808006,0.009418440579140763
rough_seed_23,23,hard,da4d95fb571765be5409f2ad4d2ab9c2c3199094d7745787b5be674e2b307d19,normal,stability_biased,0.15,0.7,0.15,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.09885574772693413,0.12818807619024797
rough_seed_23,23,hard,da4d95fb571765be5409f2ad4d2ab9c2c3199094d7745787b5be674e2b307d19,normal,energy_biased,0.15,0.15,0.7,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.35571218504345953,0.13243554732820928
rough_seed_24,24,hard,9e9189de7ac252d5c5cc9140c9322f1ea7f39954c74534357f2320b7135b7365,watch,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,18,lm080_ls000_le020,0.5900000000000001,0.15,0.26,0.6136966810865199,0.1347263760475057
rough_seed_24,24,hard,9e9189de7ac252d5c5cc9140c9322f1ea7f39954c74534357f2320b7135b7365,watch,motion_biased,0.7,0.15,0.15,18,lm080_ls000_le020,0.5900000000000001,0.15,0.26,0.27616350648893395,0.060626869221377555
rough_seed_24,24,hard,9e9189de7ac252d5c5cc9140c9322f1ea7f39954c74534357f2320b7135b7365,watch,stability_biased,0.15,0.7,0.15,13,lm040_ls040_le020,0.37,0.37,0.26,0.6177729659127373,0.018672198891019565
rough_seed_24,24,hard,9e9189de7ac252d5c5cc9140c9322f1ea7f39954c74534357f2320b7135b7365,watch,energy_biased,0.15,0.15,0.7,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.6023343917765444,0.09149052409705838
