context_id,seed,split_group,context_sha256,probe_safety_state_diagnostic,beta_index,beta_name,beta_motion,beta_stability,beta_energy,pred_regret_motion,pred_regret_stability,pred_regret_energy,pred_Q_balanced,pred_Q_motion_biased,pred_Q_stability_biased,pred_Q_energy_biased
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,19,lm080_ls020_le000,0.5900000000000001,0.26,0.15,0.0,2.9337438360800556,0.41895864760376156,0.989090286972298,0.44509062913753406,2.074785330080005,0.44739490169935475
rough_seed_1,1,val,da81bd353ca38a4c688c69ce6c52e8fe14b8b7bf27d53c1985de33586a95cdc3,normal,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.0,2.5926700234981452,0.2171316601168921,0.8735893467780985,0.39311520605014433,1.8333434041033638,0.39430943018078723
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,0,lm000_ls000_le100,0.15,0.15,0.7000000000000001,5.147247220159238,3.4742977757770275,0.9814161750186928,1.7477589439562624,3.6457873555787743,2.465521522567125,0.7918893137429208
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,1,lm000_ls020_le080,0.15,0.26,0.5900000000000001,3.5779818984550866,3.8186342902184225,1.4023281522060147,1.3022079112090725,2.5374646458713825,2.7072449082604164,1.0025409278926627
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,2,lm000_ls040_le060,0.15,0.37,0.48,1.4807013625263155,3.7291235338640725,1.4549028831444364,1.2652569372198068,1.0546319029316178,2.640893744810405,1.0364310757277022
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,3,lm000_ls060_le040,0.15,0.48,0.37,0.4392729650516988,1.6984480366199368,0.6413150837410825,0.5754127991580212,0.31407563097209257,1.2024236439634843,0.4566163457074527
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,4,lm000_ls080_le020,0.15,0.5900000000000001,0.26,0.005203045954725348,1.8009284197043463,0.36128545848831106,0.6075341963152733,0.273419005094624,1.2738061254876374,0.2753774583635587
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.0,2.073610743140632,1.5675283287794204,0.7033407112866108,0.3165033200789749,1.468394087893596,1.111352944561761
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,6,lm020_ls000_le080,0.26,0.15,0.5900000000000001,3.8815108796214273,4.8151797422105584,1.291421608335892,1.6383536215040788,2.7533880939181685,3.4120914764748007,0.9260801130262235
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,7,lm020_ls020_le060,0.26,0.26,0.48,1.5872683040738909,4.7543483518160805,1.4207905568532921,1.6106574746478377,1.1314613993432447,3.3658363730253598,1.0140113486791125
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,8,lm020_ls040_le040,0.26,0.37,0.37,0.42311055625647453,2.1569659912156656,0.704672563526446,0.7299378274418838,0.3307991304082583,1.5266666304691499,0.5020736172344055
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,9,lm020_ls060_le020,0.26,0.48,0.26,0.0,1.857583358396677,0.47415505008746056,0.6269669141605061,0.28213511137222774,1.3140226669615818,0.3380139954494296
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,10,lm020_ls080_le000,0.26,0.5900000000000001,0.15,0.0,2.055610284669885,1.9142692702547208,0.6984363600730438,0.31429636203286965,1.4561878751669908,1.3564717894970924
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,11,lm040_ls000_le060,0.37,0.15,0.48,1.802747437654701,6.4427626591166955,1.3258451526289297,2.1794920705368996,1.2861953501394918,4.559726088880929,0.9880635800810639
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,12,lm040_ls020_le040,0.37,0.26,0.37,0.4577520554363984,3.0667730766201524,0.6900846524444644,1.0363063914883874,0.46885551247467455,2.1699303202322686,0.49317663697632114
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,13,lm040_ls040_le020,0.37,0.37,0.26,0.0,1.8447722599322374,0.5845611593114202,0.6230218647082246,0.2803598391187011,1.3051308295110589,0.41605189802307235
