representation,held_context,context_dim,model_input_dim,train_samples,ensemble_size,final_standardized_mse_mean,train_mae_J_motion,train_mae_J_stability,train_mae_J_energy,held_mae_J_motion,held_mae_J_stability,held_mae_J_energy,rho_J_motion,rho_J_stability,rho_J_energy,rho_Q,oracle_beta,selected_beta,baseline_beta,true_rank,exact,top3,top5,Q_excess,baseline_Q_excess,beats_baseline
semantic_only,rough_seed_29,74,77,672,3,0.0034641260281205177,0.0047981287292941256,0.0011896252685942691,0.3709172816620257,0.18698971227330444,0.15887264080631247,20.065297560859204,0.9662337662337662,-0.803896103896104,-0.7038961038961039,-0.5545454545454546,lm060_ls040_le000,lm040_ls000_le060,lm080_ls020_le000,12,0,0,0,0.6211206867656048,0.01807345113361848,0
semantic_only,rough_seed_18,74,77,672,3,0.003758134786039591,0.0045320573084636495,0.0012118347482742496,0.38246379530724284,0.23861299493802587,0.17849261081566667,14.5983447506465,0.9181818181818181,0.34415584415584416,0.7038961038961039,0.7935064935064934,lm000_ls100_le000,lm060_ls020_le020,lm080_ls020_le000,3,0,1,1,0.09354384113062197,1.6530904404215563,1
semantic_only,rough_seed_10,74,77,672,3,0.003579993654663364,0.004797661911784946,0.0011395368916424366,0.3860783487052767,0.03250415106631871,0.07498329447820097,6.534954905410949,0.9922077922077923,0.9480519480519479,0.04935064935064935,0.08311688311688312,lm060_ls020_le020,lm000_ls040_le060,lm080_ls020_le000,14,0,0,0,0.22699941188818906,0.04660870274838702,0
semantic_only,rough_seed_8,74,77,672,3,0.0034052986496438584,0.004612782583628778,0.0011896206404200225,0.3821425160149208,0.010944096035425403,0.03849732192415893,2.493111609152263,0.8493506493506494,-0.04285714285714286,-0.8077922077922077,-0.35454545454545455,lm080_ls020_le000,lm020_ls040_le040,lm080_ls020_le000,14,0,0,0,0.9489001962057242,0.0,0
semantic_only,rough_seed_22,74,77,672,3,0.0036925962970902524,0.005029957677645086,0.0012373630108649812,0.39041284129189663,0.15090782804603947,0.01191630642243591,8.544479691194088,0.9909090909090909,-0.01038961038961039,0.1961038961038961,-0.08181818181818182,lm040_ls040_le020,lm000_ls060_le040,lm080_ls020_le000,10,0,0,0,0.1894274549107057,0.14102356059836776,0
semantic_only,rough_seed_20,74,77,672,3,0.0033142848405987024,0.004563902559181503,0.0012446551075559673,0.36838574031414223,0.09389536015870396,0.05547702782373782,3.1585372759082317,0.9545454545454546,0.7298701298701298,-0.287012987012987,0.11818181818181818,lm000_ls060_le040,lm000_ls100_le000,lm080_ls020_le000,19,0,0,0,0.27582706210966956,0.14667944598463062,0
semantic_only,rough_seed_28,74,77,672,3,0.0035029164670656123,0.004774998115945165,0.0012190407615998836,0.3804512267705037,0.13466299231199236,0.04348504926349896,13.905207851255481,0.9805194805194805,-0.8090909090909091,0.6597402597402597,0.16623376623376623,lm000_ls100_le000,lm040_ls020_le040,lm080_ls020_le000,13,0,0,0,1.1933267808274428,0.2066409730589126,0
semantic_only,rough_seed_17,74,77,672,3,0.0035399728609869876,0.0048446651920428215,0.0012156826264688152,0.38486064844152307,0.0637393392857816,0.07544291063450131,14.319826739438488,0.9870129870129869,-0.17272727272727273,0.6194805194805195,0.07402597402597402,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,1,1,1,1,0.0,0.19233300719603325,1
semantic_plus_probe,rough_seed_13,81,84,672,3,0.0036746381471554437,0.004652934594638565,0.0011222994721120203,0.3670558724658732,0.25481399773857805,0.2620830982619274,14.184101606499068,0.9675324675324675,0.37272727272727274,0.18961038961038962,0.44155844155844154,lm080_ls020_le000,lm060_ls040_le000,lm080_ls020_le000,3,0,1,1,0.005441381035202031,0.0,0
semantic_plus_probe,rough_seed_7,81,84,672,3,0.003167036765565475,0.004370882905178627,0.0011959383284047605,0.3700229459482488,0.1428802883224558,0.03782375748435413,3.2733701483522983,0.7064935064935066,-0.287012987012987,0.864935064935065,0.2545454545454545,lm000_ls060_le040,lm000_ls060_le040,lm080_ls020_le000,1,1,1,1,0.0,0.11426225020779207,1
