objective,group,seed,candidate_beta,reference_beta,target_metric,target_reference,target_candidate,delta_target_cost,target_improved,decision_time_s__reference,decision_time_s__candidate,decision_time_s__delta_raw,decision_time_s__delta_cost_oriented,decision_time_s__improved,applied_vx_mps__reference,applied_vx_mps__candidate,applied_vx_mps__delta_raw,applied_vx_mps__delta_cost_oriented,applied_vx_mps__improved,reward_posture_component__reference,reward_posture_component__candidate,reward_posture_component__delta_raw,reward_posture_component__delta_cost_oriented,reward_posture_component__improved,reward_traction_component__reference,reward_traction_component__candidate,reward_traction_component__delta_raw,reward_traction_component__delta_cost_oriented,reward_traction_component__improved,energy_abs_j__reference,energy_abs_j__candidate,energy_abs_j__delta_raw,energy_abs_j__delta_cost_oriented,energy_abs_j__improved
stability,low_friction,27202,stability,balanced,mean_cost_stability,0.729664496323737,0.724218237779293,-0.005446258544444027,1,,,,,,,,,,,0.010881810994086328,0.010751041739652177,-0.00013076925443415016,-0.00013076925443415016,1,0.7246374037536754,0.719243514368447,-0.005393889385228334,-0.005393889385228334,1,,,,,
stability,rough_perlin,7,stability,balanced,mean_cost_stability,0.11744442033014309,0.11655184498473281,-0.0008925753454102764,1,,,,,,,,,,,0.10617558904453028,0.10435467029489576,-0.0018209187496345258,-0.0018209187496345258,1,0.019446668762442422,0.018916375092137422,-0.0005302936703050001,-0.0005302936703050001,1,,,,,
stability,rough_perlin,13,stability,balanced,mean_cost_stability,0.24658492002516424,0.23989768284847504,-0.006687237176689204,1,,,,,,,,,,,0.23899274819784558,0.2312964056428552,-0.007696342554990382,-0.007696342554990382,1,0.034421432716814096,0.03534995908995604,0.0009285263731419469,0.0009285263731419469,0,,,,,
stability,rough_perlin,15,stability,balanced,mean_cost_stability,0.21364739689398607,0.21167917921738713,-0.001968217676598938,1,,,,,,,,,,,0.19905475883840337,0.19698722680748615,-0.002067532030917224,-0.002067532030917224,1,0.024568681503173092,0.026173850817831756,0.0016051693146586637,0.0016051693146586637,0,,,,,
energy,flat,27100,energy,balanced,mean_cost_energy,0.5133582389660732,0.5089249401919073,-0.0044332987741659835,1,,,,,,,,,,,,,,,,,,,,,170.47358734301676,169.00139835600916,-1.4721889870075984,-1.4721889870075984,1
energy,flat,27101,energy,balanced,mean_cost_energy,0.5133582389660732,0.5089249401919073,-0.0044332987741659835,1,,,,,,,,,,,,,,,,,,,,,170.47358734301676,169.00139835600916,-1.4721889870075984,-1.4721889870075984,1
energy,flat,27102,energy,balanced,mean_cost_energy,0.5133582389660732,0.5089249401919073,-0.0044332987741659835,1,,,,,,,,,,,,,,,,,,,,,170.47358734301676,169.00139835600916,-1.4721889870075984,-1.4721889870075984,1
energy,low_friction,27200,energy,balanced,mean_cost_energy,0.5549508180488122,0.551314499462821,-0.0036363185859912273,1,,,,,,,,,,,,,,,,,,,,,184.28545520621321,187.89576374428847,3.610308538075259,3.610308538075259,0
energy,low_friction,27201,energy,balanced,mean_cost_energy,0.5549508180488122,0.551314499462821,-0.0036363185859912273,1,,,,,,,,,,,,,,,,,,,,,184.28545520621321,187.89576374428847,3.610308538075259,3.610308538075259,0
energy,low_friction,27202,energy,balanced,mean_cost_energy,0.5549508180488122,0.551314499462821,-0.0036363185859912273,1,,,,,,,,,,,,,,,,,,,,,184.28545520621321,187.89576374428847,3.610308538075259,3.610308538075259,0
energy,rough_perlin,7,energy,balanced,mean_cost_energy,0.6747111682778468,0.6544957418963921,-0.020215426381454682,1,,,,,,,,,,,,,,,,,,,,,224.05490853400696,223.0613876668058,-0.9935208672011413,-0.9935208672011413,1
energy,rough_perlin,13,energy,balanced,mean_cost_energy,0.7545128185798136,0.7390028346088375,-0.015509983970976027,1,,,,,,,,,,,,,,,,,,,,,243.96151055767638,245.40458243381272,1.4430718761363437,1.4430718761363437,0
energy,rough_perlin,15,energy,balanced,mean_cost_energy,0.7858243267417511,0.7828572693516058,-0.0029670573901452446,1,,,,,,,,,,,,,,,,,,,,,254.08566304510992,259.9675566768228,5.881893631712899,5.881893631712899,0
