context_name,terrain,seed,friction_mu,height_std_m,height_relief_p95_p05_m,slope_rms,slope_q95,start_x_m,start_y_m,start_yaw_rad,goal_x_m,goal_y_m,corridor_cells,hfield_rows,hfield_cols,hfield_dx_m,hfield_dy_m,hfield_elevation_scale_m,geometry_sha256,slope_longitudinal_rms,slope_lateral_rms,height_front_minus_rear_mean_m,height_left_minus_right_mean_m,height_front_minus_rear_std_m,height_mid_minus_ends_std_m,rear_third_cells,middle_third_cells,front_third_cells,left_half_cells,right_half_cells
rough_perlin_seed_12,rough_perlin,12,0.8,0.026123337145604907,0.08341258668899532,0.0913345092246674,0.14660657941556096,4.258293579026191,-3.840539322351291,2.407732592594281,3.88699622917549,-3.5056687831964615,38,128,128,0.22047244094488191,0.22047244094488191,0.56,3e2efa1df3b5c55aa85f449cc7b1d5aa3852cf8d8c3f3e26e58f89c374332f6e,0.052538143969812136,0.07471101661413897,-0.020139863674457248,0.032326894180447374,0.010931083553780627,-0.011040611174835381,14,11,13,17,21
rough_perlin_seed_6,rough_perlin,6,0.8,0.024318955251665265,0.08186260461807249,0.07999057183688178,0.12816551007246907,-4.6845517935721155,-0.9169854323029576,0.19329901473468325,-4.193863871494966,-0.8209366783932387,38,128,128,0.22047244094488191,0.22047244094488191,0.56,21caeeea276ec4ffff229f8f058c5b5f3a95814ef3105198d9ad648b9d27a0be,0.05532132905156225,0.05777579194403241,0.04209042108975919,-0.002161147409015185,-0.0021130179621035618,-0.0016336339273153033,13,12,13,18,20
rough_perlin_seed_29,rough_perlin,29,0.8,0.039327672044314206,0.12587610363960255,0.14127126239177348,0.2157699311377689,0.3420706100771304,-3.6416574552642857,1.6644502147260145,0.2953120896808141,-3.1438486156778964,35,128,128,0.22047244094488191,0.22047244094488191,0.56,3c981ae0e1c05f1071437ca23aabf4e31462614c99deb6fc2c80f5fbf040e789,0.08233135295406681,0.11480033927875906,0.016038613384420253,-0.03645554709278681,0.027114450162163697,0.00522382811508524,11,14,10,17,18
rough_perlin_seed_18,rough_perlin,18,0.8,0.040881540089481694,0.12686725449562064,0.13215684892031676,0.222976404496537,6.777763384273261,-10.067798841459567,2.1633158527082585,6.498536968583625,-9.653030702879565,37,128,128,0.22047244094488191,0.22047244094488191,0.56,eb7ada2fae3783df2a2a6f0fa9d805f798b7ba21d08b1089acd5054d1c0e0a1a,0.09913197880428151,0.08739727395574137,0.07516223986943565,-0.013389223737326261,0.009649324688072163,-0.00408665732389463,12,13,12,18,19
rough_perlin_seed_10,rough_perlin,10,0.8,0.05846809056280435,0.17162962913513188,0.14080927136506144,0.24579271241230943,1.3029370793604282,1.478086536875818,-2.293296001911904,0.9723061393364973,1.1030089695662124,39,128,128,0.22047244094488191,0.22047244094488191,0.56,0bdffad0444fb59699e1c1c059c6276c1b7e48978778032eb94a333fd89ab9c3,0.1162330499221165,0.07948036869669312,-0.12123456541697197,0.03189300457636518,0.009240126930224215,0.004163911185685924,14,10,15,18,21
rough_perlin_seed_8,rough_perlin,8,0.8,0.03185586939267924,0.10211763763427734,0.13904054667983431,0.22890852594913713,9.610879852530699,6.165153267557349,-2.5712320210673125,9.190026696754458,5.895185452303051,37,128,128,0.22047244094488191,0.22047244094488191,0.56,a7e68d69d3351ec494dc4c16c02e6130a1cd6e0aceb5fd7e1db6bb054ed20c4c,0.10230208210351491,0.09416240023657468,0.02379084547360749,0.0115261981919495,-0.00013886089583269035,-0.0047559570455062705,12,13,12,18,19
rough_perlin_seed_22,rough_perlin,22,0.8,0.03229416988136743,0.10150000333786008,0.12706122492412386,0.18276942504797955,1.6227625175229674,-1.8880883486815,2.2807618151223052,1.296858718374674,-1.5088961629752162,36,128,128,0.22047244094488191,0.22047244094488191,0.56,bae8423a4d8fc31ee5de2f4f92a88a79b1ca92a5b357878d21b7017eff3b1727,0.09388668550412799,0.08561451491580013,-0.007176769429987184,0.027481475671132405,-0.0116777901152374,-0.0181441259265585,12,13,11,18,18
rough_perlin_seed_20,rough_perlin,20,0.8,0.033410253635635344,0.11250001311302188,0.12017198228655322,0.20563640721785,-6.053643520484392,0.1706648289056799,-0.028185396727102047,-5.553842111484037,0.15657399638024122,35,128,128,0.22047244094488191,0.22047244094488191,0.56,6528ac7db66d786169a4e693f0dc93a32bebec1bb0634c87c91592da9998df72,0.0858594180415084,0.08408011453520485,-0.05363636901161889,0.02690476099650066,-0.005263763891810099,-0.0075285832675638445,11,14,10,14,21
rough_perlin_seed_28,rough_perlin,28,0.8,0.04496555643989241,0.13832479476928705,0.1352546070971019,0.22898015455671245,-7.411897870505735,-11.131215863896657,0.9833491645315174,-7.134778892706571,-10.715036729215992,38,128,128,0.22047244094488191,0.22047244094488191,0.56,e912305e7fc9cf71e3f002087c12b23da97f9ac8e4ef9792f18c88a934718ea2,0.08171928032280702,0.1077764722215099,-0.07289940907404971,0.05214574939326236,0.004699732514810276,-0.0009083401372800282,13,12,13,19,19
rough_perlin_seed_17,rough_perlin,17,0.8,0.04138910317258634,0.12599998581409458,0.12457512674316608,0.19298766090581543,1.8259499244394541,7.976552319381399,-1.795831405560206,1.7143796461553658,7.489159179294661,38,128,128,0.22047244094488191,0.22047244094488191,0.56,51adb88aa1a8e056ebed8341bb3b803c71ab9f09013de2740939495b0ac985f1,0.09138330255483387,0.08466436214398347,-0.08238755340759574,-0.029122037344508717,0.007528097440960346,0.0028028331607020743,13,13,12,20,18
