group,terrain,seed,objective,metric,fixed,balanced,objective_beta,balanced_minus_fixed,objective_minus_balanced,objective_minus_fixed,q1_balanced_beats_fixed,q2_objective_beats_balanced,q3_objective_beats_fixed
rough_validation,rough_perlin,1,motion,mean_cost_motion,0.22520069537352083,0.22595396943769694,0.22504615537798828,0.0007532740641761071,-0.0009078140597086615,-0.00015453999553255438,False,True,True
rough_validation,rough_perlin,1,stability,mean_cost_stability,0.11448408642445176,0.12260530439746177,0.11596084856538563,0.008121217973010006,-0.006644455832076138,0.0014767621409338683,False,True,False
rough_validation,rough_perlin,1,energy,mean_cost_energy,0.6383098552366097,0.6395854021435872,0.6328293164269772,0.0012755469069775094,-0.006756085716610016,-0.005480538809632507,False,True,True
rough_validation,rough_perlin,14,motion,mean_cost_motion,0.22549067689593555,0.22470450563084846,0.22250687427534607,-0.0007861712650870933,-0.002197631355502383,-0.0029838026205894763,True,True,True
rough_validation,rough_perlin,14,stability,mean_cost_stability,0.08263716328171335,0.09674501596824807,0.08953206102949698,0.014107852686534722,-0.007212954938751084,0.006894897747783638,False,True,False
rough_validation,rough_perlin,14,energy,mean_cost_energy,0.6490168082918278,0.654236988205888,0.6305365999314637,0.005220179914060208,-0.023700388274424333,-0.018480208360364125,False,True,True
rough_validation,rough_perlin,16,motion,mean_cost_motion,0.22204745405992946,0.2239351135038834,0.22127430851378033,0.001887659443953943,-0.0026608049901030717,-0.0007731455461491288,False,True,True
rough_validation,rough_perlin,16,stability,mean_cost_stability,0.06395596195368243,0.06257672376973444,0.06301927495008497,-0.0013792381839479867,0.00044255118035052554,-0.0009366870035974612,True,False,True
rough_validation,rough_perlin,16,energy,mean_cost_energy,0.6433542279635542,0.6455498911386686,0.6326952905612725,0.0021956631751143263,-0.01285460057739607,-0.010658937402281743,False,True,True
rough_validation,rough_perlin,21,motion,mean_cost_motion,0.23765776244679312,0.24159523384071244,0.23962110934685024,0.003937471393919312,-0.001974124493862195,0.001963346900057117,False,True,False
rough_validation,rough_perlin,21,stability,mean_cost_stability,0.08164348563815325,0.07741018672866297,0.07525262902075319,-0.004233298909490285,-0.002157557707909777,-0.006390856617400062,True,True,True
rough_validation,rough_perlin,21,energy,mean_cost_energy,0.6013486294042212,0.5973830117841178,0.5893987761171828,-0.00396561762010339,-0.007984235666934958,-0.011949853287038348,True,True,True
