objective,terrain_label,seed,candidate,reference,target_metric,delta_target_cost,seconds_per_meter__reference,seconds_per_meter__candidate,seconds_per_meter__delta_cost_oriented,episode_progress_rate_mps__reference,episode_progress_rate_mps__candidate,episode_progress_rate_mps__delta_cost_oriented,progress_m__reference,progress_m__candidate,progress_m__delta_cost_oriented,pitch_rms_rad__reference,pitch_rms_rad__candidate,pitch_rms_rad__delta_cost_oriented,roll_rms_rad__reference,roll_rms_rad__candidate,roll_rms_rad__delta_cost_oriented,attitude_rms_norm__reference,attitude_rms_norm__candidate,attitude_rms_norm__delta_cost_oriented,max_abs_pitch_rad__reference,max_abs_pitch_rad__candidate,max_abs_pitch_rad__delta_cost_oriented,max_abs_roll_rad__reference,max_abs_roll_rad__candidate,max_abs_roll_rad__delta_cost_oriented,attitude_peak_max__reference,attitude_peak_max__candidate,attitude_peak_max__delta_cost_oriented,slip_all_contact_mean_mps__reference,slip_all_contact_mean_mps__candidate,slip_all_contact_mean_mps__delta_cost_oriented,slip_all_contact_rms_mps__reference,slip_all_contact_rms_mps__candidate,slip_all_contact_rms_mps__delta_cost_oriented,established_slip_fraction_ge_0p002__reference,established_slip_fraction_ge_0p002__candidate,established_slip_fraction_ge_0p002__delta_cost_oriented,established_slip_fraction_ge_0p01__reference,established_slip_fraction_ge_0p01__candidate,established_slip_fraction_ge_0p01__delta_cost_oriented,established_slip_fraction_ge_0p02__reference,established_slip_fraction_ge_0p02__candidate,established_slip_fraction_ge_0p02__delta_cost_oriented,established_slip_fraction_ge_0p05__reference,established_slip_fraction_ge_0p05__candidate,established_slip_fraction_ge_0p05__delta_cost_oriented,established_slip_fraction_ge_0p1__reference,established_slip_fraction_ge_0p1__candidate,established_slip_fraction_ge_0p1__delta_cost_oriented,energy_abs_j__reference,energy_abs_j__candidate,energy_abs_j__delta_cost_oriented,energy_j_per_meter__reference,energy_j_per_meter__candidate,energy_j_per_meter__delta_cost_oriented,mean_abs_mechanical_power_w__reference,mean_abs_mechanical_power_w__candidate,mean_abs_mechanical_power_w__delta_cost_oriented
stability,flat,27101,stability,balanced,mean_cost_stability,3.2549091424726936e-05,,,,,,,,,,0.02823077532443962,0.028270259195387372,3.94838709477513e-05,0.003175651069185063,0.003193178019850939,1.752695066587623e-05,0.02840882671164378,0.028450025322323415,4.119861067963457e-05,0.0443358515329888,0.044503826349143516,0.00016797481615471455,0.005850882674493513,0.005928644080598042,7.776140610452932e-05,0.0443358515329888,0.044503826349143516,0.00016797481615471455,0.010536966534553131,0.010519810288153401,-1.7156246399729555e-05,0.05308526033443474,0.052992479520397956,-9.278081403678307e-05,0.03959160521838593,0.03945578231293331,-0.00013582290545261638,0.019058423142374874,0.01904761904762297,-1.0804094751903914e-05,0.012592172433354925,0.012698412698415405,0.00010624026506047927,0.003403289846852771,0.003401360544218502,-1.9293026342691137e-06,0.0002268859897902183,0.00022675736961460036,-1.2862017561795537e-07,,,,,,,,,
stability,flat,27102,stability,balanced,mean_cost_stability,3.2549091424726936e-05,,,,,,,,,,0.02823077532443962,0.028270259195387372,3.94838709477513e-05,0.003175651069185063,0.003193178019850939,1.752695066587623e-05,0.02840882671164378,0.028450025322323415,4.119861067963457e-05,0.0443358515329888,0.044503826349143516,0.00016797481615471455,0.005850882674493513,0.005928644080598042,7.776140610452932e-05,0.0443358515329888,0.044503826349143516,0.00016797481615471455,0.010536966534553131,0.010519810288153401,-1.7156246399729555e-05,0.05308526033443474,0.052992479520397956,-9.278081403678307e-05,0.03959160521838593,0.03945578231293331,-0.00013582290545261638,0.019058423142374874,0.01904761904762297,-1.0804094751903914e-05,0.012592172433354925,0.012698412698415405,0.00010624026506047927,0.003403289846852771,0.003401360544218502,-1.9293026342691137e-06,0.0002268859897902183,0.00022675736961460036,-1.2862017561795537e-07,,,,,,,,,
stability,low_friction,27200,stability,balanced,mean_cost_stability,-0.005446258544444027,,,,,,,,,,0.02730984377867573,0.02714525343074203,-0.0001645903479336984,0.002771509294755597,0.002925439050601024,0.00015392975584542718,0.027450115318274897,0.027302435375951232,-0.0001476799423236648,0.0450700771751511,0.0446141480147193,-0.00045592916043180054,0.009319311355455166,0.009952362999014553,0.0006330516435593871,0.0450700771751511,0.0446141480147193,-0.00045592916043180054,0.04992786636597516,0.050249701360805504,0.0003218349948303431,0.1636271415607485,0.16363271128450876,5.569723760256995e-06,0.2501752745969164,0.2499707978040426,-0.00020447679287380338,0.158565085300335,0.15687419693964064,-0.0016908883606943648,0.12491236270159109,0.1248685901180021,-4.377258358899405e-05,0.0849497546155821,0.08562083868708707,0.000671084071504971,0.04919373685441594,0.0505782034809126,0.001384466626496654,,,,,,,,,
stability,low_friction,27201,stability,balanced,mean_cost_stability,-0.005446258544444027,,,,,,,,,,0.02730984377867573,0.02714525343074203,-0.0001645903479336984,0.002771509294755597,0.002925439050601024,0.00015392975584542718,0.027450115318274897,0.027302435375951232,-0.0001476799423236648,0.0450700771751511,0.0446141480147193,-0.00045592916043180054,0.009319311355455166,0.009952362999014553,0.0006330516435593871,0.0450700771751511,0.0446141480147193,-0.00045592916043180054,0.04992786636597516,0.050249701360805504,0.0003218349948303431,0.1636271415607485,0.16363271128450876,5.569723760256995e-06,0.2501752745969164,0.2499707978040426,-0.00020447679287380338,0.158565085300335,0.15687419693964064,-0.0016908883606943648,0.12491236270159109,0.1248685901180021,-4.377258358899405e-05,0.0849497546155821,0.08562083868708707,0.000671084071504971,0.04919373685441594,0.0505782034809126,0.001384466626496654,,,,,,,,,
stability,low_friction,27202,stability,balanced,mean_cost_stability,-0.005446258544444027,,,,,,,,,,0.02730984377867573,0.02714525343074203,-0.0001645903479336984,0.002771509294755597,0.002925439050601024,0.00015392975584542718,0.027450115318274897,0.027302435375951232,-0.0001476799423236648,0.0450700771751511,0.0446141480147193,-0.00045592916043180054,0.009319311355455166,0.009952362999014553,0.0006330516435593871,0.0450700771751511,0.0446141480147193,-0.00045592916043180054,0.04992786636597516,0.050249701360805504,0.0003218349948303431,0.1636271415607485,0.16363271128450876,5.569723760256995e-06,0.2501752745969164,0.2499707978040426,-0.00020447679287380338,0.158565085300335,0.15687419693964064,-0.0016908883606943648,0.12491236270159109,0.1248685901180021,-4.377258358899405e-05,0.0849497546155821,0.08562083868708707,0.000671084071504971,0.04919373685441594,0.0505782034809126,0.001384466626496654,,,,,,,,,
stability,rough,7,stability,balanced,mean_cost_stability,-0.0008925753454102764,,,,,,,,,,0.0853062726022695,0.08457160481971984,-0.0007346677825496584,0.006236973689201847,0.006137474581775928,-9.949910742591914e-05,0.0855339697786354,0.08479401474175406,-0.0007399550368813318,0.17450859309329703,0.1762587621932572,0.0017501690999601749,0.021723286486475462,0.019589665923348556,-0.0021336205631269055,0.17450859309329703,0.1762587621932572,0.0017501690999601749,0.01987493584384057,0.01909410629830801,-0.0007808295455325603,0.0952561800517198,0.09353019458079681,-0.0017259854709229944,0.08251231527095602,0.08106480366178742,-0.001447511609168603,0.03448275862069761,0.03396771862202673,-0.000515039998670877,0.021428571428576692,0.018549747048908258,-0.002878824379668434,0.005541871921183842,0.006624909660324569,0.0010830377391407272,0.0001231527093596239,0.0010840761262351278,0.000960923416875504,,,,,,,,,
stability,rough,13,stability,balanced,mean_cost_stability,-0.006687237176689204,,,,,,,,,,0.12798556449204146,0.12590535986155096,-0.0020802046304904953,0.007729634891569662,0.008457390010675974,0.0007277551191063126,0.12821876607542076,0.1261890925859257,-0.002029673489495065,0.19091963514420462,0.1913659919825914,0.0004463568383867855,0.016174974377194545,0.019210056911202297,0.0030350825340077527,0.19091963514420462,0.1913659919825914,0.0004463568383867855,0.023005259075340047,0.02215353630260753,-0.0008517227727325161,0.1109245125614251,0.1060643709880128,-0.004860141573412302,0.115495922125779,0.10876478819490658,-0.006731133930872421,0.04775059194949649,0.04337870499937213,-0.00437188695012436,0.02670349907919514,0.027604630454146076,0.0009011313749509378,0.007761115495923774,0.00954077089429028,0.0017796553983665054,0.001841620626151332,0.0016537336216769054,-0.00018788700447442655,,,,,,,,,
stability,rough,15,stability,balanced,mean_cost_stability,-0.001968217676598938,,,,,,,,,,0.1168020465551531,0.11619505872124254,-0.000606987833910555,0.010798483748207096,0.010250207687765371,-0.0005482760604417249,0.11730015059978587,0.11664629625013957,-0.0006538543496462934,0.1992052579246728,0.19823765789211323,-0.000967600032559579,0.03066822755406528,0.028245399814667727,-0.0024228277393975525,0.1992052579246728,0.19823765789211323,-0.000967600032559579,0.019650831895398797,0.020733568660432116,0.0010827367650333188,0.09526244914337614,0.09981947978181802,0.004557030638441872,0.10825456836801156,0.10755624918717112,-0.0006983191808404426,0.03805923125394581,0.03836649759397274,0.0003072663400269307,0.025582860743546206,0.023019898556383464,-0.002562962187162742,0.011594202898553044,0.012485368708546924,0.0008911658099938803,0.00239445494644027,0.0031213421771367853,0.0007268872306965151,,,,,,,,,
energy,flat,27100,energy,balanced,mean_cost_energy,-0.0044332987741659835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.47358734301676,169.00139835600916,-1.4721889870075984,100.87462692950571,101.3186798071945,0.4440528776887902,22.430735176712734,22.237026099474893,-0.19370907723784114
energy,flat,27101,energy,balanced,mean_cost_energy,-0.0044332987741659835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.47358734301676,169.00139835600916,-1.4721889870075984,100.87462692950571,101.3186798071945,0.4440528776887902,22.430735176712734,22.237026099474893,-0.19370907723784114
