beta_name,terrain_label,terrain,seed,episode_index,raw_path,raw_step_rows,settling_steps,policy_steps,decision_time_s,progress_m,progress_integrated_m,progress_reconstruction_error_m,episode_progress_rate_mps,seconds_per_meter,energy_abs_j,energy_j_per_meter,mean_abs_mechanical_power_w,roll_rms_rad,pitch_rms_rad,attitude_rms_norm,max_abs_roll_rad,max_abs_pitch_rad,attitude_peak_max,slip_all_contact_mean_mps,slip_all_contact_rms_mps,policy_contact_time_s,policy_established_contact_time_s,mean_cost_motion,mean_cost_posture,mean_cost_traction,mean_cost_stability,mean_cost_energy,established_slip_fraction_ge_0p002,established_slip_fraction_ge_0p01,established_slip_fraction_ge_0p02,established_slip_fraction_ge_0p05,established_slip_fraction_ge_0p1
motion,flat,flat,27101,1,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/flat/episode_0001.jsonl,43,5,38,7.6,1.7013071379891918,1.7013071379891918,0.0,0.22385620236699894,4.467153420035954,171.0662440332289,100.54988909022944,22.5087163201617,0.0031941105693340842,0.028181990490340196,0.02836242109423589,0.005907732984521106,0.04440185660242956,0.04440185660242956,0.010501259302317796,0.052913953915221565,19.32799999999425,17.63799999999514,0.22017974704125134,0.011587935648062514,3.86879622369049e-06,0.011587935648062514,0.5151429447351058,0.03934686472389971,0.019049778886498985,0.012699852590999415,0.003515137770723137,0.000226783081982172
motion,flat,flat,27102,2,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/flat/episode_0002.jsonl,43,5,38,7.6,1.7013071379891918,1.7013071379891918,0.0,0.22385620236699894,4.467153420035954,171.0662440332289,100.54988909022944,22.5087163201617,0.0031941105693340842,0.028181990490340196,0.02836242109423589,0.005907732984521106,0.04440185660242956,0.04440185660242956,0.010501259302317796,0.052913953915221565,19.32799999999425,17.63799999999514,0.22017974704125134,0.011587935648062514,3.86879622369049e-06,0.011587935648062514,0.5151429447351058,0.03934686472389971,0.019049778886498985,0.012699852590999415,0.003515137770723137,0.000226783081982172
motion,low_friction,low_friction,27200,0,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/low_friction/episode_0000.jsonl,43,5,38,7.6,1.6742948798906299,1.6742948798906299,0.0,0.22030195788034604,4.539224297512309,185.14915166500603,110.58335893441934,24.361730482237636,0.0028409590221638455,0.02712612316831215,0.027274486361947414,0.009683075869299992,0.04481105030780741,0.04481105030780741,0.05013670808714979,0.16364634004797105,19.127999999994394,17.11399999999562,0.22462255264956746,0.010735893767010188,0.7224748275575603,0.7274257311402266,0.5575517235614941,0.25137314479378425,0.1579992988197108,0.125511277316842,0.08531027229170884,0.05036811966811883
motion,low_friction,low_friction,27201,1,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/low_friction/episode_0001.jsonl,43,5,38,7.6,1.6742948798906299,1.6742948798906299,0.0,0.22030195788034604,4.539224297512309,185.14915166500603,110.58335893441934,24.361730482237636,0.0028409590221638455,0.02712612316831215,0.027274486361947414,0.009683075869299992,0.04481105030780741,0.04481105030780741,0.05013670808714979,0.16364634004797105,19.127999999994394,17.11399999999562,0.22462255264956746,0.010735893767010188,0.7224748275575603,0.7274257311402266,0.5575517235614941,0.25137314479378425,0.1579992988197108,0.125511277316842,0.08531027229170884,0.05036811966811883
motion,low_friction,low_friction,27202,2,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/low_friction/episode_0002.jsonl,43,5,38,7.6,1.6742948798906299,1.6742948798906299,0.0,0.22030195788034604,4.539224297512309,185.14915166500603,110.58335893441934,24.361730482237636,0.0028409590221638455,0.02712612316831215,0.027274486361947414,0.009683075869299992,0.04481105030780741,0.04481105030780741,0.05013670808714979,0.16364634004797105,19.127999999994394,17.11399999999562,0.22462255264956746,0.010735893767010188,0.7224748275575603,0.7274257311402266,0.5575517235614941,0.25137314479378425,0.1579992988197108,0.125511277316842,0.08531027229170884,0.05036811966811883
motion,rough,rough_perlin,13,0,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/rough/episode_0000.jsonl,42,5,37,7.4,1.6720258715629854,1.6720258715629854,0.0,0.22594944210310614,4.425768838781536,247.89785759817238,148.2619747782019,33.49971048623951,0.008121959065137489,0.12791446553201682,0.1281720590120846,0.01729239652561013,0.19180601305535716,0.19180601305535716,0.02232569266729245,0.10721694929614319,18.107999999994373,15.733999999995792,0.21756319737111735,0.23872728988378897,0.03817540501903174,0.24745721928404513,0.7666869697139154,0.10512266429390613,0.04169314859540667,0.02669378416169335,0.010296173890938742,0.0011440193212153968
motion,rough,rough_perlin,7,1,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/rough/episode_0001.jsonl,43,5,38,7.6,1.7051088503806648,1.7051088503806648,0.0,0.22435642768166644,4.457193450320372,226.32284245574934,132.73219619100732,29.779321375756492,0.006294509638746507,0.08473219957778991,0.08496567834651056,0.019093808791521123,0.17816436179211825,0.17816436179211825,0.01904837844642433,0.09289125459519504,18.689999999994626,16.57799999999569,0.21955446539791698,0.10475136904248246,0.018998694476405665,0.11607356618991317,0.6815407457056653,0.08203643382798423,0.0302810954276819,0.0182169139823903,0.0061527325370989636,0.0009651345156236346
motion,rough,rough_perlin,15,2,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/rough/episode_0002.jsonl,42,5,37,7.4,1.6588624348083991,1.6588624348083991,0.0,0.2241705992984323,4.460888283876722,252.94761017273981,152.48257171002587,34.18210948280267,0.010237305212421234,0.11541934424242756,0.11587246197161886,0.026925245176595412,0.1964401900998234,0.1964401900998234,0.020112713132591182,0.09821837646067305,18.247999999994175,15.51799999999568,0.21978675087695962,0.1943658454475595,0.019136287752809324,0.20206761765022996,0.7823046097238413,0.105039309189349,0.04021136744426587,0.025260987240628384,0.012243845856427042,0.0029642995231350232
stability,flat,flat,27100,0,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/flat/episode_0000.jsonl,43,5,38,7.6,1.694741097339714,1.694741097339714,0.0,0.22299224964996237,4.484460789869289,170.62558086005194,100.67943777836511,22.450734323691044,0.003193178019850939,0.028270259195387372,0.028450025322323415,0.005928644080598042,0.044503826349143516,0.044503826349143516,0.010519810288153401,0.052992479520397956,19.329999999994246,17.639999999995137,0.22125968793754708,0.011660638384210087,3.86358003694649e-06,0.011660638384210087,0.51381594696328,0.03945578231293331,0.01904761904762297,0.012698412698415405,0.003401360544218502,0.00022675736961460036
stability,flat,flat,27101,1,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/flat/episode_0001.jsonl,43,5,38,7.6,1.694741097339714,1.694741097339714,0.0,0.22299224964996237,4.484460789869289,170.62558086005194,100.67943777836511,22.450734323691044,0.003193178019850939,0.028270259195387372,0.028450025322323415,0.005928644080598042,0.044503826349143516,0.044503826349143516,0.010519810288153401,0.052992479520397956,19.329999999994246,17.639999999995137,0.22125968793754708,0.011660638384210087,3.86358003694649e-06,0.011660638384210087,0.51381594696328,0.03945578231293331,0.01904761904762297,0.012698412698415405,0.003401360544218502,0.00022675736961460036
stability,flat,flat,27102,2,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/flat/episode_0002.jsonl,43,5,38,7.6,1.694741097339714,1.694741097339714,0.0,0.22299224964996237,4.484460789869289,170.62558086005194,100.67943777836511,22.450734323691044,0.003193178019850939,0.028270259195387372,0.028450025322323415,0.005928644080598042,0.044503826349143516,0.044503826349143516,0.010519810288153401,0.052992479520397956,19.329999999994246,17.639999999995137,0.22125968793754708,0.011660638384210087,3.86358003694649e-06,0.011660638384210087,0.51381594696328,0.03945578231293331,0.01904761904762297,0.012698412698415405,0.003401360544218502,0.00022675736961460036
stability,low_friction,low_friction,27200,0,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/low_friction/episode_0000.jsonl,43,5,38,7.6,1.6691428622528075,1.6691428622528075,0.0,0.21962406082273783,4.553235179487535,184.7727288020379,110.69916960412483,24.312201158162882,0.002925439050601024,0.02714525343074203,0.027302435375951232,0.009952362999014553,0.0446141480147193,0.0446141480147193,0.050249701360805504,0.16363271128450876,19.133999999994387,17.121999999995616,0.2254699239715777,0.010751041739652177,0.719243514368447,0.724218237779293,0.5564181768282335,0.2499707978040426,0.15687419693964064,0.1248685901180021,0.08562083868708707,0.0505782034809126
stability,low_friction,low_friction,27201,1,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/low_friction/episode_0001.jsonl,43,5,38,7.6,1.6691428622528075,1.6691428622528075,0.0,0.21962406082273783,4.553235179487535,184.7727288020379,110.69916960412483,24.312201158162882,0.002925439050601024,0.02714525343074203,0.027302435375951232,0.009952362999014553,0.0446141480147193,0.0446141480147193,0.050249701360805504,0.16363271128450876,19.133999999994387,17.121999999995616,0.2254699239715777,0.010751041739652177,0.719243514368447,0.724218237779293,0.5564181768282335,0.2499707978040426,0.15687419693964064,0.1248685901180021,0.08562083868708707,0.0505782034809126
stability,low_friction,low_friction,27202,2,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/low_friction/episode_0002.jsonl,43,5,38,7.6,1.6691428622528075,1.6691428622528075,0.0,0.21962406082273783,4.553235179487535,184.7727288020379,110.69916960412483,24.312201158162882,0.002925439050601024,0.02714525343074203,0.027302435375951232,0.009952362999014553,0.0446141480147193,0.0446141480147193,0.050249701360805504,0.16363271128450876,19.133999999994387,17.121999999995616,0.2254699239715777,0.010751041739652177,0.719243514368447,0.724218237779293,0.5564181768282335,0.2499707978040426,0.15687419693964064,0.1248685901180021,0.08562083868708707,0.0505782034809126
stability,rough,rough_perlin,13,0,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/rough/episode_0000.jsonl,42,5,37,7.4,1.6632304927764445,1.6632304927764445,0.0,0.22476087740222223,4.449172879007959,245.66352497530187,147.70263414616318,33.19777364531106,0.008457390010675974,0.12590535986155096,0.1261890925859257,0.019210056911202297,0.1913659919825914,0.1913659919825914,0.02215353630260753,0.1060643709880128,18.105999999994378,15.721999999995798,0.21904890324722226,0.2312964056428552,0.03534995908995604,0.23989768284847504,0.7597767296474673,0.10876478819490658,0.04337870499937213,0.027604630454146076,0.00954077089429028,0.0016537336216769054
stability,rough,rough_perlin,7,1,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/rough/episode_0001.jsonl,43,5,38,7.6,1.6987601113743798,1.6987601113743798,0.0,0.2235210672861026,4.4738512219075055,224.97816662214726,132.4366902164479,29.602390345019376,0.006137474581775928,0.08457160481971984,0.08479401474175406,0.019589665923348556,0.1762587621932572,0.1762587621932572,0.01909410629830801,0.09353019458079681,18.687999999994602,16.60399999999565,0.2205986658923718,0.10435467029489576,0.018916375092137422,0.11655184498473281,0.6774914356120775,0.08106480366178742,0.03396771862202673,0.018549747048908258,0.006624909660324569,0.0010840761262351278
stability,rough,rough_perlin,15,2,results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/rough/episode_0002.jsonl,42,5,37,7.4,1.6608203081740847,1.6608203081740847,0.0,0.2244351767802817,4.455629524506238,254.72357086987597,153.37214364263195,34.42210417160486,0.010250207687765371,0.11619505872124254,0.11664629625013957,0.028245399814667727,0.19823765789211323,0.19823765789211323,0.020733568660432116,0.09981947978181802,18.23199999999419,15.377999999995765,0.2194560290246479,0.19698722680748615,0.026173850817831756,0.21167917921738713,0.787797218407154,0.10755624918717112,0.03836649759397274,0.023019898556383464,0.012485368708546924,0.0031213421771367853
