decision_index,pair_index,context_id,group,terrain,seed,mission,primary_metric,constraint_1,constraint_1_budget,constraint_2,constraint_2_budget,selected_beta_name,alternative_beta_name,delta_cost_motion,delta_cost_stability,delta_cost_energy,feasible_choice_count,decision_weight,pair_weight
40,0,flat_train:flat:27101,flat_train,flat,27101,fast,decision_time_s,cost_stability,0.011438929036660727,cost_energy,0.5369241383872321,balanced,energy,0.0035881818299848545,9.10161952885867e-05,-0.004318890149230925,2,0.3333333333333333,0.3333333333333333
41,0,flat_train:flat:27101,flat_train,flat,27101,fast,decision_time_s,cost_stability,0.011438929036660727,cost_energy,0.5394416710116232,balanced,motion,-0.004439191128277148,-0.00023668719049735505,0.002517532624391139,3,0.3333333333333333,0.16666666666666666
41,1,flat_train:flat:27101,flat_train,flat,27101,fast,decision_time_s,cost_stability,0.011438929036660727,cost_energy,0.5394416710116232,balanced,energy,0.0035881818299848545,9.10161952885867e-05,-0.004318890149230925,3,0.3333333333333333,0.16666666666666666
45,0,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,decision_time_s,6.9639999999999995,cost_energy,0.5394416710116232,motion,balanced,0.004439191128277148,0.00023668719049735505,-0.002517532624391139,2,0.3333333333333333,0.3333333333333333
47,0,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,decision_time_s,7.154000000000003,cost_energy,0.5369241383872321,balanced,energy,0.0035881818299848545,9.10161952885867e-05,-0.004318890149230925,2,0.3333333333333333,0.3333333333333333
48,0,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,decision_time_s,7.154000000000003,cost_energy,0.5394416710116232,motion,balanced,0.004439191128277148,0.00023668719049735505,-0.002517532624391139,3,0.3333333333333333,0.16666666666666666
48,1,flat_train:flat:27101,flat_train,flat,27101,stable,cost_stability,decision_time_s,7.154000000000003,cost_energy,0.5394416710116232,motion,energy,0.008027372958262002,0.00032770338578594176,-0.006836422773622064,3,0.3333333333333333,0.16666666666666666
52,0,flat_train:flat:27101,flat_train,flat,27101,efficient,cost_energy,decision_time_s,6.9639999999999995,cost_stability,0.01134791284137214,balanced,motion,-0.004439191128277148,-0.00023668719049735505,0.002517532624391139,2,0.25,0.25
53,0,flat_train:flat:27101,flat_train,flat,27101,efficient,cost_energy,decision_time_s,6.9639999999999995,cost_stability,0.011438929036660727,balanced,motion,-0.004439191128277148,-0.00023668719049735505,0.002517532624391139,2,0.25,0.25
55,0,flat_train:flat:27101,flat_train,flat,27101,efficient,cost_energy,decision_time_s,7.154000000000003,cost_stability,0.01134791284137214,balanced,motion,-0.004439191128277148,-0.00023668719049735505,0.002517532624391139,2,0.25,0.25
56,0,flat_train:flat:27101,flat_train,flat,27101,efficient,cost_energy,decision_time_s,7.154000000000003,cost_stability,0.011438929036660727,energy,balanced,-0.0035881818299848545,-9.10161952885867e-05,0.004318890149230925,3,0.25,0.125
56,1,flat_train:flat:27101,flat_train,flat,27101,efficient,cost_energy,decision_time_s,7.154000000000003,cost_stability,0.011438929036660727,energy,motion,-0.008027372958262002,-0.00032770338578594176,0.006836422773622064,3,0.25,0.125
