decision_index,context_id,group,terrain,seed,mission,primary_metric,constraint_1,constraint_1_budget,constraint_2,constraint_2_budget,selected_beta_name,selected_cost_motion,selected_cost_stability,selected_cost_energy,selected_primary_value,good_candidate_count,feasible_choice_count,comparison_count,informative,decision_weight
59,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011385505444421061,cost_energy,0.5449890221341465,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,6.9579999999999975,4,2,1,1,0.16666666666666666
60,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011459994923857209,cost_energy,0.5300421826284357,stability,0.20842490210642345,0.011459994923857209,0.5300421826284357,7.153999999999999,4,1,0,0,0.0
61,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011459994923857209,cost_energy,0.5336275714751569,stability,0.20842490210642345,0.011459994923857209,0.5300421826284357,7.153999999999999,4,1,0,0,0.0
62,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011459994923857209,cost_energy,0.5382371881359014,balanced,0.20303906793465695,0.011385505444421061,0.5382371881359014,6.968000000000001,4,2,1,1,0.16666666666666666
63,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011459994923857209,cost_energy,0.5449890221341465,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,6.9579999999999975,4,3,2,1,0.16666666666666666
64,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011477390419960655,cost_energy,0.5300421826284357,stability,0.20842490210642345,0.011459994923857209,0.5300421826284357,7.153999999999999,4,1,0,0,0.0
65,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011477390419960655,cost_energy,0.5336275714751569,energy,0.20624762881816983,0.011477390419960655,0.5336275714751569,7.142,4,2,1,1,0.16666666666666666
66,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011477390419960655,cost_energy,0.5382371881359014,balanced,0.20303906793465695,0.011385505444421061,0.5382371881359014,6.968000000000001,4,3,2,1,0.16666666666666666
67,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011477390419960655,cost_energy,0.5449890221341465,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,6.9579999999999975,4,4,3,1,0.16666666666666666
68,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,6.9579999999999975,cost_energy,0.5449890221341465,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,0.01120368871834812,4,1,0,0,0.0
69,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,6.968000000000001,cost_energy,0.5382371881359014,balanced,0.20303906793465695,0.011385505444421061,0.5382371881359014,0.011385505444421061,4,1,0,0,0.0
70,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,6.968000000000001,cost_energy,0.5449890221341465,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,0.01120368871834812,4,2,1,1,0.16666666666666666
71,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.142,cost_energy,0.5336275714751569,energy,0.20624762881816983,0.011477390419960655,0.5336275714751569,0.011477390419960655,4,1,0,0,0.0
72,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.142,cost_energy,0.5382371881359014,balanced,0.20303906793465695,0.011385505444421061,0.5382371881359014,0.011385505444421061,4,2,1,1,0.16666666666666666
73,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.142,cost_energy,0.5449890221341465,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,0.01120368871834812,4,3,2,1,0.16666666666666666
74,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.153999999999999,cost_energy,0.5300421826284357,stability,0.20842490210642345,0.011459994923857209,0.5300421826284357,0.011459994923857209,4,1,0,0,0.0
75,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.153999999999999,cost_energy,0.5336275714751569,stability,0.20842490210642345,0.011459994923857209,0.5300421826284357,0.011459994923857209,4,2,1,1,0.16666666666666666
76,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.153999999999999,cost_energy,0.5382371881359014,balanced,0.20303906793465695,0.011385505444421061,0.5382371881359014,0.011385505444421061,4,3,2,1,0.16666666666666666
77,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,decision_time_s,7.153999999999999,cost_energy,0.5449890221341465,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,0.01120368871834812,4,4,3,1,0.16666666666666666
78,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,6.9579999999999975,cost_stability,0.01120368871834812,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,0.5449890221341465,4,1,0,0,0.0
79,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,6.9579999999999975,cost_stability,0.011385505444421061,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,0.5449890221341465,4,1,0,0,0.0
80,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,6.9579999999999975,cost_stability,0.011459994923857209,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,0.5449890221341465,4,1,0,0,0.0
81,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,6.9579999999999975,cost_stability,0.011477390419960655,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,0.5449890221341465,4,1,0,0,0.0
82,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,6.968000000000001,cost_stability,0.01120368871834812,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,0.5449890221341465,4,1,0,0,0.0
83,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,6.968000000000001,cost_stability,0.011385505444421061,balanced,0.20303906793465695,0.011385505444421061,0.5382371881359014,0.5382371881359014,4,2,1,1,0.1111111111111111
84,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,6.968000000000001,cost_stability,0.011459994923857209,balanced,0.20303906793465695,0.011385505444421061,0.5382371881359014,0.5382371881359014,4,2,1,1,0.1111111111111111
85,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,6.968000000000001,cost_stability,0.011477390419960655,balanced,0.20303906793465695,0.011385505444421061,0.5382371881359014,0.5382371881359014,4,2,1,1,0.1111111111111111
86,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.142,cost_stability,0.01120368871834812,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,0.5449890221341465,4,1,0,0,0.0
87,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.142,cost_stability,0.011385505444421061,balanced,0.20303906793465695,0.011385505444421061,0.5382371881359014,0.5382371881359014,4,2,1,1,0.1111111111111111
88,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.142,cost_stability,0.011459994923857209,balanced,0.20303906793465695,0.011385505444421061,0.5382371881359014,0.5382371881359014,4,2,1,1,0.1111111111111111
89,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.142,cost_stability,0.011477390419960655,energy,0.20624762881816983,0.011477390419960655,0.5336275714751569,0.5336275714751569,4,3,2,1,0.1111111111111111
90,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.153999999999999,cost_stability,0.01120368871834812,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,0.5449890221341465,4,1,0,0,0.0
91,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.153999999999999,cost_stability,0.011385505444421061,balanced,0.20303906793465695,0.011385505444421061,0.5382371881359014,0.5382371881359014,4,2,1,1,0.1111111111111111
92,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.153999999999999,cost_stability,0.011459994923857209,stability,0.20842490210642345,0.011459994923857209,0.5300421826284357,0.5300421826284357,4,3,2,1,0.1111111111111111
93,flat_train:flat:27102,flat_train,flat,27102,efficient,cost_energy,decision_time_s,7.153999999999999,cost_stability,0.011477390419960655,stability,0.20842490210642345,0.011459994923857209,0.5300421826284357,0.5300421826284357,4,4,3,1,0.1111111111111111
94,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.011159301583463073,cost_energy,0.5446378660009256,motion,0.19828373212965578,0.011159301583463073,0.5446378660009256,6.948000000000003,4,1,0,0,0.0
95,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.011291397168657449,cost_energy,0.5393894403225634,balanced,0.2035325858964294,0.011291397168657449,0.5393894403225634,6.951999999999999,4,1,0,0,0.0
96,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.011291397168657449,cost_energy,0.5446378660009256,motion,0.19828373212965578,0.011159301583463073,0.5446378660009256,6.948000000000003,4,2,1,1,0.16666666666666666
97,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.011470684987346573,cost_energy,0.534863992924077,energy,0.2066347340890774,0.011470684987346573,0.534863992924077,7.152000000000001,4,1,0,0,0.0
98,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.011470684987346573,cost_energy,0.5393894403225634,balanced,0.2035325858964294,0.011291397168657449,0.5393894403225634,6.951999999999999,4,2,1,1,0.16666666666666666
99,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.011470684987346573,cost_energy,0.5446378660009256,motion,0.19828373212965578,0.011159301583463073,0.5446378660009256,6.948000000000003,4,3,2,1,0.16666666666666666
100,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.01151046388330626,cost_energy,0.5254755691606684,stability,0.2085849235270693,0.01151046388330626,0.5254755691606684,7.192,4,1,0,0,0.0
101,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.01151046388330626,cost_energy,0.534863992924077,energy,0.2066347340890774,0.011470684987346573,0.534863992924077,7.152000000000001,4,2,1,1,0.16666666666666666
102,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.01151046388330626,cost_energy,0.5393894403225634,balanced,0.2035325858964294,0.011291397168657449,0.5393894403225634,6.951999999999999,4,3,2,1,0.16666666666666666
103,flat_train:flat:27103,flat_train,flat,27103,fast,decision_time_s,cost_stability,0.01151046388330626,cost_energy,0.5446378660009256,motion,0.19828373212965578,0.011159301583463073,0.5446378660009256,6.948000000000003,4,4,3,1,0.16666666666666666
