t_wall,context,x,y,action_id,hold_override,emp_age_s,proj_age_s,theta_age_s,emp_seq,emp_vx,emp_yaw_rate,emp_body_h,emp_clearance,emp_enable,proj_seq,proj_vx,proj_yaw_rate,proj_body_h,proj_clearance,proj_enable,out_seq,out_vx,out_yaw_rate,out_body_h,out_clearance,out_enable,delta_vx,delta_yaw_rate,delta_body_h,delta_clearance,j7_accept,j7_reason,j7_source
1785198593.870529,flat,0.000000,0.000000,1,0,0.003182,0.003103,0.003033,5100093,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100093,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100093,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198593.920419,flat,0.000000,0.000000,1,0,0.003065,0.002973,0.002898,5100095,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100095,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100095,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198593.970386,flat,0.000000,0.000000,1,0,0.003261,0.003200,0.003149,5100097,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100097,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100097,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198594.020547,flat,0.000000,0.000000,1,0,0.003420,0.003357,0.003307,5100099,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100099,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100099,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198594.071196,flat,0.000000,0.000000,1,0,0.004101,0.004036,0.003975,5100101,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100101,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100101,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198594.120448,flat,0.000000,0.000000,1,0,0.003358,0.003296,0.003245,5100103,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100103,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100103,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198594.170441,flat,0.000000,0.000000,1,0,0.002785,0.002711,0.002656,5100105,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100105,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100105,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198594.220536,flat,0.000000,0.000000,1,0,0.002743,0.002575,0.002434,5100107,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100107,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100107,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198594.270408,flat,0.000000,0.000000,1,0,0.003337,0.003275,0.003224,5100109,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100109,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100109,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785198594.320412,flat,0.000000,0.000000,1,0,0.003394,0.003334,0.003282,5100111,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100111,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100111,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
