context_a,context_b,context_distance,response_distance
rough_seed_6,rough_seed_8,5.264678492566632,1.4740899834425032
rough_seed_6,rough_seed_22,4.8291604277397555,1.2775194717908156
rough_seed_6,rough_seed_20,4.387294834870884,0.3328607241121109
rough_seed_6,rough_seed_28,6.447840946729511,0.327577398994538
rough_seed_6,rough_seed_17,4.9085860735827,0.5892397071425626
rough_seed_29,rough_seed_18,3.1166111772925578,2.5455070235035806
rough_seed_29,rough_seed_10,5.233184669434217,1.3687525284660662
rough_seed_29,rough_seed_8,3.7611623421389186,0.1944678683249411
rough_seed_29,rough_seed_22,5.814562795771303,0.3403353133545355
rough_seed_29,rough_seed_20,4.8047398885679655,1.4059364309866016
rough_seed_29,rough_seed_28,4.273836091191519,1.6161418942596755
rough_seed_29,rough_seed_17,3.2362095513813034,1.255240698638952
rough_seed_18,rough_seed_10,4.517746903912721,1.3616534335266708
rough_seed_18,rough_seed_8,1.9504608218718955,2.465783508864034
rough_seed_18,rough_seed_22,3.7290135508483244,2.2575929795508043
rough_seed_18,rough_seed_20,3.166439730491824,1.1490137102438192
rough_seed_18,rough_seed_28,3.8891151988042534,1.0897287011801349
rough_seed_18,rough_seed_17,2.9821209786410083,1.5644461593399246
rough_seed_10,rough_seed_8,4.499320473579749,1.2768607776551337
rough_seed_10,rough_seed_22,5.636909403608056,1.0432985987981813
rough_seed_10,rough_seed_20,4.267818558579925,0.5082190294349568
rough_seed_10,rough_seed_28,3.293779026440644,0.7013000726513415
rough_seed_10,rough_seed_17,3.775610906671912,0.2274751218010518
rough_seed_8,rough_seed_22,2.77973869960977,0.2892876684898802
rough_seed_8,rough_seed_20,2.154613861766634,1.3235664443304425
rough_seed_8,rough_seed_28,3.1145964769647967,1.4990915578118564
rough_seed_8,rough_seed_17,3.2120336154148954,1.1564026234401226
rough_seed_22,rough_seed_20,2.00924334400365,1.1223336157992458
rough_seed_22,rough_seed_28,4.115378360061244,1.3491827220622654
rough_seed_22,rough_seed_17,4.3936163967306,0.9265329925915232
rough_seed_20,rough_seed_28,2.7844029041009883,0.4141170393857245
rough_seed_20,rough_seed_17,3.003494528164863,0.6679192359753267
rough_seed_28,rough_seed_17,3.728321054364504,0.8368727163538562
