posterior_id,context_id,terrain,seed,mission,unique_signature_count,expressible_signature_count,posterior_mean_motion,posterior_mean_stability,posterior_mean_energy,posterior_std_motion,posterior_std_stability,posterior_std_energy,posterior_map_motion,posterior_map_stability,posterior_map_energy,posterior_entropy_nats,posterior_entropy_normalized,posterior_information_gain_nats,posterior_effective_fraction,source_balanced_count,source_motion_count,source_stability_count,source_energy_count
57,low_friction_train:low_friction:27201,low_friction,27201,efficient,6,6,0.11109485764408607,0.21884391433495867,0.6700612280209535,0.09178181907423663,0.1727938056737249,0.1682173702883568,0.0,0.0,1.0,7.413283350783391,0.8673604842075886,1.1336627987821943,0.32185221488319016,1,0,4,1
58,low_friction_train:low_friction:27201,low_friction,27201,fast,5,5,0.6291246260330385,0.26389722451900005,0.10697814944796118,0.1935315047392178,0.20407971017044843,0.08721616515870109,1.0,0.0,0.0,7.545369492330449,0.8828146755919314,1.0015766572351357,0.3672998783948428,1,3,1,0
59,low_friction_train:low_friction:27201,low_friction,27201,stable,6,6,0.4550094868916353,0.33170121611062464,0.21328929699773982,0.1859480798343928,0.2375418875437184,0.12445629208416191,0.65,0.0,0.35,8.01937672296771,0.9382739264567977,0.527569426597875,0.5900373573184889,0,3,1,2
60,low_friction_train:low_friction:27202,low_friction,27202,efficient,5,5,0.15144412148622569,0.2479159413304294,0.600639937183346,0.12297052570556616,0.18853965146718435,0.18811613353317605,0.0,0.0,1.0,7.8054142241483415,0.9132401313356896,0.7415319254172434,0.4763835721455477,1,0,2,2
61,low_friction_train:low_friction:27202,low_friction,27202,fast,5,5,0.6368413024228065,0.2531579710121937,0.11000072656500057,0.18122332934120236,0.20130041851632535,0.07258719242795603,0.83,0.0,0.17,7.389013247496226,0.8645208613923215,1.1579329020693594,0.31413485772669586,2,2,0,1
62,low_friction_train:low_friction:27202,low_friction,27202,stable,6,6,0.4315305791425479,0.5151024205647812,0.0533670002926693,0.23047862536855904,0.24562173949385882,0.049224905792968794,0.27,0.73,0.0,7.199278752126725,0.8423217633695566,1.34766739743886,0.25984567095814226,0,3,0,3
63,low_friction_train:low_friction:27203,low_friction,27203,efficient,5,5,0.11918490586785947,0.2292758367505911,0.6515392573815476,0.09935287823957109,0.18350498286565414,0.18174606742359697,0.0,0.0,1.0,7.5479908993474005,0.8831213824520284,0.9989552502181844,0.36826398397786964,1,0,2,2
64,low_friction_train:low_friction:27203,low_friction,27203,fast,5,5,0.6767609098822033,0.2223293461385824,0.10090974397921486,0.1756814668919527,0.18026968014581754,0.08390169906474486,1.0,0.0,0.0,7.363920696003324,0.861585011434477,1.1830254535622613,0.3063504859475251,1,3,0,1
65,low_friction_train:low_friction:27203,low_friction,27203,stable,6,6,0.509348474683393,0.3795165239857338,0.11113500133087224,0.2119056677602788,0.23617448454180803,0.09195627145330444,0.42,0.58,0.0,7.771934270460658,0.9093229481568317,0.7750118791049267,0.4606983082829166,0,3,0,3
66,low_friction_train:low_friction:27204,low_friction,27204,efficient,4,4,0.14462803297303342,0.23832455862050633,0.6170474084064582,0.1142568088357014,0.18472901622528137,0.1796069458330567,0.0,0.0,1.0,7.715563648918417,0.902727537286587,0.8313825006471678,0.4354468644212835,1,0,1,2
