context_id,context_index,preference_name,preference_index,w_motion,w_stability,w_energy,selected_beta_name,selected_beta_motion,selected_beta_stability,selected_beta_energy,selected_lambda_motion,selected_lambda_stability,selected_lambda_energy,selected_J_motion_s_per_m,selected_J_stability,selected_J_energy_j_per_m,selected_regret_motion,selected_regret_stability,selected_regret_energy,scalarization_score,pareto_count,pareto_ideal_motion,pareto_ideal_stability,pareto_ideal_energy,pareto_nadir_motion,pareto_nadir_stability,pareto_nadir_energy,pareto_span_motion,pareto_span_stability,pareto_span_energy,source_stage
flat,0,wm020_ws080_we000,10,0.2,0.8,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm020_ws060_we020,11,0.2,0.6,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm020_ws040_we040,12,0.2,0.4,0.4,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm020_ws020_we060,13,0.2,0.2,0.6,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm020_ws000_we080,14,0.2,0.0,0.8,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm000_ws100_we000,15,0.0,1.0,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm000_ws080_we020,16,0.0,0.8,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm000_ws060_we040,17,0.0,0.6,0.4,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm000_ws040_we060,18,0.0,0.4,0.6,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm000_ws020_we080,19,0.0,0.2,0.8,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,wm000_ws000_we100,20,0.0,0.0,1.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,balanced,21,0.3333333333333333,0.3333333333333333,0.3333333333333333,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,motion,22,0.7,0.15,0.15,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,stability,23,0.15,0.7,0.15,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
flat,0,energy,24,0.15,0.15,0.7,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,1,4.467153420035954,0.10764727422495432,100.54988909022944,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,T5.5d_frozen_regression
low_friction,1,wm100_ws000_we000,0,1.0,0.0,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.539224297512309,0.25137314479378425,110.58335893441934,0.0,1.0,0.5941920981184179,0.0,6,4.539224297512309,0.2496795992077843,110.4678040997217,4.566854367627028,0.25137314479378425,110.6622779661086,0.02763007011471874,0.0016935455859999615,0.19447386638690034,T5.5d_frozen_regression
