context_id,context_index,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,J_motion_s_per_m,J_stability,J_energy_j_per_m,regret_motion,regret_stability,regret_energy
rough_seed_25,9,lm020_ls000_le080,0.26,0.15,0.59,0.2,0.0,0.8,4.6445231101955144,0.23539957866828726,114.66701470937633,1.0,1.0,0.0
rough_seed_12,10,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.4729751418429275,0.3385737561066201,131.24375188337078,0.0,1.0,0.0
rough_seed_12,10,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,4.493404891088476,0.3384015435787378,132.00051190728962,0.9010461168388647,0.9013024096462366,1.0
rough_seed_12,10,lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,4.4956485087924705,0.3368289057281556,131.77780680787504,1.0,0.0,0.7057123891649092
rough_seed_6,11,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.651043954428443,0.21761781166721403,119.03268774618753,0.019252265799284025,0.8426912781621905,0.0
rough_seed_6,11,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.649983773589159,0.21814841588090939,119.31304525827144,0.0,1.0,0.5861009634473823
rough_seed_6,11,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.652788127843298,0.21748725098535912,119.09037493984621,0.05092543790214702,0.803983832094564,0.1205978735173274
rough_seed_6,11,lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,4.681040592013806,0.21562968015776376,119.4046065409632,0.5639737118761893,0.2532680913032571,0.7775142614226306
rough_seed_6,11,lm040_ls000_le060,0.37,0.15,0.48,0.4,0.0,0.6,4.705051621204484,0.2147754038349376,119.26740866569791,1.0,0.0,0.49069545539808845
rough_seed_6,11,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,4.652475719363972,0.2167342061666569,119.12663473347202,0.04525228209790483,0.580727938418896,0.196400729023213
rough_seed_6,11,lm020_ls040_le040,0.26,0.36999999999999994,0.37,0.2,0.4,0.4,4.682734658003777,0.21513349974354387,119.51103111971635,0.5947369623631938,0.10616502512463044,1.0
rough_seed_6,11,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,4.667564638024383,0.21618125395642174,119.1435530251152,0.3192582459012179,0.4167936853836839,0.23176923746176506
rough_seed_6,11,lm000_ls060_le040,0.15,0.48,0.37,0.0,0.6,0.4,4.683476264609026,0.21494977190843914,119.31363418337406,0.6082041058482581,0.05169506397398871,0.5873321399101697
rough_seed_29,12,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.441700033008183,0.32623001236573873,132.28884832469015,0.0,0.6999374025785785,1.0
rough_seed_29,12,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.450058711621474,0.3237304880241609,131.6838328453945,0.4041205845062981,0.0,0.26669349182036656
rough_seed_29,12,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,4.451142137400583,0.32730155642594877,131.4637970363857,0.45650143073558325,1.0,0.0
rough_seed_29,12,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,4.445513227772445,0.3246286253806157,131.75154368176433,0.18435814657591937,0.2515038233390236,0.3487621308609504
rough_seed_29,12,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.446383862460971,0.32453581516209845,131.76043763862242,0.22645109158507232,0.22551434117990501,0.35954201446838796
rough_seed_29,12,lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,4.462383657979929,0.3268264064952249,131.5704211648114,1.0,0.8669446010930493,0.12923333365712902
rough_seed_18,13,lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,4.8008529627643,0.12595293390731585,118.4896430274661,1.0,0.0,1.0
rough_seed_18,13,lm000_ls100_le000,0.15,0.7,0.15,0.0,1.0,0.0,4.789394365536296,0.1260583716410282,118.129206688321,0.0,1.0,0.0
rough_seed_10,14,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.570768597586306,0.20654600779568358,119.65438407566458,0.009946626257242849,0.9146795437894999,0.13507436375814466
rough_seed_10,14,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.576239499881036,0.19901623297028015,119.52297722918112,0.0573071874318159,0.4400242770046777,0.0
rough_seed_10,14,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,4.597349813957931,0.19714586609892165,119.89064264671882,0.24005516343135588,0.32212174912097097,0.3779268255709065
rough_seed_10,14,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,4.569619603168461,0.2078995034128659,120.1093855014548,0.0,1.0,0.602774713795833
rough_seed_10,14,lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,4.60080706113485,0.19676610497087565,119.65013952061307,0.2699838950367083,0.29818270396665325,0.13071134471946888
rough_seed_10,14,lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,4.60897672418956,0.19646371158168832,120.17635620337202,0.3407071150896317,0.2791206977119058,0.6716145436371548
rough_seed_10,14,lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,4.610791320318654,0.19662946380728855,120.09021711722053,0.35641572883363554,0.28956923949260066,0.5830713469317585
rough_seed_10,14,lm040_ls000_le060,0.37,0.15,0.48,0.4,0.0,0.6,4.623341797005076,0.19503433081278268,120.06042649969177,0.46506281972573055,0.1890166606146675,0.5524492841066975
rough_seed_10,14,lm020_ls040_le040,0.26,0.36999999999999994,0.37,0.2,0.4,0.4,4.612222633699654,0.19624613546259098,119.82066758581671,0.3688063366875006,0.26540532729900357,0.30599878617853193
rough_seed_10,14,lm000_ls000_le100,0.15,0.15,0.7,0.0,0.0,1.0,4.685135597047089,0.19203583276109382,120.49582539094442,1.0,0.0,1.0
rough_seed_8,15,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.447584354173404,0.33596916088580847,129.17338671119546,0.23889378347076154,1.0,0.25547873057965836
rough_seed_8,15,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.444756142384128,0.33030354465182266,129.48644624186608,0.0,0.0,1.0
rough_seed_8,15,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.456594925914559,0.3342342386703735,129.06596190712793,1.0,0.6937804920446508,0.0
rough_seed_22,16,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.456161709144545,0.2964430835008966,129.28814709489995,0.0,1.0,1.0
rough_seed_22,16,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.456668388036517,0.2963974944787562,129.2842094569742,0.010989150229293988,0.989985602786431,0.9946846043621045
rough_seed_22,16,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,4.470183615390527,0.29495220848078,129.24610823731513,0.30411536118724497,0.672504169945773,0.9432519788661281
