context_id,group,terrain,seed,beta_name,pareto_nondominated,support_class,max_margin,beta_hat_motion,beta_hat_stability,beta_hat_energy,beta_gen_motion,beta_gen_stability,beta_gen_energy,original_beta_selected_cost,original_beta_best_cost,original_beta_regret,original_beta_consistent
flat_train:flat:27108,flat_train,flat,27108,balanced,True,strict,0.0005233892939341266,0.6148170639391446,0.0,0.3851829360608554,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2496729214681892,0.2493302407916663,0.0003426806765229051,False
flat_train:flat:27108,flat_train,flat,27108,motion,True,strict,0.00556796869382617,1.0,-0.0,0.0,0.7,0.15,0.15,0.22209786173906804,0.22209786173906804,0.0,True
flat_train:flat:27108,flat_train,flat,27108,stability,True,strict,0.003987696944405372,0.0,0.0,1.0,0.15,0.7,0.15,0.1185287583221146,0.1185287583221146,0.0,True
flat_train:flat:27108,flat_train,flat,27108,energy,True,unsupported,-0.00013240399626518942,0.0,0.9640103768164114,0.03598962318358862,0.15,0.15,0.7,0.40531696312318183,0.4027517360828056,0.0025652270403762056,False
flat_train:flat:27109,flat_train,flat,27109,balanced,True,strict,1.9925172143577973e-05,0.0,0.9886742510797104,0.011325748920289504,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2515109639919539,0.24909214777076427,0.0024188162211896125,False
flat_train:flat:27109,flat_train,flat,27109,motion,True,strict,0.005591046366625552,1.0,-0.0,0.0,0.7,0.15,0.15,0.22202664899067776,0.22202664899067776,0.0,True
flat_train:flat:27109,flat_train,flat,27109,stability,False,unsupported,-3.522408572906977e-05,0.0,0.9869009879284416,0.013099012071558355,0.15,0.7,0.15,0.1186209712756909,0.11839824742141933,0.00022272385427157815,False
flat_train:flat:27109,flat_train,flat,27109,energy,True,strict,0.0007764624765511702,0.62049087144699,0.0,0.37950912855301,0.15,0.15,0.7,0.40291027460274026,0.40291027460274026,0.0,True
flat_train:flat:27110,flat_train,flat,27110,balanced,True,unsupported,-5.333210130413173e-05,0.0,0.9790128031117897,0.020987196888210345,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2514331860188276,0.24921477179402596,0.0022184142248016236,False
flat_train:flat:27110,flat_train,flat,27110,motion,True,strict,0.004950610281125312,1.0,-0.0,0.0,0.7,0.15,0.15,0.22203629019521676,0.22203629019521676,0.0,True
flat_train:flat:27110,flat_train,flat,27110,stability,True,strict,0.006092329994285217,0.0,0.0,1.0,0.15,0.7,0.15,0.11850520187663194,0.11850520187663194,0.0,True
